"n","mu","Bonf_R0","Holm_R0","NoC_R0","Bonf_R1","Holm_R1","NoC_R1","Meta_R1","Bonf_R2","Holm_R2","NoC_R2","Meta_R2"
25,"null",0.04,0.04,0.204,0.001,0.001,0.011,0.2,0,0,0.001,0.195
25,"partial",0.02,0.023,0.12,0,0,0.005,0.12,0,0,0.001,0.119
100,"null",0.041,0.041,0.208,0,0,0.012,0.202,0,0,0,0.202
100,"partial",0.019,0.031,0.116,0,0,0.006,0.113,0,0,0,0.119
