"n","J","mu","NoRepl_Bonf_PP","NoRepl_Bonf_AP","NoRepl_Holm_PP","NoRepl_Holm_AP","NoRepl_NoC_PP","NoRepl_NoC_AP","OneRep_Bonf_PP","OneRep_Bonf_AP","OneRep_Holm_PP","OneRep_Holm_AP","OneRep_NoC_PP","OneRep_NoC_AP","OneRep_Meta_PP","OneRep_Meta_AP","TwoRep_Bonf_PP","TwoRep_Bonf_AP","TwoRep_Holm_PP","TwoRep_Holm_AP","TwoRep_NoC_PP","TwoRep_NoC_AP","TwoRep_Meta_PP","TwoRep_Meta_AP"
25,7,"partial",0.0444,2e-04,0.0456666666666667,6e-04,0.2838,0.0406,0.00163333333333333,0,0.00173333333333333,0,0.0806333333333333,0.002,0.504866666666667,0.1426,1e-04,0,1e-04,0,0.0225,0,0.674866666666667,0.2994
25,7,"nonnull",0.544628571428571,0,0.592914285714286,0,0.742180952380952,0,0.450828571428571,0,0.493504761904762,0,0.6436,0,0.853114285714286,0.0016,0.407933333333333,0,0.447495238095238,0,0.593904761904762,0,0.907190476190476,0.0362
100,7,"partial",0.404733333333333,0.0892,0.419266666666667,0.1066,0.804266666666667,0.4906,0.161633333333333,0.0082,0.173133333333333,0.011,0.6405,0.231,0.979,0.9106,0.0646333333333333,0.001,0.0719333333333333,0.0014,0.514166666666667,0.1132,0.998466666666667,0.992
100,7,"nonnull",0.828666666666667,0,0.91232380952381,0.1402,0.944780952380952,0.1938,0.758495238095238,0,0.852609523809524,0.0214,0.900980952380952,0.0418,0.993542857142857,0.8712,0.729609523809524,0,0.80932380952381,0.0038,0.863914285714286,0.008,0.99927619047619,0.985
