subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;expl_11;expl_12;expl_13;expl_14;expl_15;expl_16;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_9r;expl_10r;expl_12r;expl_14r;expl_15r;self_interest;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
47;3;3;3;2;2;4;2;2;3;3;4;2;2;2;2;3;3;2;2;3;2;5;4;3;2;1;1;4;5;4;6;6;4;6;2;1;5;Depot;Endlösung;Ermäßigung;Gaskammer;Genotyp;Holz;Konzentration;Krempel;Vergangenheit;Vernichtung;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortsetzung;Funkturm;Gymnasium;Hintertür;Kilometer;Kreiszeichen;Lieblingstier;Monolog;Nagetier;Person;Regenschirm;Rückblick;Steintor;Zusammenhalt;4;3;2;4;2;3;2;3;0;2;1;0;1;1;1;1;1;1;1;4;2;4;6;7;2,66666666666667;4,9;2,8;2,3;0;0;0;1;0;0;0;0;0;1;2;2
48;4;2;2;1;1;1;1;2;3;2;3;1;1;1;2;1;3;1;1;2;1;5;3;2;3;1;2;4;3;5;2;3;2;6;3;2;5;nie;ich;üdung;ammer;zid;z;entration;l;ngenheit;unft;n;r;gung;anderer;ang;hrung;setzung;tion;asium;ergrung;meter;s;e;poly;l;on;en;en;n;tz;4;3;1;4;2;3;2;3;0;1;0;0;1;1;1;1;1;1;1;3;6;6;5;6;2,66666666666667;4,7;1,8;1,4;0;0;0;1;1;0;0;0;0;0;2;3
51;3;2;4;3;3;2;3;2;4;4;5;1;1;1;1;1;1;1;1;1;1;5;5;2;5;3;2;4;4;5;3;3;4;5;3;3;5;Depot;Endlich;Ermäßigung;Gaskugel;Genommen;Holz;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwohner;Empfindung;Erfahrung;Fortbildung;Funke;Gymnasium;Hinterteil;Kilogramm;Kreide;Liebe;Monopol;Nagelschere;Person;Regenbogen;Rücken;Stein;Zusatz;4;3;2;4;4;3;1;3;0;1;1;0;1;1;1;0;1;1;1;3;5;4;5;5;3,66666666666667;4,3;3,2;1;0;0;0;0;0;0;0;0;0;0;0;1
53;1;3;3;3;3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;3;3;4;3;3;3;7;4;4;4;4;5;5;3;3;4;t;ich;öglichen;atusche;m;underblütensekt;ert;atorium;be;weh;nschrank;r;gung;wand;inden;hrung;fahren;tion;asium;en;meter;s;e;graphie;l;onennahverkehr;n;en;n;ge;4;3;2;4;2;2;2;3;0;2;1;1;1;1;1;1;1;1;1;4;4;3;5;5;3,16666666666667;4,5;2,6;1;0;0;0;0;0;0;0;1;0;0;1;2
54;2;2;3;4;4;5;2;3;4;4;5;2;1;1;1;1;1;2;2;2;1;5;3;6;1;2;1;6;6;7;5;6;2;6;1;1;6;Deposit;Endlohnung;Ermittlung;Gaskühler;Genometrie;Holz;Konzert;Krempe;Vergangenheit;Vernichtung;Aktenverzeichnius;Altenheim;Bewegung;Einwohner;Empfindung;Erfahrung;Fortsetzung;Funkgerät;Gymnasium;Hinterhalt;Kilogramm;Kreissaal;e;Monografie;Nager;Person;Regen;Rücksicht;n;Zusage;4;3;1;4;2;2;2;3;0;2;0;1;1;1;1;1;1;1;1;1;3;6;7;7;3;5,4;3,6;1,4;0;0;0;0;0;0;0;0;0;1;1;3
55;3;1;4;4;3;3;1;2;2;2;5;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;6;5;3;6;2;7;1;1;6;Deposition;Endlassung;Ermäßigung;Gaskammer;Genossenschaft;Holraum;Konztanz;Kremel;Vergalität;Verneinung;Aktenkoffer;Altenberg;Bewegung;Einwanderung;Empfang;Erfahrung;Fortschritt;Funkuhr;Gymnasium;Hinterhalt;Kilogramm;Kreide;Liebe;Monolog;Nagelschere;Persönlichkeit;Regenbogen;Rückgabe;Steigung;Zusage;4;3;2;4;2;3;1;3;0;2;1;0;1;1;1;1;1;1;1;3;5;6;7;7;1;5,9;2,7;1,1;0;0;0;1;0;0;0;0;0;0;1;2
56;4;2;2;1;3;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;4;4;2;2;2;2;4;4;3;5;3;3;4;2;2;5;Depositionierung;Endlich;Ermahnen;Gaskocher;Genom;Holometabol;Konzentration;Krem;Vergangenheit;Vernunft;Akte;Altersbestimmung;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortpflanzung;Funktion;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebevoll;Monogomie;Nagel;Person;Regenwurm;Rückzug;Stein;Zusammen;4;3;1;4;2;3;1;3;0;2;0;0;1;1;1;1;1;1;1;5;3;5;6;6;2,66666666666667;4,5;2,3;1;0;0;0;0;0;0;0;0;0;0;0;2
57;1;2;2;2;3;1;1;2;3;3;4;4;3;1;1;1;1;1;1;2;1;5;2;4;5;5;5;2;2;6;4;3;5;4;5;4;4;rtation;edigung;üdigung;ammer;ssenschaft;lister;ert;pel;ngenheit;unft;nzeichen;rsbeschränkung;gung;ohner;inden;hrung;setzung;loch;asium;erhalt;gramm;ssaal;haberin;ton;lbett;onalausweis;nschirm;zug;ßbein;mmenhalt;4;3;2;4;2;2;1;4;0;1;1;1;1;1;1;1;1;1;1;2;4;3;3;4;4,33333333333333;3,1;2,3;1,6;1;0;0;1;0;0;0;0;0;0;2;2
58;2;2;3;1;1;2;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;4;1;1;1;6;6;1;1;5;2;5;1;2;2;Depot;Endlichkeit;Ermäßigung;Gasklappe;Genom;Holz;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfang;Erfahrung;Fortlauf;Funktion;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebe;Monolog;Nagel;Person;Regel;Rücksicht;Stein;Zusatz;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;7;7;6;7;6;1,66666666666667;5,7;1,6;1,1;0;0;0;0;0;0;0;0;0;0;0;2
59;3;3;4;4;4;3;3;3;3;4;4;2;1;1;1;3;2;1;1;1;1;4;5;2;5;3;4;2;2;4;6;2;6;5;3;3;4;Deponieren;Endlich;Ermäßigung;Gaskammer;Geno;Holz;Konzert;Kreme;Vergangenheit;Vernichten;Akten;Altersschwäche;Bewegung;Einwohner;Empfangen;Erfahrung;Fortfahren;Funkgespräch;Gymnasium;Hintergehen;Kilogramm;Kreis;Liebhaber;Monogram;Nagellack;Person;Regen;Rücken;Stein;Zusammenfassen;4;3;2;4;4;3;1;3;0;1;1;0;1;1;1;0;1;1;1;4;2;2;5;5;3,83333333333333;3,3;3,5;1,4;0;0;0;1;0;0;0;0;0;1;2;1
60;4;3;2;1;4;4;2;3;1;1;4;2;2;2;1;2;1;1;4;2;1;2;4;3;2;2;3;4;4;6;3;3;4;5;2;1;5;Deposition;Endlich;Ermüdung;Gaskartusche;Genozit;Holz;Konzentration;Kremig;Vergangenheit;Vernunft;Aktenzeichen;Alter;Bewegung;Einweihung;Empfindung;Erfahrung;Fortsetzung;Funkloch;Gymnastik;Hinterhalt;Kilogramm;Kreide;Lieblich;Monolog;Nagel;Personifikation;Regenbogen;Rücksichtslos;Steinhaufen;Zusammen;4;3;1;4;1;3;2;3;0;1;0;0;1;1;1;0;1;1;1;2;5;4;6;7;2,66666666666667;4,5;2,5;1,8;0;0;0;0;1;0;0;0;0;0;1;1
61;1;3;4;1;1;3;3;2;1;2;4;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;6;6;2;1;7;1;5;1;1;5;rtation;os;utigen;ammer;m;rauf;ert;atorium;ngenheit;unft;nkoffer;nheim;gung;eihung;indung;hrung;setzung;tion;asium;erhof;gramm;de;e;tonie;l;on;n;sicht;ne;mmenfassung;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;6;7;7;7;7;2;6,3;2,4;1;1;0;0;1;0;0;0;1;0;0;3;2
62;2;4;4;3;3;3;4;4;4;4;5;1;1;1;1;1;1;1;1;2;1;6;6;6;3;3;2;2;1;4;3;4;3;5;3;3;5;Depot;Endlichkeit;Ermorden;Gaskammer;Genologie;Holz;Konzept;Krempel;Vergangenheit;Vernunft;Aktenordner;Altersarmut;Bewerbung;Einwanderung;Empfindungen;ERfahrung;Fortbildung;Funkhaus;Gymnastik;Hinterhof;Kilogramm;Kreisel;Liebhaber;Monokultur;Nagelstangengummi;Persönlichkeit;Regenschirm;Rückkehr;STeinwurf;Zusammenarbeit;4;3;1;4;2;2;1;4;0;0;0;1;1;1;1;1;1;1;1;4;5;5;5;5;4,33333333333333;4,1;3,8;1,1;0;0;0;1;0;0;0;0;0;0;1;3
63;3;3;2;1;4;2;1;1;3;1;4;2;2;2;1;1;2;1;1;2;1;5;6;5;2;2;3;4;3;6;5;2;4;5;2;2;4;Deportieren;Endlosigkeit;Ermahnung;Gaskammer;Genozid;Hologramm;Konzentration;Krematorium;Vergangenheit;Vernunft;Akteur;Altenpflege;Beweglichkeit;Einwanderer;Empfehlung;Erfahrung;Fortsetzung;Funktechnik;Gymnasium;Hinterhalt;Kilogramm;Kreis;Liebe;Monopol;Nagetier;Personifizierung;Regeneration;Rückführung;Steigung;Zusammenhalt;4;3;2;4;2;3;2;3;1;9;1;0;1;1;1;1;1;1;1;2;3;4;6;6;3,83333333333333;3,9;2,2;1,5;1;0;0;1;1;0;0;1;0;0;4;3
64;4;3;4;1;3;2;1;1;4;2;5;2;1;1;1;1;1;1;1;1;1;3;2;3;1;1;1;4;4;4;3;5;3;6;1;1;6;Deponie;Endladung;Ermüdung;Gaskocher;Genotyp;Hol;Konzert;Krematorium;Verg;Vernachlässigug;Akten;Altenheim;Bewegung;Einweihung;Empfehlung;Erfahrung;Fortlauf;Funktion;Gymnasium;Hinterkopf;Kilometer;Kreissaal;Liebling;Monopol;Nagetier;Personal;Regelverstoß;Rücksicht;Steigung;Zusammenhalt;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;4;5;5;7;7;1,83333333333333;5,3;2,6;1,1;0;0;0;0;0;0;0;1;0;0;1;1
65;1;3;2;2;1;1;1;1;4;3;4;1;1;1;1;1;1;1;1;1;1;2;1;4;4;4;4;5;3;4;4;4;4;4;4;4;4;Depotation;Endlich;Ermahnen;Gaskammer;Genom;Holunder;Konzert;Krematorium;Vergangenheit;Vernaschen;Aktenzeichen;Altersarmut;Bewerbung;Einwohner;Empfindung;Erfahrung;Fortfahrend;Fumktionstüchtig;Gymnastik;Hinterrücks;Kilometer;Kreidetafel;Lieblich;Monogam;Nagetier;Persönlich;Regenwurm;Rücklicht;Stein;Zusammenhalt;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;3,16666666666667;4;2,2;1;0;0;0;1;0;0;0;1;0;0;2;2
66;2;3;3;1;4;2;3;2;2;2;3;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;1;2;3;2;2;6;2;5;2;2;6;Deposit;Endlichkeit;Ermunterung;Gaskammer;Genozid;Hologramm;Konzentration;Kreml;Vergangenheit;Vernunft;Aktenzeichen;Altenpflege;Bewegung;Einweisung;Empfang;Erfahrung;Fortgang;Funkuhr;Gymnasium;Hintern;Kilometer;Kreide;Liebe;Monopoly;Nagetier;Person;Regen;Rückhand;Steigbügel;Zusatzaufgabe;4;3;1;4;1;2;2;4;0;1;0;1;1;1;1;0;1;1;1;6;6;6;6;6;1,66666666666667;5,2;2,5;1,1;0;0;0;1;1;0;0;0;0;0;2;3
68;4;4;4;3;3;3;3;3;4;4;4;1;1;1;1;1;2;1;1;1;1;6;6;1;5;5;7;4;3;5;6;3;4;3;3;5;4;Deponie;Endlich;Ermahnung;Gaskammer;Genom;Holland;Konzert;Krempelladen;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwand;Empfindung;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterland;Kilogramm;Kreis;Liebschaft;Monographie;Nagellack;Person;Regenbogen;Rückwärts;Stein;Zusage;4;3;1;4;2;3;1;3;0;2;0;0;1;1;1;1;1;1;1;3;2;4;5;3;5;3,4;3,5;1,1;0;0;0;1;0;0;0;0;0;0;1;2
71;3;3;4;4;3;4;3;3;2;2;4;2;2;2;2;1;2;1;3;2;2;2;2;2;2;2;2;3;3;2;2;4;2;5;2;1;4;Depot;Endlichkeit;Ermässigung;Gaskammer;Genogramm;Holokaust;Konzentration;Kremmel;Vergangenheit;Vernunft;Akteur;Altenheim;Bewegung;Einwanderungsbehörde;Empfang;Erfahrung;Fortbildung;Funktion;Gymnastik;Hintern;Kilogramm;Kreisel;Liebe;Monogramm;Nagelhaut;Person;Regeneration;Rücken;Steigung;Zusammenhalt;4;3;2;4;2;3;1;3;1;0;1;0;1;1;1;1;1;1;1;6;6;6;6;7;2;5;3,2;1,9;0;0;0;1;0;1;0;0;0;0;2;2
72;4;2;4;3;4;4;3;3;2;3;3;1;1;1;1;1;1;1;1;1;1;5;3;5;2;2;2;4;4;3;4;4;4;4;4;4;4;Depot;Endlich;Ermitteln;Gaskocher;Genophobie;Holdung;Konzert;Krempel;Vergabe;Vernebeln;Aktenschrank;Altenheim;Bewegung;Einwandern;Empfang;Erfahrung;Fortfahren;Funker;Gymnasium;Hintern;Kilogramm;Kreide;Liebe;Monographie;Nagetier;Person;Regenbogen;Rücklauf;Stein;Zusammen;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;5;4;4;4;4;3,16666666666667;4,1;3,1;1;0;0;0;0;0;0;0;0;0;0;0;3
73;1;3;4;2;3;2;4;4;2;2;4;4;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;6;6;2;2;5;2;5;2;2;5;Depolarisation;Endlos;Ermächtigung;Gaskabine;Genom;Holz;Konzentration;Krempel;verganer;Verneinung;0;Altenpflege;bewegung;Einwanderung;Empfang;Erfahrung;Fortpflanzung;Funktstille;Gymnastik;Hinterhalt;Kilometer;Kreide;Liebe;Monoton;Nagelack;Persönlichkeit;Regel;Rückzug;Steigung;Zusammenhalt;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;1,83333333333333;5,7;3;1,3;0;0;0;0;0;0;0;0;0;0;0;1
74;2;5;5;3;3;2;1;3;5;4;5;2;1;1;1;1;1;1;2;1;1;1;1;7;1;1;1;4;4;1;1;5;1;6;1;1;7;Depot;Endlos;Ermäßigung;Gasknopf;0;Holz;Konzert;Krem;Vergangenheit;unft;Akten;Alter;Bewegung;Einwanderung;Empfang;Erfahrung;Fortpflanzung;Funktional;Gymnastik;Hintergrung;Kilometer;Kreide;Liebe;Monopol;Nagellack;Persien;Regenbogen;Rücksicht;Stein;Zusage;4;3;1;4;1;2;1;4;1;3;0;1;1;1;1;0;1;1;1;7;7;7;7;7;2;6,1;3,6;1,2;0;0;0;0;0;0;0;0;0;0;0;2
75;3;4;4;3;3;3;3;2;4;3;4;1;1;1;1;1;2;1;2;2;1;4;3;4;3;3;3;5;5;4;3;5;3;5;2;2;4;rtation;os;ächtigung;ammer;typ;en;entration;pel;ngenheit;ichtungslager;nzeichen;rnative;gung;anderung;ang;hrung;bewegung;haus;asium;erhalt;gramm;s;haber;gamie;tier;onen;nschauer;kehr;nkreis;mmenhalt;4;3;2;4;2;3;1;4;0;1;1;0;1;1;1;1;1;1;1;4;5;5;6;6;3,33333333333333;5;3,3;1,3;1;0;0;1;0;0;0;0;0;0;2;3
76;4;2;3;1;3;1;2;2;3;3;5;2;1;2;1;1;1;2;1;2;1;2;1;4;1;1;1;5;6;1;1;5;2;5;1;1;5;Depot;Endlosigkeit;Ermäßigung;Gaskammer;Genossenschaft;???;Konzert;?;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwilligung;Empfindung;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterhalt;Kilogramm;Kreis;Liebe;Monogamie;Nagetier;Person;Regen;Rücksicht;Stein;Zusammenarbeit;4;3;1;4;2;3;1;4;0;1;0;0;1;1;1;1;1;1;1;7;7;6;7;7;1,66666666666667;6;2,5;1,4;0;0;0;1;0;0;0;0;0;0;1;3
80;4;3;4;1;3;3;2;1;4;3;4;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;3;2;3;3;2;1;4;1;1;4;Deposition;Endlosschleife;Ermäßigung;Gasknopf;Genom;Holunderblüte;Konzert;Krempel;Vergangenheit;Verneinung;Aktentasche;Altersschwäche;Bewegung;Einwanderer;Empfang;Erfahrung;Fortschritt;Funkantenne;Gymnasium;Hinterhof;Kilogramm;Kreis;Liebschaft;Monopol;Nagelbett;Personal;Regentropfen;Rückmeldung;Steinigung;Zusage;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;5;5;7;7;7;2;4,6;2,8;1,3;0;0;0;0;0;0;0;0;0;0;0;2
81;1;3;4;3;4;4;4;3;4;4;4;2;1;1;1;1;1;1;3;2;1;4;4;5;3;2;3;5;5;3;2;5;4;6;2;2;5;Deposieren;Endlosigkeit;Ermittlung;Gaskocher;typ;land;Konzentration;Krematorium;Vergasen;achlässigen;Aktenzeichen;Altenheim;Bewegungsfreiheit;Einwanderer;Empfang;Erfahrungsraum;Forsatz;Funkstille;Gymnasium;Hinterhalt;Kilogramm;Kreisel;e;Monopoly;Nagelstudio;Personalakte;Regentage;enschmerzen;Stein;tzleistung;4;3;2;4;2;2;1;3;1;0;1;1;1;1;1;1;1;1;1;5;6;4;6;6;3,5;5,3;3,7;1,4;0;0;0;0;0;0;0;1;1;0;2;1
82;2;1;3;3;2;2;1;3;5;2;4;1;1;1;1;1;2;1;3;3;1;3;3;2;2;1;1;5;5;2;2;5;2;6;1;1;6;Depot;Endlosschleife;Ermäßigung;Gaskammer;Genossenschaft;Holz;KONZERT;Krempe;Vergangenheit;Vernunft;Aktenordner;Altersvorsorge;Bewegung;Einwand;Empfang;Erfahrung;Fortgang;Funktion;Gymnasium;Hintertür;Kilogramm;Kreide;Liebling;Monolog;Nagel;Person;Regen;Rücken;Steine;Zusage;4;3;1;4;2;2;1;4;1;1;0;1;1;1;1;1;1;1;1;6;6;6;7;7;2;5,9;2,6;1,5;0;0;0;1;0;0;0;0;0;0;1;2
83;3;3;4;1;3;4;1;2;4;5;5;1;1;1;1;1;1;1;2;1;1;2;2;4;5;2;1;1;1;5;5;2;3;2;2;3;4;rtation;os;ahnung;onzentration;zid;and;ern;el;ser;unft;nschrank;rnative;gung;ohner;ehlung;hrung;pflanzung;tion;astik;ergrund;byte;de;estrank;ton;tier;on;neration;blick;nigung;ge;2;3;2;4;2;3;2;3;0;1;1;0;0;1;1;1;1;1;1;3;3;5;6;5;2,66666666666667;3,2;3,2;1,1;1;0;0;0;1;0;0;0;0;0;2;1
85;1;3;2;2;1;1;2;1;4;4;3;4;2;1;1;1;2;1;1;3;1;2;3;2;1;1;2;5;6;4;1;6;2;5;2;1;6;Depot;Endlosschleife;Ermittler;Gaskammer;Genom;Hologramm;Konzert;Krempel;Vergangenheit;Vernunft;Akten;nheim;Bewegung;Einwanderung;Empfinden;Erfahrung;Fortbewegung;Funkgerät;Gymnasium;Hinterteil;Kilogramm;Kreissaal;Liebhaber;Monokel;Nagetier;Personal;Regenschirm;Rücktritt;Stein;Zusammenhalt;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;4;7;6;6;7;1,83333333333333;5,8;2,3;1,7;0;0;0;1;0;0;0;0;0;0;1;1
86;2;2;3;3;4;2;3;3;2;5;5;2;1;1;1;1;2;1;2;2;1;4;5;5;3;3;3;4;5;4;3;4;3;3;3;3;4;sition;los;äßigung;ulum;m;z;entration;pel;ngenheit;unft;n;rn;gung;anderung;inden;hrung;pflanzung;tion;asium;er;gramm;se;e;pol;n;on;n;blick;gerung;mmen;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;4;5;5;5;5;3,83333333333333;4,4;3,2;1,4;0;0;0;0;0;0;0;0;0;0;0;1
87;3;2;4;3;3;4;2;3;3;4;4;2;1;1;1;1;1;2;1;2;1;3;6;4;3;3;3;4;4;5;5;4;3;4;3;2;6;Depot;Endlos;Ermutigung;Gaskugel;Genom;Holz;Konzert;Krempel;Vergangenheit;Vernunft;Akten;Altenheim;Bewegung;Einweihung;Empfang;Erfahrung;Fortschritt;Funkstille;Gymnasium;Hintertür;Kilometer;Kreis;Liebe;Monopol;Nagetier;Person;Regen;Rückblick;Stein;Zusage;4;3;2;3;2;3;1;3;0;1;1;0;1;1;0;1;1;1;1;3;3;5;5;6;3,66666666666667;4,4;3,2;1,3;0;0;0;0;0;0;0;0;0;0;0;1
88;4;3;2;1;1;2;1;2;4;2;3;1;1;1;1;1;1;1;1;2;1;3;3;3;2;2;2;5;5;4;3;3;4;6;3;2;5;Deponie;Endlösung;Ermessen;Gaskoffer;Genotyp;Holster;Konzert;Kremel;Vergassung;Vernunft;Aktenzeichen;Altersbetreuung;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortschritt;Funkgerät;Gymnasium;Hinterhalt;Kilogramm;Kreis;Lieblichkeit;Monopoly;Nagetier;Person;Regenrinne;Rücksicht;Steigung;Zusage;4;3;1;4;2;3;2;4;0;0;0;0;1;1;1;1;1;1;1;4;5;4;5;6;2,5;4,8;2,1;1,1;0;0;0;0;0;0;0;0;0;0;0;3
89;1;2;4;3;2;3;1;2;2;2;3;4;1;1;1;1;2;1;1;2;1;4;6;5;4;3;4;4;4;4;3;5;4;3;4;4;4;nie;ich;äßigung;ammer;zid;z;ern;mpel;ser;etzen;nkoffer;npfleger;gung;ohner;ang;hrung;setzung;gerät;asium;en;gramm;slauf;e;graphie;lpfeile;onalausweis;n;sicht;nzeit;mmen;4;3;2;1;2;2;1;3;0;3;1;1;1;1;0;1;1;1;1;4;5;4;4;4;4,33333333333333;4,1;2,4;1,5;0;0;0;1;1;0;0;0;0;0;2;1
90;2;4;5;4;4;4;3;4;3;2;4;2;1;1;1;1;1;1;2;2;1;6;7;4;2;1;1;2;2;4;2;3;6;6;3;3;5;Depot;Endlosschleife;Ermäßigung;Gaskammer;Genozid;Holländer;Konzentration;Krempel;Vergangenheit;Vernunft;Aktenzeichen;Altertum;Bewegung;Einwanderer;Empfindung;Erfahrung;Fortschritt;Funkwellen;Gymnasium;Hinterzimmer;Kilometer;Kreis;Liebhaber;Monographie;Nagetier;Person;Regenschirm;Rücksicht;Steinigung;Zusammenhalt;4;3;1;4;2;2;1;3;0;2;0;1;1;1;1;1;1;1;1;4;6;2;5;5;3,5;4;3,7;1,3;0;0;0;1;1;0;0;0;0;0;2;2
91;3;2;3;3;3;3;1;3;4;4;3;1;2;1;1;1;2;1;1;1;1;4;3;3;3;2;2;5;5;2;2;6;2;6;1;1;6;nie;losigkeit;äßigung;ammer;zid;z;ilianisch;l;ngenheit;achlässigung;nkundig;nheim;gung;wohnermeldeamt;ang;hrung;setzung;turm;asium;erhalt;gramm;de;lich;kausal;tier;on;nmantel;fall;nhaus;mmenhang;4;3;2;4;2;3;2;3;0;1;1;0;1;1;1;1;1;1;1;6;6;6;7;7;2,83333333333333;6;2,9;1,2;0;0;0;1;1;0;0;0;0;0;2;3
92;4;3;4;1;1;1;2;2;1;3;3;1;3;1;1;1;1;1;1;3;1;4;6;2;2;2;2;4;4;3;1;5;5;5;2;2;5;Depot;Endlastung;Ermäßigung;Gaskammer;Genotech;Holland;Konzentration;Krempel;Vergangenheit;Vernunft;n;Altersheim;Bewegung;Einwendung;Empfang;Erfahrung;Fortpflanzung;Funkloch;Gymnasium;Hintergrund;Kilogramm;Kreis;Liebschaft;Monoton;Nagel;Person;Regenbogen;Rückfall;Steigung;Zusammenhalt;4;3;1;4;4;3;1;3;0;1;0;0;1;1;1;0;1;1;1;5;7;3;6;6;3;5;2,1;1,4;0;0;0;1;0;0;0;0;0;0;1;3
93;1;3;3;3;2;3;3;3;4;4;4;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;5;5;2;2;4;6;4;2;1;5;t;ösung;äßigung;ammer;zid;ocaust;ert;el;ngenheit;unft;nzeichen;nheim;rbung;eihung;ängnis;hrung;schritt;tion;asium;ern;gramm;de;e;theismus;tier;on;nschirm;sicht;n;ge;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;6;6;2;6;7;1,66666666666667;5;3,2;1;0;0;0;1;1;1;0;0;0;0;3;2
97;1;2;4;1;2;2;2;3;3;4;4;3;2;3;1;1;1;3;2;2;2;2;2;5;3;1;1;5;6;3;2;6;3;7;1;2;5;t;ich;äßigungsrabattcode;ammer;zid;underblütensirup;entration;mel;ngenheit;unft;nzeichen;rsheimpersonal;gungsablauf;anderer;ängnis;hrung;pflanzugsprämissen;mast;asium;ergrund;joule;s;e;poly;tier;onalfachfrau;lmäßigkeit;ennummer;gung;mmen;4;3;2;2;2;2;2;3;0;1;1;1;1;1;0;1;1;1;1;5;6;5;7;6;2,33333333333333;5,8;2,7;2;0;0;0;1;1;0;0;0;0;0;2;1
98;2;3;4;2;3;1;2;3;3;4;4;1;1;1;1;1;1;1;1;2;1;5;3;4;2;5;2;3;4;7;5;3;5;4;5;2;5;Depot;Endlosschleife;Ermäßigung;Gaskammer;Genozid;Holz;Konzert;Krematorium;Vergangenheit;Vernichtung;Aktenordner;Altenheim;Bewegung;Einwohner;Empfindsamkeit;Erfahrung;Fortbildung;Funkloch;Gymnasium;Hinterhalt;Kilogramm;Kreide;Liebschaft;Monopol;Nagellack;Person;Regen;Rückmeldung;Stein;Zusatz;4;3;1;4;2;2;1;3;1;9;0;1;1;1;1;1;1;1;1;1;3;3;3;6;3,5;3,5;2,9;1,1;0;0;0;1;1;0;0;1;0;1;4;3
99;3;3;2;2;3;3;2;2;4;4;4;1;1;1;1;1;1;1;1;1;1;4;5;5;5;5;5;5;4;4;3;4;4;5;3;2;5;Depot;Endlichkeit;Ermessen;Gaskammer;Genotyp;Holster;Konzert;Krempel;Vergangenheit;Vernissage;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfinden;Erfahrung;Fortpflanzung;Funkturm;Gymnasium;Hintertür;Kilogramm;Kreis;Liebe;Monopol;Nagel;Personal;Regenschirm;Rücksicht;Stein;Zusage;4;3;2;4;2;3;2;3;0;2;1;0;1;1;1;1;1;1;1;4;5;4;5;6;4,83333333333333;4,7;2,9;1;0;0;0;1;0;0;0;0;0;0;1;2
