Statistical power of the Test of Excess Significance based on the Monte-Carlo simulation study. The columns denote the ID of the datasets and the rows reflect the severity of publication bias (=pub).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;97;98;103;105;106
"mu = 0; pub = 0";0,041;0,046;0,042;0,035;0,036;0,045;0,033;0,035;0,038;0,044;0,04;0,036;0,042;0,033;0,04;0,043;0,031;0,043;0,034;0,04;0,042;0,045;0,04;0,042;0,038;0,037;0,051;0,04;0,05;0,041;0,045;0,033;0,03;0,04;0,038;0,042;0,032;0,032;0,035;0,037;0,037;0,044;0,037;0,041;0,041;0,038;0,036;0,038;0,039;0,034;0,039;0,035;0,038;0,038;0,037;0,033;0,041;0,042;0,033;0,042;0,035;0,038;0,036;0,044;0,041;0,042;0,04;0,041;0,036;0,038;0,039;0,044;0,039;0,042;0,039;0,048;0,041;0,033;0,03;0,041;0,036;0,035;0,031;0,032;0,034;0,035;0,042;0,036;0,041;0,038;0,043;0,039;0,046;0,036;0,036;0,035;0,039;0,038
"mu = 0; pub = 0.25";0,053;0,059;0,055;0,052;0,052;0,056;0,043;0,05;0,056;0,058;0,049;0,05;0,049;0,048;0,057;0,06;0,061;0,057;0,05;0,05;0,054;0,062;0,054;0,059;0,05;0,048;0,066;0,055;0,062;0,055;0,056;0,053;0,05;0,054;0,055;0,054;0,047;0,05;0,047;0,052;0,048;0,055;0,052;0,048;0,052;0,055;0,049;0,054;0,053;0,051;0,05;0,045;0,042;0,051;0,049;0,052;0,056;0,053;0,051;0,056;0,051;0,05;0,047;0,061;0,053;0,052;0,054;0,053;0,047;0,045;0,048;0,054;0,054;0,054;0,056;0,06;0,053;0,049;0,049;0,054;0,048;0,054;0,051;0,052;0,05;0,049;0,055;0,048;0,053;0,055;0,058;0,054;0,058;0,048;0,051;0,048;0,052;0,048
"mu = 0; pub = 0.5";0,085;0,096;0,08;0,082;0,08;0,097;0,066;0,072;0,082;0,09;0,074;0,075;0,083;0,092;0,08;0,094;0,126;0,082;0,071;0,076;0,095;0,091;0,075;0,088;0,072;0,066;0,091;0,084;0,098;0,081;0,082;0,084;0,091;0,08;0,077;0,088;0,082;0,089;0,069;0,073;0,074;0,087;0,077;0,073;0,078;0,08;0,082;0,074;0,077;0,075;0,068;0,07;0,062;0,089;0,07;0,089;0,083;0,082;0,092;0,089;0,067;0,074;0,072;0,079;0,082;0,081;0,078;0,078;0,073;0,066;0,074;0,079;0,082;0,078;0,089;0,091;0,078;0,095;0,093;0,075;0,071;0,073;0,104;0,099;0,094;0,063;0,09;0,069;0,078;0,082;0,083;0,08;0,085;0,092;0,074;0,068;0,082;0,075
"mu = 0; pub = 0.75";0,175;0,207;0,142;0,18;0,149;0,194;0,128;0,143;0,151;0,192;0,141;0,123;0,146;0,251;0,147;0,172;0,396;0,148;0,13;0,138;0,205;0,184;0,141;0,162;0,128;0,122;0,188;0,154;0,174;0,154;0,153;0,173;0,238;0,153;0,157;0,183;0,207;0,257;0,124;0,133;0,124;0,163;0,139;0,14;0,142;0,158;0,16;0,145;0,148;0,137;0,135;0,122;0,121;0,204;0,123;0,232;0,16;0,146;0,238;0,196;0,126;0,143;0,124;0,16;0,181;0,141;0,184;0,161;0,139;0,12;0,127;0,161;0,149;0,149;0,19;0,179;0,166;0,239;0,251;0,153;0,136;0,136;0,295;0,254;0,246;0,121;0,189;0,118;0,143;0,145;0,158;0,162;0,179;0,236;0,141;0,129;0,181;0,138
"mu = 0; pub = 0.85";0,308;0,326;0,21;0,304;0,241;0,32;0,198;0,204;0,249;0,308;0,206;0,194;0,215;0,43;0,208;0,267;0,67;0,24;0,193;0,197;0,334;0,31;0,22;0,245;0,207;0,181;0,276;0,224;0,273;0,218;0,229;0,296;0,446;0,246;0,236;0,294;0,353;0,452;0,186;0,201;0,184;0,255;0,201;0,208;0,208;0,251;0,254;0,238;0,223;0,204;0,207;0,195;0,182;0,346;0,186;0,408;0,233;0,211;0,435;0,32;0,19;0,231;0,18;0,241;0,276;0,222;0,311;0,258;0,22;0,184;0,193;0,263;0,225;0,229;0,33;0,273;0,268;0,424;0,447;0,23;0,207;0,207;0,528;0,467;0,436;0,181;0,299;0,183;0,22;0,225;0,242;0,25;0,264;0,429;0,215;0,191;0,304;0,206
"mu = 0; pub = 0.95";0,65;0,684;0,394;0,634;0,458;0,67;0,35;0,404;0,47;0,657;0,4;0,33;0,396;0,85;0,397;0,551;0,987;0,464;0,327;0,375;0,702;0,616;0,423;0,471;0,398;0,331;0,587;0,456;0,543;0,437;0,451;0,623;0,848;0,488;0,471;0,61;0,724;0,866;0,335;0,374;0,336;0,523;0,4;0,4;0,393;0,508;0,492;0,452;0,434;0,4;0,387;0,345;0,321;0,729;0,339;0,815;0,463;0,401;0,841;0,687;0,334;0,452;0,328;0,477;0,566;0,422;0,639;0,526;0,404;0,344;0,351;0,541;0,438;0,445;0,681;0,552;0,546;0,866;0,892;0,474;0,38;0,385;0,936;0,886;0,853;0,314;0,638;0,321;0,415;0,429;0,472;0,521;0,53;0,842;0,396;0,341;0,64;0,407
"mu = 0; pub = 1";1;1;0,999;1;0,949;1;0,804;0,854;0,998;1;0,869;0,632;0,998;1;0,999;1;1;1;0,563;0,954;1;1;0,987;1;0,752;0,525;1;1;1;0,998;1;1;1;1;0,991;1;1;1;0,564;0,968;0,721;1;0,872;0,875;0,993;0,99;0,955;0,968;0,849;0,851;0,662;0,666;0,349;1;0,675;1;1;1;1;1;0,722;0,92;0,516;1;1;0,988;1;1;0,945;0,646;0,827;1;0,998;0,999;1;1;1;1;1;0,991;0,726;0,749;1;1;1;0,337;1;0,323;0,957;1;1;0,99;1;1;0,889;0,714;1;0,864
