"effect_size_id","ok","k","pooled_r","cilb95","ciub95","cilb999","ciub999","i2","tau2","n_pooled"
"14243_003",TRUE,4,0.0772173688968579,-0.112860513785851,0.267295251579567,-0.241898879649726,0.396333617443442,13.0906291112757,0.00512346150423572,124
"15101_001",TRUE,7,-0.0427418412919102,-0.123809805969959,0.0383261233861391,-0.178844497741163,0.0933608151573424,0,0,588
"16550_001",TRUE,5,0.0837371397117401,-0.100519413944722,0.267993693368203,-0.225605848241911,0.393080127665391,98.31611144165,0.0431423562385504,7888
"16550_003",TRUE,9,0.10970568425753,0.0245291737940127,0.194882194721046,-0.0332946906402648,0.252706059155324,97.8764548656365,0.016243784517942,25716
"16712_013",TRUE,38,0.125878701236093,0.0581100427803098,0.193647359691876,0.01210386457325,0.239653537898936,93.3804988709092,0.0333804316017179,18078
"17314_004",TRUE,12,0.382882556935616,0.226218990219855,0.539546123651378,0.119864635078214,0.645900478793019,91.2833516181076,0.0634699113015085,1064
"18648_001",TRUE,11,0.280951015970588,0.130727264407291,0.431174767533884,0.0287447131389426,0.533157318802233,73.0510365248724,0.0362948902901714,851
"19816_122",TRUE,4,-0.200111614713101,-0.637610520381066,0.237387290954863,-0.934615848185905,0.534392618759703,99.0105305410642,0.19341674021016,2298
"19816_131",TRUE,8,0.220628464485483,0.121044831020007,0.320212097950959,0.0534403883157368,0.387816540655229,47.9888581527882,0.00966452259270217,710
"20223_015",TRUE,50,0.107925978054372,0.0463768734861652,0.169475082622579,0.00459297016310553,0.211258985945638,56.9762037376541,0.0266333528341411,2288
"20746_001",TRUE,2,0.0137419070086074,-0.174115855355793,0.201599669373008,-0.30164704587737,0.329130859894585,0,0,109
"20746_003",TRUE,7,0.226754843388374,0.104251562301181,0.349258124475567,0.0210876350659357,0.432422051710813,43.1974199725307,0.011693725764026,401
"34220_002",TRUE,23,-0.0869708091101176,-0.129850471390256,-0.0440911468299796,-0.158960231407207,-0.0149813868130284,96.3235276619969,0.00825708639661949,86507
"34306_032",TRUE,7,0.149316799847271,0.127567762291693,0.171065837402849,0.112802971008908,0.185830628685633,0,0,7768
"34306_034",TRUE,9,0.195755262983448,0.183891638441145,0.20761888752575,0.175837767561719,0.215672758405177,0,0,25242
"34670_003",TRUE,38,0.0848634913236956,0.0480276125692976,0.121699370078094,0.023020802031736,0.146706180615655,85.6450979593337,0.00921060783894833,26411
"35660_003",TRUE,33,0.113697770032504,0.0525850507954478,0.174810489269561,0.0110973968267258,0.216298143238283,88.2276755949784,0.0239013109106091,9525
"37402_009",TRUE,73,0.0687013198491637,0.0472562386923393,0.090146401005988,0.0326977945996404,0.104704845098687,81.5830959681386,0.00573247173879406,56891
"37477_028",TRUE,9,0.430190210901236,0.291317939985035,0.569062481817437,0.197041579948213,0.663338841854259,91.1522289986917,0.0391886221132767,1174
"37653_002",TRUE,85,0.270953745850685,0.210661862429457,0.331245629271913,0.169731450107275,0.372176041594095,97.0972694556826,0.0711745553867163,36793
"37768_004",TRUE,5,0.275740426252323,0.178649723014685,0.372831129489961,0.112737658393929,0.438743194110717,0,0,348
"39489_017",TRUE,10,-0.116237851977533,-0.180478531370788,-0.051997172584278,-0.224089666837443,-0.00838603711762226,16.0228398285009,0.00165699374721949,1233
"39489_027",TRUE,6,-0.0899989579683527,-0.161208999815014,-0.0187889161216913,-0.209551433470643,0.029553517533938,0,0,748
"41430_001",TRUE,25,0.321282896576271,0.209859971523194,0.432705821629347,0.134218176877247,0.508347616275294,88.0654552738352,0.0682009289607644,2008
"42162_001",TRUE,5,0.109298327879755,-0.0278606793267574,0.246457335086267,-0.120973954283549,0.339570610043058,50.6005132594948,0.0113955715052358,561
"42168_002",TRUE,15,0.334644952469608,0.246951416275899,0.422338488663317,0.187418816019876,0.481871088919339,68.9716892830237,0.0184461620861855,1474
"42288_001",TRUE,50,0.129283983803269,0.0701873212567236,0.188380646349815,0.0300683097474019,0.228499657859136,57.9657198821477,0.0221048180639707,3083
"47429_001",TRUE,27,0.205774909607051,0.161101271224608,0.250448547989493,0.130773632823424,0.280776186390678,97.0249805219815,0.0127110965823281,66407
"47429_002",TRUE,14,0.188212665454895,0.135448843956412,0.240976486953379,0.099629014701144,0.276796316208647,96.0936149353588,0.00914516431097547,36228
"47429_003",TRUE,14,0.208654873100728,0.135987431679454,0.281322314522002,0.0866556116898415,0.330654134511614,96.2479910808955,0.0176338841843277,23096
"47448_001",TRUE,7,-0.0954579199542102,-0.174871300565365,-0.0160445393430551,-0.228782743165423,0.0378669032570027,87.1396815544814,0.00884966216760272,6184
"47448_004",TRUE,4,-0.108823411065269,-0.263094543486985,0.0454477213564469,-0.367824744322069,0.150177922191531,93.1073871292995,0.0210500934067217,3803
"47484_001",TRUE,9,-0.0189861714917664,-0.072145274244931,0.0341729312613983,-0.108233448488268,0.0702611055047354,0,0,1358
"47484_002",TRUE,3,-0.0208550439202872,-0.155035059706224,0.11332497186565,-0.2461259837224,0.204415895881825,0,0,216
"47484_003",TRUE,6,0.201629820546727,0.0108983950130764,0.392361246080377,-0.118583642151832,0.521843283245285,85.979380306879,0.0443061918193104,906
"47484_004",TRUE,6,-0.111397117977425,-0.20051242183215,-0.0222818141227011,-0.26101021894867,0.0382159829938195,46.0729990396994,0.00497112628086164,1148
"47484_005",TRUE,3,-0.228106216088411,-0.481261188510408,0.0250487563335849,-0.653120762547111,0.196908330370288,91.0183373892323,0.043904708563646,758
"47484_006",TRUE,6,-0.0213622194543683,-0.0883589844761593,0.0456345455674228,-0.133841146601297,0.0911167076925608,0,0,853
"47484_007",TRUE,3,-0.0149478324637626,-0.102290734907447,0.0723950699799222,-0.161585300072373,0.131689635144848,0,0,505
"47484_008",TRUE,5,0.143677978754458,-0.0494580624777922,0.336814019986708,-0.180572523551777,0.467928481060693,82.8182176587344,0.0354574445417008,826
"47484_009",TRUE,1,0.451136088266239,0.275502584791768,0.626769591740709,0.156270089356598,0.746002087175879,0,0,80
"47484_010",TRUE,5,-0.138946644769638,-0.22385893123808,-0.0540343583011957,-0.281503421659636,0.00361013212036024,21.4994452988799,0.00204089345883379,826
"47484_011",TRUE,1,-0.0179970847083967,-0.127356174324857,0.0913620049080633,-0.20159689090536,0.165602721488566,0,0,322
"47484_012",TRUE,2,-0.0394739694026932,-0.28579512234563,0.206847183540244,-0.453015414390443,0.374067475585057,0,0,65
"47484_013",TRUE,1,-0.0129989016392153,-0.173002250285138,0.147004447006707,-0.281623886588202,0.255626083309771,0,0,151
"47491_001",TRUE,4,0.116569803681436,-0.0510525274174689,0.284192134780341,-0.164846470100437,0.397986077463309,82.5056560002435,0.0228501012009629,955
"47491_002",TRUE,4,0.158929859913371,0.0855444467194613,0.23231527310728,0.0357252165011065,0.282134503325635,55.7982450235897,0.00297100737316473,1868
"47569_001",TRUE,18,-0.113236804080358,-0.236076892273939,0.00960328411322234,-0.31946946809263,0.0929958599319129,98.4639940942215,0.0686269533039442,13100
"47569_002",TRUE,18,-0.0954472377667047,-0.151887831284474,-0.039006644248935,-0.190203714506288,-0.00069076102712165,97.5221493471624,0.0137814343524157,62135
"47569_003",TRUE,8,-0.0933538184174108,-0.182556072696416,-0.00415156413840503,-0.243112897936052,0.0564052611012305,95.2684901896269,0.0145380571155629,16761
"47569_004",TRUE,7,-0.123034716795145,-0.176197849761038,-0.0698715838292515,-0.212288759998996,-0.0337806735912935,78.6176283319264,0.00354400550889713,14115
"47569_005",TRUE,10,-0.0787248061060703,-0.118397679851876,-0.0390519323602646,-0.145330444069521,-0.0121191681426196,40.0286572761956,0.00157067073452226,4276
"47594_001",TRUE,15,0.179127462832928,0.104067261046528,0.254187664619329,0.0531110653901511,0.305143860275706,81.8689737319598,0.0167385813906135,3842
"47733_001",TRUE,8,-0.14572490832432,-0.239475328744379,-0.0519744879042609,-0.30311977216576,0.0116699555171207,99.5107553693985,0.0172170811946354,179186
"47769_001",TRUE,68,0.205282784378542,0.134639134706517,0.275926434050568,0.0866812082835097,0.323884360473575,87.1636639251986,0.0682693457199482,3540
"47769_004",TRUE,14,0.21308537220379,0.114877994233609,0.311292750173972,0.0482078514995276,0.377962892908053,52.4301776687269,0.0168733620112145,800
"47769_005",TRUE,13,0.184890774413569,-0.0260212452837527,0.39580279411089,-0.169203302968087,0.538984851795225,92.5266539995176,0.127919853762013,571
"47769_006",TRUE,11,0.154269325322976,0.0220399604841979,0.286498690161754,-0.0677267231362013,0.376265373782153,70.7421359529662,0.0339799155870733,693
"47769_007",TRUE,19,0.199704451517985,0.0447935184828744,0.354615384553097,-0.06037102444644,0.459779927482411,90.2566928658865,0.0961709946393359,948
"47769_008",TRUE,11,0.265508772080232,0.0896394585916666,0.441378085568797,-0.0297531214280099,0.560770665588473,85.1339043898254,0.07008803656248,528
"47783_001",TRUE,38,-0.14447671419212,-0.197534142552611,-0.0914192858316294,-0.23355329299741,-0.0554001353868304,90.9142124603019,0.0209255410972427,18318
"47783_010",TRUE,5,-0.188104212757417,-0.312390704997985,-0.0638177205168502,-0.396765202605617,0.0205567770907819,70.7369322908373,0.0107857484954663,2792
"47783_015",TRUE,13,0.131004151848905,0.028661911472259,0.233346392225551,-0.0408152695162033,0.302823573214013,81.2516361548898,0.0266240538533896,1955
"47783_016",TRUE,7,0.137889650970768,-0.0379230873762797,0.313702389317815,-0.157277260171997,0.433056562113532,90.0893952443819,0.0474160371991164,1228
"47783_022",TRUE,12,0.148443462459183,0.0157446134429689,0.281142311475397,-0.0743407893792659,0.371227714297632,95.9791802486038,0.050211739572143,6083
"47837_001",TRUE,7,0.126032335781914,-0.0890840772583371,0.341148748822165,-0.235120375734727,0.487185047298555,89.7707875024327,0.072935326978829,753
"47837_002",TRUE,4,-0.142291084980722,-0.375844692766501,0.0912625228050582,-0.534397468423188,0.249815298461744,79.3792426011672,0.0448815056692548,309
"47837_003",TRUE,2,0.157739019221682,-0.00220214800232513,0.317680186445688,-0.110781571140144,0.426259609583507,9.84612994868098,0.00141565379800973,161
"47837_004",TRUE,2,0.222827524157363,-0.0427960258381382,0.488451074152864,-0.223120155834872,0.668775204149598,67.0422112002145,0.0249911924861494,161
"47837_005",TRUE,2,-0.115066878833094,-0.211257399339747,-0.0188763583264411,-0.276558355992833,0.0464245983266454,0,0,406
"48050_001",TRUE,19,-0.121088358913023,-0.254394791555709,0.0122180737296619,-0.344892665293439,0.102715947467392,86.8237388184474,0.0656400914093847,1347
"48113_001",TRUE,3,0.0339473583716753,-0.00347231481037266,0.0713670315537232,-0.0288754464657895,0.0967701632091401,0,0,2739
"48113_002",TRUE,7,0.0112467598989787,-0.124807639897844,0.147301159695801,-0.21717102889707,0.239664548695028,90.5826130658652,0.0237864801633846,4651
"48113_004",TRUE,6,0.0337790154622691,-0.0058762766807301,0.0734343076052683,-0.0327971052577662,0.100355136182304,58.5326987673464,0.00141868123015903,6034
"48113_005",TRUE,5,-0.0289698982443978,-0.0681081416218,0.0101683451330045,-0.0946779607765777,0.0367381642877822,46.7003822848808,0.000887436959419405,5240
"48113_006",TRUE,5,-0.0104711917680386,-0.0489560724721629,0.0280136889360856,-0.0750823426433011,0.0541399591072239,53.8400155133666,0.00102494113657233,5812
