"effect_size_id","cat","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Value","Statistical.Test"
"41430_001","education","Numeracy: General","Video games: Numeracy",25,0.321,0.21,0.433,2008,88.1,0.37,"Cohen's d"
"48113_005","health behaviour","Diet: Fat consumption","Intervention: Lifestyle risk behaviour (at school)",5,-0.029,-0.068,0.01,5240,46.7,-0.06,"Standard mean difference"
"59588_020","health behaviour","Diet: Fat consumption","Intervention: To promote health",3,-0.001,-0.267,0.264,2438,97.4,3.43,"Mean difference"
"59207_001","health behaviour","Diet: Food intake","Advertising: Food marketing",32,0.107,0.054,0.16,5764,70.7,-999,"-999"
"59207_002","health behaviour","Diet: Food intake","Advertising: Food marketing",26,0.093,0.034,0.153,2520,53.7,-999,"-999"
"59207_003","health behaviour","Diet: Food intake","Advertising: Food marketing",6,0.149,0.023,0.276,3167,90.6,-999,"-999"
"59207_004","health behaviour","Diet: Food intake","Advertising: Food marketing",32,0.108,0.054,0.162,5687,70.4,-999,"-999"
"59207_006","health behaviour","Diet: Food intake","Advertising: Food marketing (TV)",23,0.08,0.019,0.141,4758,69.8,0.21,"Standardized mean difference"
"6739_002","health behaviour","Diet: Food intake","Advertising: Unhealthy food",13,0.233,0.096,0.37,1756,90.4,0.56,"std. mean difference"
"47594_001","health behaviour","Diet: Food intake (calories)","Advertising: Advergames",15,0.179,0.104,0.254,3842,81.9,0.3,"Hedge's g"
"47427_017","health behaviour","Diet: Food intake (calories)","Advertising: Food portrayed in media",13,-0.017,-0.066,0.031,1621,0,25.51,"Mean difference"
"47934_003","health behaviour","Diet: Food intake (calories)","Advertising: General",19,-0.026,-0.074,0.022,1681,0,57.68,"Mean difference"
"59588_019","health behaviour","Diet: Food intake (calories)","Intervention: To promote health",4,-0.058,-0.169,0.053,1562,73.2,-44.89,"Mean difference"
"59207_015","health behaviour","Diet: Food preference","Advertising: Food marketing",10,0.207,0.088,0.326,4132,93.3,-999,"-999"
"59207_016","health behaviour","Diet: Food preference","Advertising: Food marketing",6,0.236,0.037,0.434,1682,94.2,-999,"-999"
"59207_017","health behaviour","Diet: Food preference","Advertising: Food marketing",4,0.144,0.104,0.183,2370,0,-999,"-999"
"59207_018","health behaviour","Diet: Food preference","Advertising: Food marketing",9,0.143,0.08,0.206,3984,72.1,-999,"-999"
"59207_021","health behaviour","Diet: Food preference","Advertising: Food marketing (digital)",4,0.188,0.105,0.27,1785,63.6,0.36,"Standardized mean difference"
"59207_020","health behaviour","Diet: Food preference","Advertising: Food marketing (TV)",6,0.212,0.012,0.412,2267,95.6,0.44,"Standardized mean difference"
"47491_002","health behaviour","Diet: Fruit and vegetable intake","Intervention: Fruit and vegetable",4,0.159,0.086,0.232,1868,55.8,0.35,"Hedge's g"
"48113_002","health behaviour","Diet: Fruit and vegetable intake","Intervention: Lifestyle risk behaviour (at school)",7,0.011,-0.125,0.147,4651,90.6,0.12,"Standard mean difference"
"48113_004","health behaviour","Diet: Fruit and vegetable intake","Intervention: Lifestyle risk behaviour (at school)",6,0.034,-0.006,0.073,6034,58.5,0.11,"Standard mean difference"
"59588_017","health behaviour","Diet: Fruit and vegetable intake","Intervention: To promote health",6,0.299,0.045,0.553,1328,96.9,0.63,"Mean difference"
"48113_001","health behaviour","Diet: Fruit intake","Intervention: Lifestyle risk behaviour (at school)",3,0.034,-0.003,0.071,2739,0,0.07,"Standard mean difference"
"59588_018","health behaviour","Diet: Fruit intake","Intervention: To promote health",4,-0.01,-0.136,0.116,2455,86.7,0,"Mean difference"
"48113_006","health behaviour","Diet: Sugary drinks and snacks","Intervention: Lifestyle risk behaviour (at school)",5,-0.01,-0.049,0.028,5812,53.8,-0.02,"Standard mean difference"
"19816_122","health behaviour","Diet: Unhealthy food choice","Advertising: Unhealthy food",4,-0.2,-0.638,0.237,2298,99,-0.28,"Standardized mean difference"
