"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"48113_001",3,0.0339473583716753,-0.00347231481037266,0.0713670315537232,0.0753888415896274,0,2739,FALSE
"48113_002",7,0.0112467598989787,-0.124807639897844,0.147301159695801,0.871291779914129,90.5826130658652,4651,FALSE
"48113_004",6,0.0337790154622691,-0.0058762766807301,0.0734343076052683,0.095012620495347,58.5326987673464,6034,FALSE
"48113_005",5,-0.0289698982443978,-0.0681081416218,0.0101683451330045,0.146848415104153,46.7003822848808,5240,FALSE
"48113_006",5,-0.0104711917680386,-0.0489560724721629,0.0280136889360856,0.593840821180547,53.8400155133666,5812,FALSE
"48113_010",6,0.178107785251376,0.0461981417759876,0.310017428726765,0.00813550791677728,36.4190650925556,324,FALSE
"48113_013",12,0.082958361198587,0.0148802687818887,0.151036453615285,0.0169234793444492,90.8714964953451,10408,FALSE
"48113_016",6,0.610854640774339,0.454289194500009,0.767420087048669,2.05751663233397e-14,99.2354837805075,5775,TRUE
"47569_001",18,-0.113236804080358,-0.236076892273939,0.00960328411322234,0.07080288266347,98.4639940942215,13100,FALSE
"47569_002",18,-0.0954472377667047,-0.151887831284474,-0.039006644248935,0.000918025182629065,97.5221493471624,62135,TRUE
"47569_003",8,-0.0933538184174108,-0.182556072696416,-0.00415156413840503,0.0402491567521526,95.2684901896269,16761,FALSE
"47569_004",7,-0.123034716795145,-0.176197849761038,-0.0698715838292515,5.73534521449162e-06,78.6176283319264,14115,TRUE
"47569_005",10,-0.0787248061060703,-0.118397679851876,-0.0390519323602646,0.000100553861818278,40.0286572761956,4276,TRUE
"47837_001",7,0.126032335781914,-0.0890840772583371,0.341148748822165,0.250843469293511,89.7707875024327,753,FALSE
"47837_002",4,-0.142291084980722,-0.375844692766501,0.0912625228050582,0.23244046289528,79.3792426011672,309,FALSE
"47837_003",2,0.157739019221682,-0.00220214800232513,0.317680186445688,0.0532388779047998,9.84612994868098,161,FALSE
"47837_004",2,0.222827524157363,-0.0427960258381382,0.488451074152864,0.100138254390565,67.0422112002145,161,FALSE
"47837_005",2,-0.115066878833094,-0.211257399339747,-0.0188763583264411,0.0190482220589735,0,406,FALSE
"47484_001",9,-0.0189861714917664,-0.072145274244931,0.0341729312613983,0.483917431553791,0,1358,FALSE
"47484_002",3,-0.0208550439202872,-0.155035059706224,0.11332497186565,0.760648668195251,0,216,FALSE
"47484_003",6,0.201629820546727,0.0108983950130764,0.392361246080377,0.0382695129788947,85.979380306879,906,FALSE
"47484_004",6,-0.111397117977425,-0.20051242183215,-0.0222818141227011,0.0142848001864104,46.0729990396994,1148,FALSE
"47484_005",3,-0.228106216088411,-0.481261188510408,0.0250487563335849,0.0773903572139995,91.0183373892323,758,FALSE
"47783_001",38,-0.14447671419212,-0.197534142552611,-0.0914192858316294,9.44807294940369e-08,90.9142124603019,18318,TRUE
"6524_001",4,-0.164743087887572,-0.19657963301478,-0.132906542760363,3.59164919997302e-24,39.2290429440681,7611,TRUE
"6524_002",7,-0.117044659942372,-0.179473987759439,-0.0546153321253048,0.000238214707189275,94.2290965496444,18902,TRUE
"6524_003",5,-0.122797893481322,-0.206321881105976,-0.0392739058566671,0.00395710882185741,92.1969670459336,11850,FALSE
"6524_004",8,-0.0535777360228465,-0.0976385442468951,-0.00951692779879791,0.0171578784541914,28.7440028066725,3321,FALSE
"6524_005",10,-0.0559735677114331,-0.102433291274685,-0.00951384414818143,0.0182101129218087,78.0438656423117,9798,FALSE
"52311_001",3,0.126578507970051,-0.0424103670147728,0.295567382954875,0.142082285809288,0,133,FALSE
"52311_002",2,0.106467134949459,-0.102243584439061,0.315177854337979,0.317400875260326,0,88,FALSE
"52311_003",4,-0.142638642669535,-0.281440339589345,-0.00383694574972529,0.0439944190792847,1.02649125255294,192,FALSE
"52311_004",2,0.224047228894098,0.0302414052486345,0.417853052539561,0.0234638639359734,0,94,FALSE
"52311_005",2,0.230645100563706,0.0344003298800996,0.426889871247312,0.0212489342206176,0,91,FALSE
"52311_006",4,0.227304910515593,0.0894092879967974,0.365200533034388,0.00123455994435658,0,185,FALSE
"52311_007",2,0.363193310093262,0.0163959022540925,0.709990717932432,0.0401087432712229,0,26,FALSE
"47429_001",27,0.205774909607051,0.161101271224608,0.250448547989493,1.74916355625913e-19,97.0249805219815,66407,TRUE
"47429_002",14,0.188212665454895,0.135448843956412,0.240976486953379,2.7226456246186e-12,96.0936149353588,36228,TRUE
"47429_003",14,0.208654873100728,0.135987431679454,0.281322314522002,1.82548605052715e-08,96.2479910808955,23096,TRUE
"48050_001",19,-0.121088358913023,-0.254394791555709,0.0122180737296619,0.0750227294725643,86.8237388184474,1347,FALSE
"6739_002",13,0.23343380126226,0.0964123436241173,0.370455258900402,0.000840646693742632,90.4172043432497,1756,TRUE
"7702_005",4,0.0715224875226674,-0.123325373625418,0.266370348670753,0.471869370369541,87.0454575363964,1102,FALSE
"34306_032",7,0.149316799847271,0.127567762291693,0.171065837402849,2.83784303088837e-41,0,7768,TRUE
"34306_034",9,0.195755262983448,0.183891638441145,0.20761888752575,1.89872686035922e-229,0,25242,TRUE
"52549_003",6,0.161491084667219,-0.00660243549218842,0.329584604826626,0.0597031000343683,53.5831669788427,294,FALSE
"48113_008",3,-0.0461070609685571,-0.0834835342293674,-0.00873058770774682,0.0156154121277867,37.3731144008547,5045,FALSE
"48113_017",4,0.517757874996505,0.399501312944596,0.636014437048413,9.38637821955681e-18,96.3042018772017,4085,TRUE
"48113_019",4,0.0306810021650922,-0.0351718146657735,0.0965338189959578,0.361162382362455,73.9430989960564,3435,FALSE
"50271_001",79,0.212970796401119,0.149862542642638,0.2760790501596,3.73387252680459e-11,85.2479080511414,5810,TRUE
"50609_001",3,-0.0194691955941408,-0.185806374279297,0.146867983091015,0.818552553864451,0.00415020391886144,138,FALSE
"50609_002",3,0.231645323122446,0.0726407341434396,0.390649912101453,0.00429870940602984,0,138,FALSE
"50837_001",57,0.128037066205763,0.0796974929207818,0.176376639490744,2.08765589858708e-07,37.9972385458555,2606,TRUE
"52166_001",2,-0.109654812447351,-0.668146296962356,0.448836672067654,0.700369732097499,97.3034093468497,804,FALSE
"52166_002",2,-0.207102172042797,-0.266921733493952,-0.147282610591643,1.15589217881671e-11,0,984,TRUE
"52166_003",1,-0.03,-0.0863175689670439,0.0263175689670439,0.296457643287157,0,1210,FALSE
"52166_004",2,0.0519407051253628,-0.0144135892852982,0.118294999536024,0.124976184588384,0,869,FALSE
