"effect_size_id","ok","k","pooled_r","cilb95","ciub95","cilb999","ciub999","i2","tau2","n_pooled","review_id","Study.Level.Available.","Value","Value...CI.lower.bound","Value...CI.upper.bound","p.value","Statistical.Test","k..number.of.effects.informing.this.test.","Combined.N","Exposure...Author.Description","exposure","Outcome...Author.Description","cat","Outcome.Level.2","Outcome.Level.3","outcome","Benefit.or.Risk.","Moderator.Level.Recoded","Moderator.Category.Recoded","Use.Moderator","I2.calculated","Value_raw_SE","Value_raw_SD"
"61471_001",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,61471,TRUE,0.16,0.09,0.231,"<.001","d",10,-999,"One-to-one laptop programs","Computer use: Educational","Academic achievement","education","education_learning","education_learning_academic performance","Learning: General","Benefit","Overall","Overall",TRUE,-999,NA,NA
"61455_001",TRUE,42,-0.0302873115908668,-0.0559617568303975,-0.00461286635133611,-0.0733913936267041,0.0128167704449705,89.1327599244401,0.00582105610413322,59340,61455,TRUE,-0.06,-0.114,-0.006,"0.028","Cohen's d",10,-999,"Computer-based test (compared to paper test)","Computer use: Test taking (compared to pen & paper)","Test score","education","education_learning","education_learning_academic performance","Learning: General","Benefit","Overall","Overall",TRUE,37.89954338,NA,NA
"20223_015",TRUE,50,0.107925978054372,0.0463768734861652,0.169475082622579,0.00459297016310553,0.211258985945638,56.9762037376541,0.0266333528341411,2288,20223,TRUE,0.19,0.06,0.33,"0.001","g+",38,1272," ","e-Books: Narration","  ","education","education_learning","education_learning_general","Learning: General","Benefit","overall","overall",TRUE,51.46267874,0.07,NA
"42168_002",TRUE,15,0.334644952469608,0.246951416275899,0.422338488663317,0.187418816019876,0.481871088919339,68.9716892830237,0.0184461620861855,1474,42168,TRUE,0.677,0.491,0.863,"0","hedge's g",15,1560," ","Intervention: Augmented reality","  ","education","education_learning","education_learning_general","Learning: General","Benefit","overall","overall",TRUE,60.776,NA,NA
"50271_001",TRUE,79,0.212970796401119,0.149862542642638,0.2760790501596,0.107020178120351,0.318921414681888,85.2479080511414,0.0618720589658357,5810,50271,TRUE,0.46,0.35,0.57,"","Cohen's d",79,4206," ","Intervention: Education (touch screen)","  ","education","education_learning","education_learning_general","Learning: General","Benefit","overall","overall",TRUE,91,NA,NA
"55554_001",TRUE,15,0.0889128242944612,0.0599597027259425,0.11786594586298,0.0403042675899342,0.137521380998988,89.562662471614,0.00255441809908865,52377,55554,TRUE,0.18,0.12,0.24,"-999","standardised mean difference ",15,53029,"technology-supported personalised learning","Intervention: Literacy (Abracadabra)","Learning outcomes","education","education_learning","education_learning_academic performance","Learning: General","Benefit","Overall","Overall",TRUE,83.59,NA,NA
"55554_004",TRUE,12,0.0910398101574588,0.0577221075106495,0.124357512804268,0.0351036847714852,0.146975935543432,90.8831097426628,0.0028190594155294,44550,55554,TRUE,0.19,0.12,0.26,"-999","standardised mean difference ",12,44550,"technology-supported personalised learning","Intervention: Literacy (Abracadabra)","Learning outcomes","education","education_learning","education_learning_academic performance","Learning: General","Benefit","Technology only","Delivery Type",TRUE,-999,NA,NA
"55554_005",TRUE,3,0.0800604377410888,0.0140859338160777,0.1460349416661,-0.0307022448768328,0.19082312035901,75.5518218722153,0.00232654901367696,7827,55554,TRUE,0.12,0,0.24,"-999","standardised mean difference ",3,7827,"technology-supported personalised learning","Intervention: Literacy (Abracadabra)","Learning outcomes","education","education_learning","education_learning_academic performance","Learning: General","Benefit","Teacher and Technology","Delivery Type",TRUE,-999,NA,NA
"37768_004",TRUE,5,0.275740426252323,0.178649723014685,0.372831129489961,0.112737658393929,0.438743194110717,0,0,348,37768,TRUE,0.56,0.34,0.78,"0.05","Hedges' g",5,348," ","Intervention: With digital characters","  ","education","education_learning","education_learning_general","Learning: General","Benefit","grades 4-7","age",TRUE,0,NA,NA
"47569_001",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,47569,TRUE,-0.29,-0.65,0.08,"-999","Cohen's d",18,5947," ","Screen use: General","  ","education","education_learning","education_learning_academic performance","Learning: General","Benefit","overall","overall",TRUE,96.4,NA,NA
