subject;condition;instruct;as1;as2;as3;as4;as5;as6;as7;as8;as9;as10;as11;as12;as13;as14;as15;as16;as17;as18;as19;as20;as21;as22;as23;ni1;ni2;ni3;ni4;ni5;ni6;sh1;sh2;sh3;sh4;sex;religion;party;age_groups
72;0;0;1;2;1;7;7;4;4;1;5;4;7;5;4;4;1;4;7;5;6;4;7;2;4;7;5;5;1;3;1;7;7;7;7;2;2;2;2
73;1;0;7;7;7;4;4;1;7;5;3;2;4;3;5;5;5;4;2;7;3;1;4;1;4;6;3;6;4;6;3;6;7;4;5;1;1;1;3
74;0;1;3; ;1;5;4; ; ;1;5;2;5;4;2; ;2;5;7;7;4; ;5;1;4;4;1;3;2;4;3;7;4;6;6;2;1;1;2
75;1;1;3;6;2;1;3;2;7;4;3;1;2;2;4;4;2;1;5;6;2;1;2;1;1;5;1;5;1;4;1;7;1;1;1;1;1;3;3
76;1;1;4;6;3;5; ;4;6; ;3;3; ; ;4;3;5;3;5;6;3;2;4;1;5;5;6;5;2;5;3;3;5;6;5;2;1;1;1
77;0;1;3;3;2;4;6;4;5;2;3;1;4;4;2;4;5;1;6;6;4;4;4;1;5;4;1;7;1;7;2;6;2;4;4;2;1; ;1
78;0;1;3;2;1;2;2;2;3;1;5;2;4;3;4;3;4;1;2;4;2;2;3;1;3;1;1;2;2;3;2;3;3;2;3;2;1;4;1
79;1;1;5;6;3;1;2;2;7;6;3;1;6;1;6;5;2;2;6;6;4;1;5;1;6;6;1;7;6;6;4;7;7;6;6;2;3; ;1
80;1;0;6;7;1;3;2;3;7;5;2;1;3;4;5;5;4;2;7;5;3;1;3;1;3;5;6;5;2;5;3;6;4;5;3;2;1; ;2
81;0;1;3;4;2;3;5;3;5;3;1;3;6;5;5;2;3;1;7;7;5;3;4;1;5;5;1;4;1;4;2;5;6;6;6;2;3;3;2
82;1;1;3;7;7;5;4;5;4;3;3;1;5;6;5;3;5;3;5;6;7;1;3;1;5;7;4;4;4;4;4;7;7;7;6;2;1;2;1
83;1;1;3;5;4;4;7;5;6;3;5;2;6;5;4;4;5;3;6;5;3;2;4;2;6;6;5;6;2;6;2; ;4;2;5;1;1;3;3
84;0;1;2;3;3;5;6;4;4;3;5;2;5;4;3;3;4;2;7;7;2;1;5;1;4;2;1;5;1;1;2;7;3;5;5;1;1;3;2
85;0;0;4;4;4;1;4;1;6;5;1;1;3;2;1;7;7;1;1;7;6;3;1;4;4;6;2;4;4;7;1;7;7;7;7;1;1;3;3
86;1;1;6;5;3;2;3;2;7;1;5;1;3;3;4;5;3;2;3;5;3;1;5;1;4;5;1;3;1;1;2;6;5;2;2;2;1;4;3
87;0;1;4;5;2;2; ;4;5; ;3;5;3; ; ;3;4;4;6;6;4; ;4;2;3;5;3;6;3;2;2;6;2;4;3;2;1;2;3
88;0;1;1;7;1;4;4;4;4;4;4;1;4;4;4;4;4;4;7;7;7;1;3;3;3;1;4;4;4;4;1;7;7;7;7;2;1; ;3
89;1;1;2;6;2;5;4;4;6;4;4;4;5;5;3;4;4;4;4;6;5;1;6;4;7;6;4;5;1;5;2;1;5;2;2;1;1;2;3
90;1;1;3;5;2;4;1;2;7;3;2;6;2;4;2;3;5;4;7;6;5;5;4;1;3;5;1;3;1;3;4;6;2;1;1;2;2;1;1
91;0;0;1;2;1;5;4;5;5;3;7;4;7;4;4;1;1;2;6;6;4;4;6;5;5;4;2;4;1;4;1;1;1;2;2;1;1;5;2
92;1;1;3;5;5;6;3;3;5;3;4;3;5;3;2;5;4;2;6;7;3;1;3;1;2;6;4;6;1;7;1;7;6;4;4;2;1;2;1
93;0;0;4;5;4;6;2;4;6;4;3;4;3;3;3;4;3;3;4;6;4;3;3;4;5;5; ;4;2;2;3;3;3;3;3;2;1;3;1
94;0;1;7;5;4;3;1;1;7;5;1;1;1;1;1;5;7;1;2;4;1;1;1;1;1;2;1;2;1;1;4;7;2;7;7;1;3;5;3
95;1;1;3;4;1;1;3;3;6;2;2;1;5;2;7;5;1;1;3;1;5;4;5;3;5;6;1;4;1;5;3;7;6;6;7;2;1; ;2
96;0;1;3;5;4;4;2;3;3;2;2;3;3;3;3;4;5;5;6;4;6;6;4;6;2;5;2;4;1; ;5;2;2;3;3;2;1; ;1
97;1;1;2;6;6;5;3;1;2;3;4;3;4;3;4;5;3;2;6;6;6;2;4;1;5;6;1;5;1;1;1;4;3;4;3;2;1; ;1
98;1;0;7;4;5;7;4;7;7;4;4;4;2;2;4;4;1;4;4;7;3;4;4;1;7;4;4;7;7;7;4;4;4;4;4;2;1; ;3
99;0;0;1;5;2;1;4;4;6;6;4;1;4;4;6;5;6;4;4;6;6;4;5;1;4;5;3; ;1;5;1;6;6;6;5;1;1; ;1
100;0;1;2;2;1;3;4;4;4;1;7;2;7;5;3;3;4;2;6;6;2;4;5;4;7;4;3;7;1;5;1;5;4;4;2;1;1;1;2
101;1;1;2;3;3;4;5;3;2;2;6;6;6;7;3;2;4;1;6;6;4;3;5;7;7;7;1;3;2;1;1;7;7;7;2;2;1; ;2
102;1;1;2;5;4;5;3;5;5;3;5;3;3;3;4;2;2;1;6;4;3;1;4;1;7;2;1;4;2;5;2;4;5;5;6;2;3;2;2
103;0;0;3;5;5;2;3;3;5;5;2;3;3;3;5;2;4;4;4;4;4;4;4;3;3;6;6;6;6;6;6;7;7;7;7;2;3;5;3
104;0;1;3;4;5;6;4;6;6;3;5;1;2;2;3;3;4;2;7;6;6;1;5;1;4;6;2;4;2;1;4;4;4;4;4;2;1;5;2
105;1;1;3;4;3;3;3;4;4;3;3;3;3;3;2;3;4;3;4;4;3;2;3;3;2;3;1;2;2;1;2;7;5;5;5;1;1;2;2
106;1;1;3;2;4;3;3;4;7;4;1;2; ;1;3;3;3;2;5;3;2;2;3;4;5;5;3;7;7;7;4;7;5;7;6;1;1; ;2
107;1;1;3;2;2;5;5;3;4;2;4;2;5; ;2;3;3;3;2;5;3;4;5;1;5;5;1;4;2;2;1;7;6;4;2;1;1;2;3
108;0;0;5;4;3;2;2;2;5;4;3;2;1;2;3;3;6;1;1;6;1;3;2;2;3;4;1;4;1;4;2;5;4;3;3;1;1; ;3
109;0;1;5;6;3;5;2;4;5;2;4;1;4;4;3;5;4;4;5;6;2;1;4;2;4;6;3;5;2;4;2;7;5;3;4;1;1;3;1
110;1;1;4;3;3;6;4;5;4;3;4;2;5;4;4;5;5;3;5;6;3;1;5;1;7;6;4;6;4; ; ;7;6;7;6;2;1;2;1
111;0;1;4;6;1;5;4;4;3;2;6;4;6;5;4;6;5;4;4;4;2;5;5;3;5;4;1;3;2;2;1;7;5;5;5;2;3;4;3
112;0;0;3;3;2;5;3;4;5;4;4;4;3;5;6;3;4;2;3;5;5;3;4;2;3;6;4;1;5; ;1;7;2;3;4;2;1;4;2
113;1;1;4;6;4;2;4;2;7;5;3;1;4;3;4;5;4;1;3;5;1;2;2;2;4;6;1;5;1;5;2;7;6;6;6;1;3;1;3
114;0;1;4;4;1;4;4;4;6;5;3;2;4;4;4;6;2;2;4;6;4;2;3;2;5;5;3;6;2;7;1;6;4;3;5;2;1;1;2
115;1;1;7;6;4;2;2;2;7;4;2;1;6;2;2;6;7;1;1;6;2;1;1;2;6;6;2;7;1;6;2;5;6;3;3;1;1;1;3
116;0;1;3;5;5;6;4;5;7;2;5;5;6;5;7;6;6;3;4;6;5;1;6;1;6;6;1;4;1;2;2;7;7;5;6;2;3;4;1
117;0;0;3;3;6;5;2;2;6;3;4;3;3;3;7;6;6;2;2;4;1;3;1;2;4;5;4;4;4;5;3;5;4;5;5;1;1; ;2
118;1;1;2;4;3;6;6;5;3;3;5;4;5;5;4;3;4;5;5;3;6;3;5;5;5;5;2;6;1;4;1;7;4;4;5;1;1;1;2
119;1;1;3;1;5;5;3;5;2;2;5;7;5;3;6;6;6;3;7;6;3;1;3;3;4;6;2;4;4;3;1;5;7;7;6;1;3;1;1
120;0;1;2;4;3;5;3;3;5;3;4;2;5;3;5;5;3;3;5;5;3;2;3;2;3;5;4;5;1;5;3;6;5;4;4;2;1;2;1
121;1;1;5;5;5;1;2;3;6;6;1;1;1;1;1;1;1;1;4;4;4;1;4;1;2;4;1;3;2;4;2;6;2;6;6;2;1;4;3
122;0;1;6;7;5;1;2;4;7;5;3;1;3;1;4;5;6;3;2;3;1;1;2;1;7;3;1;3;1;6;1;3;1;1;1;1;1;2;1
123;1;0;4;6;3;2;4;4;1;3;3;4;3;4;4;3;4;4;4;6;3;4;4;4;2;4;2;5;4;4;4;7;3;3;3;1;1;5;2
124;1;1;5;7;4;1;3;1;7;7;1;1;1;1;4;5;6;1;4;7;1;1;1;1;7;1;1;4;1;2;1;5;5;2;2;2;1;5;2
125;0;1;1;4;2;2;6;6;6;2;6;4;6;6;4;6;4;2;6;6;2;4;6;5;5;5;2;4;4;3;2;6;6;7;6;1;1;3;3
126;0;0;3;7;1;5;3;1;7;4;2;1;4;1;1;2;3;1;2;3;1;1;1;1;1;1;1;1;1;1;1;5;1;3;1;2;3;3;1
127;1;0;3;4;1;2;2;4;7;3;6;1;7;6;2;6;5;3;6;5;3;5;3;5;6;6;4;7;3;6;5;7;6;5;6;1;1;5;1
128;1;0; ;5;4;4; ; ;3; ; ;2; ; ;5; ; ; ;4; ; ; ; ; ; ;6;4;5;1;2;3;4;5;4;4;2;1; ;1
129;0;1;4;5;1;4;1;4;4;4;4;3;6;6;5;2;3;6;4;4;2;2;3;1;3;7;2;4;2;5;4;3;5;4;4;2;1;2;1
130;0;1;3;4;2;5;4;4;4;4;4;2;4;4;4;4;4;4;6;6;5;3;4;1;3;6;2;5;6;3;2;2;2;2;2;1;1; ;1
131;1;0;1;4;2;7;7;7;7;1;7;1;7;7;1;4;1;7;7;7;7;7;7;7;7;7;1;7;4;4;1;7;7;1;4;1;4; ;3
132;0;1;2;4;5;5;5;4;5;2;5;3;5;5;5;5;2;1;1;6;5;4;5;3;5;5;2;3;6;5;3;6;5;4;5;2;3; ;3
133;0;1;2;2;1;7;4;3;1;1;7;1;7;7;1;5;2;3;5;7;5;5;4;5;6;6;4; ;1;6;2;1;1;4;3;1;1;5;3
134;0;1;6;5;6;2;4;5;2;3;3;1;5;4;6;5;4;1;4;7;6;1;4;1;4;5;1;5;1;4;1;6;7;6;4;2;3;1;2
135;1;0;3; ;2;5;5;4;3;2;4;2;4;5;2;3;4;3;2;5;2;2;4;2;2;5;3;3;4;5;4;7;6;6;6;1;3;3; 
136;0;1;2;2;1;6;3;3;2;4;4;4;5;5;4;3;4;2;5;4;5;3;4;4;4;4;3;4;3;6;2;3;5;2;2;2;1;1;3
137;0;1;2;3;4;4;4;3;5;2;5;2;4;3;2;3;3;3;3;3;2;1;1;1;1;4;1;4;2;2;2;7;3;2;2;2;1;3;3
138;1;0;4;5;2;1;5;1;6;5;3;1;3;3; ;5;2;1;5;6;2;1;3;1; ;1;1;1;1;3;1;7;1;1;1;1;3;3;3
139;1;1;3;5;4;4;3;1;5;3;2;1;5;4;4;3;4;2;3;4;3;1;4;1;6;5;1;1;1;2;1;4;2;5;4;2;1;2;1
140;0;1;2;4;1; ; ;3;7;2;3;1;4;4;4;3;1;3;7;3;2;1;4;1;1;5;1;5;1;5;1;7;6;5;5;2;1; ;3
141;1;1;5;5;2;2;1;1;7;2;5;1;1;1;3;6;3;1;2;7;1;1;5;1;5;3;1;5;1;7;2;5;6;5;3;2;3;5;1
142;0;1;5;6;3;6;4;4;2;5;6;6;6;6;5;6;6;1;6;6;5;4;5;4;6;6; ;5;1;5;3;7;5;6;5;2;1;3;1
143;1;0; ;6;6;4;4;3;7;5;3;4;5;4;4;3;5;3;4;6;3;1;3;1;1;4;1;4;1;3;3;7;7;7;7;2;1;1;2
144;1;1;6;5;4;2;1;2;6;7;2;2;1;1;5;6;5;1;6;4;2;2;2;1;3;3;1;5;1;5;2;7;5;7;7;2;1;3;1
145;1;1;4;5;1;5;2;4;4;3;3;3;4;5;4;4;5;4;6;7;4;1;5;4;6;5;2;4;1;5;2;7;5;5;5;2; ;2;3
146;1;0;3;4;1;2;5;4;6;3;2;1;3;3;4;2;5;1;4;2;1;1;2;2;5;1;1;4;1;3;2;5;3;6;5;1;1; ;3
147;0;0;2;6;5;3;6;4;4;4;3;3;3;3;3;5;2;2;6;3;2;2;3;2;3;4;4;6;6;6;3;7;4;4;4;1;1;2;3
148;1;1;2;5;1;5;4;4;7;3;5;1;5;4;6;5;2;4;7;6;1;1;4;1;5;6;2;7;1;5;2;5;6;7;5;2;1;2;1
149;0;1;1;2;1;7;7;7;1;1;7;6;7;4;4;1;4;7;7;1;4;7;5;7;6;2;1;2;1;1;1;1;1;1;1;1;1;5;3
150;0;1;6;7;4;1;3;1;7;5;3;1;3;1;5;4;5;1;6;7;3;1;5;1;7;4;3;5;1;7;1;7;4;5;4;2;1;1;1
151;0;1;1;6;2;5;6;5;3;2;7;1;7;7;1;2;2;3;6;6;7;1;5;1;7;1;1;1;1;1;1;1;1;1;1;1;4; ;2
152;1;1;1;4;1;4;5;1;4;1;3;1;7;5;1;1;1;2;7;4;5;1;1;1;6;1;1;1;1;1;1;2;1;1;1;1;1;3;2
153;0;0;5;5;7;2;4; ;5;5; ;2; ;2;4;6;4;2;6;7;5;1;4;1;4;4;2;5;1;5;4;5;3;5;4;2;1;1;1
154;1;1;4;4;3;3;5;5;4;3;5;5;3;3;4;4;3;3;5;5;1;1;3;1;5;4;3; ;1;7;4;4;4;1;1;2;1;1;3
155;1;1;6;5;5;1;2;2;6;6;2;2;2;2;5;5;4;2;2;5;2;3;2;2;6;4;1;6;1;6;2;3;2;1;1;1;3; ;3
156;1;1;3;7;1;1;1;1;7;5;1;1;1;1;1;3;5;1;1;7;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
157;0;1;7;7;7;4;1;1;7;2;6;1;7;4;7;7;7;3;1;7;7;1;4;3;7;7;4;7;1;7;4;7;7;7;7;1;3;2;3
158;0;1;2;1;2;5;5;4;7;3;6;1;6;4;3;4;4;3;4;4;4;1;2;1; ;1;1;4;1;3;2;1;4;2;2;1;3;2;2
159;1;1;1;5;1;7;7;7;4;1;7;1;7;7;1;5;7;7;7;4;7;7;7;7;7;7;1;7;1;7;1;7;7;5;7;1;3;4;3
160;0;1;5;5;2;1;3;1;6;3;1;1;3;1;6;6;6;6;1;6;1;1;1;3;1;6;3;6;1;6;1;6;1;3;3;1;3;2;3
161;0;1;1;2;3;6;7;5;7;2;5;3;6;6;4;4;3;6;6;4;6;4;6;4;6;5;3;4;3;2;1;4;2;2;2;1;1;4;2
162;0;1;3;3;2;2;4;3;3;2;5;3;2;2;2;2;3;3;5;5;3;1;4;1;2;3;3;1;1;3;2;2;1;1;1;1;1;3;2
163;1;1;4;6;2;2;3;2;6;4;2;1;2;1;4;5;5;1;2;4;1;1;1;1;4;1;1;1;1;3;1;7;7;5;6;1;1;5;3
164;1;1;2;5;2;5;5;1;4;6;3;2;6;4;1;4;4;1;5;2;5;1;4;1;5;5;1;5;1;6;1;6;6;6;5;2;3;2;2
165;0;1;6;5;1;6;2;4;6;2;3;2;5;2;6;5;2;1;3;6;1;1;3;1;4;5;1;4;1;3;2;5;3;3;3;2;1;3;2
166;0;1;4;5;2;2;4;4;5;6;2;2;3;2;4;3;6;2;2;4;4;2;3;2;2;5;4;6;2;6;1;6;4;4;4;2;1;2;3
167;1;1;2;5;4;4;6;5;5;4;5;1;5;4; ;5;4;3;6;6;5;4;5;1;5;6;1;6;1;7;2;6;3;3;3;2;1;2;1
168;0;1;3;5;4;2;3;3;4;4;4;1;3;1;1;3;2;3;3;3;1;1;1;1;7;5;4;7;7;7;2;7;2;5;5;1;3;1;2
