"authors" "study" "N" "yi" "se" "comparison" "decision_type" "pub" "country" "world_region" "ID"
"56" "Jordan et al. (2011)" 1 51 1.15 0.3 0 1 1 "US" "NOA" "Jordan (2011) 1"
"57" "Jordan et al. (2011)" 2 84 1 0.23 0 0 1 "US" "NOA" "Jordan (2011) 2"
"58" "Jordan et al. (2011)" 3 84 1.01 0.23 0 0 1 "US" "NOA" "Jordan (2011) 3"
"59" "Khan and Dhar (2006)" 1 108 0.62 0.2 1 0 1 "US" "NOA" "Khan (2006) 1"
"60" "Khan and Dhar (2006)" 2 94 0.6 0.21 1 0 1 "US" "NOA" "Khan (2006) 2"
"61" "Khan and Dhar (2006)" 3 80 0.56 0.23 1 0 1 "US" "NOA" "Khan (2006) 3"
"62" "Khan and Dhar (2006)" 4 80 0.39 0.23 1 1 1 "US" "NOA" "Khan (2006) 4"
"63" "Khan and Dhar (2006)" 5 80 0.46 0.23 1 0 1 "US" "NOA" "Khan (2006) 5"
"64" "Khan and Dhar (2006)" 6 66 0.56 0.25 1 0 1 "US" "NOA" "Khan (2006) 6"
"65" "Kouchaki (2011)" 1 64 0.58 0.26 1 1 1 "US" "NOA" "Kouchaki (2011) 1"
"66" "Kouchaki (2011)" 2 64 0.57 0.26 1 0 1 "US" "NOA" "Kouchaki (2011) 2"
"67" "Kouchaki (2011)" 3 96 0.52 0.21 1 1 1 "US" "NOA" "Kouchaki (2011) 3"
"68" "Kouchaki (2011)" 4 50 0.64 0.29 1 1 1 "US" "NOA" "Kouchaki (2011) 4"
"69" "Leonard (2012)" 1 32 -0.29 0.36 1 0 0 NA NA "Leonard (2012) 1"
"70" "Leonard (2012)" 2 92 -0.04 0.21 0 0 0 NA NA "Leonard (2012) 2"
"71" "Leonard (2012)" 3 43 -0.02 0.31 0 0 0 NA NA "Leonard (2012) 3"
"72" "Leonard (2012)" 4 64 0.01 0.25 0 1 0 NA NA "Leonard (2012) 4"
"73" "Mann and Kawakami (2012)" 1 44 0.73 0.31 0 0 1 "US" "NOA" "Mann (2012) 1"
"74" "Mann and Kawakami (2012)" 2 94 0.55 0.21 0 1 1 "US" "NOA" "Mann (2012) 2"
"75" "Mann and Kawakami (2012)" 3 30 0.86 0.38 0 0 1 "US" "NOA" "Mann (2012) 3"
"76" "Mazar and Zhong (2010)" 1 76 0.29 0.23 0 0 1 "CA" "NOA" "Mazar (2010) 2"
"77" "Mazar and Zhong (2010)" 2 80 3.19 0.34 0 0 1 "CA" "NOA" "Mazar (2010) 3"
"78" "Mazar and Zhong (2010)" 3 80 3.55 0.36 0 0 1 "CA" "NOA" "Mazar (2010) 4"
"79" "Meijers et al. (2014)" 1 40 -0.04 0.32 1 1 0 "NL" "EUR" "Meijers (2014) 1"
"80" "Meijers et al. (2014)" 2 40 0.83 0.33 1 1 0 "NL" "EUR" "Meijers (2014) 2"
"81" "Meijers et al. (2014)" 3 88 0.6 0.22 1 1 0 "NL" "EUR" "Meijers (2014) 3"
"82" "Meijers et al. (2014)" 4 88 -0.24 0.21 1 1 0 "NL" "EUR" "Meijers (2014) 4"
"83" "Monin and Miller (2001)" 1 140 0.26 0.17 1 1 1 "US" "NOA" "Monin (2001) 1"
"84" "Monin and Miller (2001)" 2 110 0.71 0.2 1 1 1 "US" "NOA" "Monin (2001) 2"
