"model","term","est","se","p"
"out1","(Intercept)",27.3463474398607,1.96522920155528,4.13661876721655e-18
"out1","lag1_mfcombined10",-0.712947350951647,0.749802533611661,0.342210516557904
"out1","chgvotelagged",-0.165224750351725,0.0891986402078523,0.0645431571419979
"out1","sd_party_variance",109.710744104907,NA,NA
"out1","sd_country_variance",59.2018038257838,NA,NA
"out1","sd_residual_variance",137.300285172036,NA,NA
"out1","logLik",-2579.56909943478,NA,NA
"out1","N",632,NA,NA
"out2","(Intercept)",27.3690955249724,1.97149496131062,4.84349746778617e-18
"out2","lag1_mfcombined10",-0.742585447257354,0.753458728464255,0.324901817619999
"out2","chgvotelagged",-0.0476433279159982,0.31362762489215,0.879310739751216
"out2","lag1_mfcombined10:chgvotelagged",-0.115835075930226,0.296289689601034,0.695975437548015
"out2","sd_party_variance",109.27020582828,NA,NA
"out2","sd_country_variance",59.8494423469853,NA,NA
"out2","sd_residual_variance",137.320619841971,NA,NA
"out2","logLik",-2579.49325818892,NA,NA
"out2","N",632,NA,NA
"out3","(Intercept)",-994.811776434853,138.625325082661,2.31885620491787e-12
"out3","lag1_mfcombined10",-0.795247002153756,0.725499241271916,0.273634210914863
"out3","chgvotelagged",0.0560965545787946,0.300583659594803,0.852020064568417
"out3","year",0.509030304787597,0.0690287152119832,6.09017497252996e-13
"out3","lag1_mfcombined10:chgvotelagged",-0.159826529206036,0.283764026478269,0.573489938838833
"out3","sd_party_variance",103.727303422135,NA,NA
"out3","sd_country_variance",58.5719883627791,NA,NA
"out3","sd_residual_variance",125.335344447026,NA,NA
"out3","logLik",-2553.44696627679,NA,NA
"out3","N",632,NA,NA
"out4","(Intercept)",-947.525423633903,134.302058653395,5.34029808271715e-12
"out4","lag1_mfcombined10",-0.533106628485149,0.715376757923223,0.456573308130908
"out4","chgvotelagged",0.0687822386515664,0.290937416149635,0.81319663327931
"out4","year",0.485316453416358,0.0668984516467968,1.41817648680099e-12
"out4","femaleleader2_lag",0.833067002252409,1.53744571166718,0.588121398437657
"out4","cabinet_party2_lag",-0.487386472452741,1.09403289023021,0.656133195815406
"out4","lag1_mfcombined10:chgvotelagged",-0.158848236037957,0.272155882668763,0.559678172562742
"out4","sd_party_variance",109.267422368966,NA,NA
"out4","sd_country_variance",57.5987270237041,NA,NA
"out4","sd_residual_variance",111.997543827695,NA,NA
"out4","logLik",-2487.92962065396,NA,NA
"out4","N",622,NA,NA
"out5","(Intercept)",-21.3970257657606,184.543006724198,0.907733667859189
"out5","lag1_mfcombined10",-0.586424600604251,0.676697688556029,0.386649087749927
"out5","chgvotelagged",0.302316881358778,0.284379424180898,0.288205458699648
"out5","year",0.0135547210206744,0.0919142670168502,0.88280894286863
"out5","femaleleader2_lag",0.830835620821533,1.49468490800285,0.578513212624518
"out5","cabinet_party2_lag",-0.406875278420785,1.06226887569902,0.70184583483371
"out5","lag1womenpar",0.699033614773927,0.0873865507800956,1.23974991933314e-14
"out5","tier1_avemag2",-0.00973695159156728,0.0225864567808722,0.667047305482907
"out5","as.factor(prop2)2",1.33446247779134,6.19918317669376,0.829810957341705
"out5","as.factor(prop2)3",2.93663729729363,5.67236204818632,0.605413632108757
"out5","natquota",2.90568617748737,1.63643584737214,0.0762966175471427
"out5","weurope",2.08513878460643,2.45168381681263,0.395980730916753
"out5","lag1_mfcombined10:chgvotelagged",-0.347500007752496,0.265787719149797,0.191597108956269
"out5","sd_party_variance",100.362680786639,NA,NA
"out5","sd_country_variance",0,NA,NA
"out5","sd_residual_variance",106.113650873813,NA,NA
"out5","logLik",-2417.18322040112,NA,NA
"out5","N",613,NA,NA
