"model","term","est","se","p"
"out1","(Intercept)",21.3181645153784,2.36020859722912,2.2299649591001e-09
"out1","lag1_mfcombined10",-0.550840474713091,0.486404766696613,0.262782918853973
"out1","chgvotelagged",-0.165683159480978,0.177562060610432,0.355694329574425
"out1","sd_party_variance",0,NA,NA
"out1","sd_country_variance",65.9693952910154,NA,NA
"out1","sd_residual_variance",50.3308213029304,NA,NA
"out1","logLik",-210.193613809693,NA,NA
"out1","N",58,NA,NA
"out2","(Intercept)",20.6836315940787,2.27123736574865,1.80126566481848e-09
"out2","lag1_mfcombined10",-0.551215434476247,0.477699431281665,0.257144369211209
"out2","chgvotelagged",0.839517059107041,0.538019739406583,0.12456270338288
"out2","lag1_mfcombined10:chgvotelagged",-0.663148278228539,0.337640770480299,0.0548271516582488
"out2","sd_party_variance",1.14412385677633,NA,NA
"out2","sd_country_variance",57.1538621001748,NA,NA
"out2","sd_residual_variance",47.9991421346853,NA,NA
"out2","logLik",-208.36155319869,NA,NA
"out2","N",58,NA,NA
"out3","(Intercept)",-941.658888385367,298.581119725539,0.00277470423138786
"out3","lag1_mfcombined10",-0.63021669377529,0.432149171646508,0.15100049631546
"out3","chgvotelagged",0.895706487096923,0.492420633162163,0.0745454631566624
"out3","year",0.478816328799124,0.148539071226162,0.00227579384644504
"out3","lag1_mfcombined10:chgvotelagged",-0.667906155665521,0.308362664005484,0.0349075782820868
"out3","sd_party_variance",0,NA,NA
"out3","sd_country_variance",56.1588500812588,NA,NA
"out3","sd_residual_variance",39.2905600395152,NA,NA
"out3","logLik",-203.639583448339,NA,NA
"out3","N",58,NA,NA
"out4","(Intercept)",-942.046292008761,299.696224268927,0.00284872253429987
"out4","lag1_mfcombined10",-0.726658968533595,0.431656207573572,0.0986572680636217
"out4","chgvotelagged",0.988269660651552,0.508403162084892,0.0569255144459784
"out4","year",0.479529624052818,0.149157113330963,0.00232397175109849
"out4","femaleleader2_lag",-0.0346948548166433,3.78505433174361,0.992718792971339
"out4","cabinet_party2_lag",-3.97963823338071,2.45106196938333,0.11081522676497
"out4","lag1_mfcombined10:chgvotelagged",-0.760256269124729,0.319021020216987,0.0206299725363705
"out4","sd_party_variance",0,NA,NA
"out4","sd_country_variance",49.5821043534171,NA,NA
"out4","sd_residual_variance",38.635780688413,NA,NA
"out4","logLik",-202.373793945866,NA,NA
"out4","N",58,NA,NA
"out5","(Intercept)",-294.866265717079,353.765215364297,0.408345701794276
"out5","lag1_mfcombined10",-0.604603449802209,0.431338514859753,0.167477788950202
"out5","chgvotelagged",1.15406284343094,0.50572597684094,0.0262637432702015
"out5","year",0.150858760525205,0.177100671291406,0.398171795062846
"out5","femaleleader2_lag",1.15255988277937,3.50449610826616,0.743749783430005
"out5","cabinet_party2_lag",-3.51086079185962,2.45346335152983,0.158435692760766
"out5","lag1womenpar",0.461266716248208,0.183316606256966,0.0163132223940058
"out5","tier1_avemag2",-0.00678834275642971,0.0366980591446222,0.85548274678179
"out5","as.factor(prop2)3",1.09342935953216,4.28700139540944,0.799651676741039
"out5","natquota",6.56106024115824,3.44423306998088,0.0624092159535404
"out5","weurope",-2.2149694746537,3.90789743280116,0.578110679961905
"out5","lag1_mfcombined10:chgvotelagged",-0.867913445852635,0.31651953757658,0.00821117440417771
"out5","sd_party_variance",0,NA,NA
"out5","sd_country_variance",23.9083261445996,NA,NA
"out5","sd_residual_variance",39.0087046656779,NA,NA
"out5","logLik",-197.882537991248,NA,NA
"out5","N",58,NA,NA
