"subj","cond","intercept","coef","bias","coef_eff","bias_eff","coef_noeff","bias_noeff","exp"
2,1,1.87966101694915,0.262711864406781,-24.8135593220341,0.0625,-16.0000000000001,1.35,-32.5,1
2,2,2.49872881355932,0.410169491525423,-0.0508474576272455,0.3625,9.00000000000011,0.499999999999999,-13.9999999999999,1
2,3,3.50042372881356,0.296610169491525,40.0169491525423,0.05,50.3333333333331,1.55,30.5000000000001,1
3,1,1.93559322033898,0.265254237288135,-22.5762711864409,0.25,-17.0000000000001,0.45,-29.5,1
3,2,2.36822033898305,0.354237288135593,-5.27118644067812,0.2875,3.00000000000002,0.649999999999999,-16.5,1
3,3,2.80296610169492,0.326271186440678,12.1186440677966,0.25,20.0000000000002,0.650000000000002,1.50000000000018,1
4,1,1.61737288135593,0.361016949152542,-35.3050847457628,0.1875,-25.0000000000002,1.2,-47,1
4,2,2.49661016949152,0.477118644067797,-0.135593220339132,0.4625,9.66666666666674,0.399999999999999,-16,1
4,3,3.72754237288135,0.279661016949152,49.1016949152541,0.0375,58.9999999999996,1.6,41.0000000000001,1
5,1,1.69025423728813,0.277966101694915,-32.3898305084747,0.100000000000001,-23.6666666666668,1.2,-41,1
5,2,2.47245762711864,0.570338983050847,-1.1016949152544,0.512500000000001,11.3333333333335,0.7,-20,1
5,3,3.65423728813559,0.266101694915254,46.1694915254235,0.0125,55.9999999999997,1.7,39.0000000000001,1
6,1,1.66440677966101,0.284745762711864,-33.4237288135595,0.112499999999999,-24.6666666666668,1.2,-42,1
6,2,2.51313559322034,0.644915254237289,0.525423728813408,0.725,12,0.150000000000001,-19.5,1
6,3,3.76355932203389,0.241525423728813,50.5423728813557,9.69739903612216e-20,59.6666666666663,1.6,44.0000000000001,1
7,1,2.33286252354049,0.225988700564971,-6.68549905838027,0.208333333333333,-1.85185185185206,0.333333333333332,-13.3333333333333,1
7,2,2.55501915708812,0.337011494252874,2.200766283525,0.340190476190476,9.25925925925908,0.412698412698413,-7.04225352112676,1
7,3,2.61523048733868,0.299178761155271,4.60921949354725,0.222222222222222,12,0.9009009009009,-2.46575342465752,1
9,1,1.65127118644067,0.439830508474576,-33.949152542373,0.3375,-23.3333333333334,0.850000000000001,-48.5,1
9,2,2.73262711864407,0.488983050847458,9.30508474576266,0.324999999999999,22.0000000000002,1.45,-4.49999999999989,1
9,3,3.77203389830508,0.223728813559322,50.8813559322032,-1.27695350507657e-15,59.333333333333,1.45,44.5,1
10,1,1.68516949152542,0.318644067796609,-32.5932203389832,0.0624999999999995,-21.6666666666668,1.7,-42,2
10,2,2.72966101694915,0.362711864406779,9.18644067796606,0.1625,20.0000000000001,1.45,-1.49999999999988,2
10,3,3.42415254237288,0.356779661016949,36.9661016949152,0.287499999999999,45.3333333333332,0.549999999999998,24.5000000000002,2
11,1,1.64533898305084,0.33728813559322,-34.1864406779663,0.1625,-24.3333333333335,1.2,-45,2
11,2,2.86906779661017,0.647457627118644,14.7627118644068,0.5,30.3333333333334,1.65,-2.49999999999989,2
11,3,3.66949152542373,0.24406779661017,46.779661016949,-0.0375000000000011,56.6666666666663,1.75,39.5000000000001,2
14,1,1.93474576271186,0.122033898305085,-22.6101694915256,0.0375000000000006,-18.6666666666668,0.599999999999999,-26,2
14,2,2.77542372881356,0.746610169491525,11.0169491525422,0.724999999999999,26.3333333333334,1,-9.99999999999993,2
14,3,3.67754237288135,0.329661016949152,47.1016949152541,0.0500000000000012,58.6666666666663,1.85,37.5000000000001,2
15,1,1.62838983050847,0.372881355932203,-34.8644067796612,0.3125,-26.3333333333334,0.6,-47,2
15,2,2.84915254237288,0.706779661016949,13.9661016949152,0.525,31.3333333333333,1.9,-4.99999999999989,2
15,3,3.69067796610169,0.22457627118644,47.6271186440676,0.0249999999999989,55.6666666666663,1.3,41,2
16,1,1.66059322033898,0.265254237288136,-33.5762711864408,0.175,-26.6666666666668,0.750000000000001,-41.5,2
16,2,2.6228813559322,0.666949152542371,4.91525423728804,0.6625,18.3333333333334,0.75,-14.5,2
16,3,3.55508474576271,0.359322033898305,42.2033898305084,0.1375,53.3333333333331,1.55,31.5000000000001,2
18,1,1.63940677966101,0.284745762711865,-34.4237288135595,0.225,-27.6666666666667,0.4,-45,2
18,2,2.86016949152542,0.668644067796609,14.4067796610168,0.4875,31,1.75,-4.4999999999999,2
18,3,3.65889830508474,0.278813559322033,46.3559322033896,0.05,55.9999999999997,1.5,38.0000000000001,2
19,1,1.86440677966101,0.384745762711863,-25.4237288135595,0.2125,-14.6666666666668,1.35,-36.5,2
19,2,2.21652542372881,0.317796610169491,-11.3389830508477,0.4125,-6.66666666666673,-7.44760245974182e-17,-19,2
19,3,2.32161016949152,0.377118644067796,-7.13559322033918,0.4375,-0.666666666666682,0.25,-16.5,2
20,1,2.32203389830508,0.373728813559322,-7.11864406779684,0.262499999999999,2.33333333333348,0.95,-18.4999999999999,2
20,2,2.42584745762712,0.34322033898305,-2.96610169491538,0.374999999999999,3.33333333333337,0.150000000000001,-13.5,2
20,3,2.55381355932203,0.319491525423729,2.15254237288129,0.2375,10.0000000000001,0.65,-8.49999999999993,2
21,1,1.54745762711864,0.270338983050847,-38.1016949152544,0.1375,-30.3333333333334,0.95,-46.5,2
21,2,2.70169491525424,0.586440677966101,8.06779661016941,0.425,22.6666666666668,1.55,-8.49999999999993,2
21,3,3.55889830508474,0.328813559322033,42.3559322033896,0.0624999999999989,53.6666666666664,1.8,33.0000000000001,2
22,1,1.94618644067796,0.380508474576271,-22.1525423728816,0.3125,-13.3333333333334,0.8,-33.0000000000001,2
22,2,2.30762711864406,0.338983050847458,-7.69491525423749,0.2875,-7.105427357601e-14,0.749999999999998,-16.4999999999999,2
22,3,2.55805084745762,0.285593220338983,2.32203389830493,0.0624999999999999,12,1.65,-4.49999999999978,2
23,1,1.86694915254237,0.264406779661016,-25.3220338983052,0.0750000000000001,-16.6666666666666,1.3,-32.9999999999999,2
23,2,2.75508474576271,0.559322033898306,10.2033898305084,0.4875,22.6666666666667,1.05,-5.49999999999992,2
23,3,3.42245762711864,0.170338983050847,36.8983050847456,0.1125,41.3333333333331,0.449999999999999,31.5000000000001,2
1,1,2.05,0.165,-18.0000000000002,0.0375000000000002,-13.0000000000001,0.425,-24.5,3
1,2,2.66875,0.3225,6.74999999999988,0.2125,14.6666666666668,0.65,-3.99999999999988,3
1,3,2.8,0.28,12,0.100000000000001,20.0000000000002,0.65,1.00000000000017,3
2,1,1.4375,0.36,-42.5000000000001,0.487499999999999,-37.0000000000001,-0.0250000000000001,-59.5,3
2,2,1.7625,0.709999999999997,-29.5000000000002,1.0125,-19.3333333333333,4.96506830649454e-17,-60,3
2,3,1.775,0.729999999999998,-29.0000000000001,1.05,-18.6666666666666,-4.96506830649454e-17,-60,3
5,1,1.35625,0.3425,-45.7500000000001,0.5,-41.0000000000001,-4.96506830649454e-17,-60,3
5,2,2.0625,0.969999999999998,-17.5000000000002,1.3875,-3.66666666666662,-0.025,-59.5,3
5,3,2.05625,0.942499999999999,-17.7500000000002,1.3,-3.66666666666658,4.96506830649454e-17,-60,3
6,1,1.84375,0.177499999999999,-26.2500000000002,-6.38864648499728e-16,-20.3333333333335,0.6,-32.0000000000001,3
6,2,2.08125,0.3525,-16.7500000000002,0.375,-10.0000000000001,0.425,-28.5000000000001,3
6,3,2.13749999999999,0.334999999999999,-14.5000000000002,0.4,-8.66666666666674,0.3,-26,3
7,1,2.05625,0.0925000000000003,-17.7500000000002,0.125,-16.3333333333335,0.0500000000000002,-21,3
7,2,3.04375,0.597499999999998,21.7499999999999,0.525,34.6666666666667,0.825,-0.499999999999918,3
7,3,3.2125,0.604999999999998,28.4999999999999,0.35,43.9999999999999,1.175,5.50000000000011,3
8,1,1.95,0.12,-22.0000000000002,0.05,-18.6666666666668,0.300000000000001,-26,3
8,2,2.96875,0.642499999999998,18.7499999999999,0.612500000000001,32,0.75,-5.99999999999991,3
8,3,3.25,0.649999999999999,29.9999999999998,0.400000000000001,46.3333333333332,1.125,3.50000000000012,3
9,1,1.85625,0.252500000000001,-25.7500000000002,0.05,-18.0000000000002,0.725,-34.5,3
9,2,3.0625,0.624999999999999,22.4999999999999,0.525,36.3333333333334,0.849999999999999,-1.99999999999987,3
9,3,3.31875,0.502499999999999,32.7499999999999,0.212499999999999,46.6666666666666,1.1,13.0000000000003,3
10,1,1.6375,0.295,-34.5000000000002,0.15,-26.6666666666667,0.649999999999999,-45,3
10,2,3.06875,0.802499999999998,22.7499999999999,0.4375,43.6666666666666,1.625,-7.49999999999991,3
10,3,3.43749999999999,0.625,37.4999999999998,0.0749999999999989,57.333333333333,1.9,16,3
11,1,2.31874999999999,0.2925,-7.25000000000021,0.187499999999999,-5.32907051820075e-14,0.525,-18.4999999999999,3
11,2,2.91875,0.432499999999999,16.7499999999999,0.4625,25,0.399999999999999,7.105427357601e-14,3
11,3,3.21875,0.2875,28.7499999999999,0.1,36.9999999999999,0.700000000000002,18.0000000000001,3
12,1,1.45,0.224999999999999,-42.0000000000001,0.1375,-36.3333333333333,0.425,-50.5,3
12,2,2.94375,0.697499999999998,17.7499999999999,0.45,35,1.275,-8.49999999999998,3
12,3,3.025,0.519999999999997,20.9999999999999,0.275,34.6666666666666,1.075,1.50000000000009,3
14,1,1.74375,0.2775,-30.2500000000002,0.075,-22.0000000000002,0.749999999999998,-40,3
14,2,2.96875,0.707499999999998,18.7499999999999,0.525,35.3333333333333,1.175,-7.49999999999989,3
14,3,3.24375,0.5975,29.7499999999999,0.35,44.9999999999999,1.15,7.00000000000012,3
1,1,1.525,0.189999999999999,-39.0000000000001,0.175,-35.0000000000001,0.15,-48,4
1,2,2.78125,0.757499999999999,11.2499999999999,0.612499999999999,28.3333333333333,1.15,-17,4
1,3,3.47499999999999,0.629999999999998,38.9999999999997,0,59.9999999999996,2.1,17.9999999999999,4
2,1,1.86875,0.2725,-25.2500000000002,0.1125,-17.6666666666668,0.624999999999999,-35.5,4
2,2,2.8875,0.724999999999999,15.4999999999999,0.475,33.3333333333332,1.325,-11.5,4
2,3,3.47499999999999,0.544999999999999,38.9999999999997,0.0625,56.333333333333,1.675,20.5,4
3,1,1.61875,0.317499999999999,-35.2500000000002,0.174999999999999,-27.0000000000001,0.625,-47.5,4
3,2,2.10625,0.582499999999998,-15.7500000000002,0.375,-1.33333333333338,1.075,-37.5,4
3,3,2.3625,0.624999999999999,-5.50000000000018,0.275,11.6666666666668,1.325,-30.4999999999999,4
5,1,1.875,0.18,-25.0000000000002,0.05,-19.6666666666669,0.475,-31.5000000000001,4
5,2,2.59375,0.512499999999999,3.74999999999981,0.4625,14.6666666666667,0.675000000000001,-15.5,4
5,3,2.8125,0.564999999999999,12.4999999999998,0.55,24,0.45,-13,4
6,1,2.03172205438066,0.438066465256797,-18.7311178247736,0.274007682458387,-8.23529411764692,0.738562091503267,-36.5714285714285,4
6,2,2.16834565619224,0.441682070240296,-13.2661737523105,0.315992865636149,-3.13725490196051,0.801470588235295,-28.4848484848486,4
6,3,2.37999670320613,0.599109865655651,-4.80013187175475,0.573694029850746,8.97959183673469,0.707207207207208,-28.955223880597,4
7,1,1.8375,0.209999999999999,-26.5000000000002,0.0374999999999994,-20.0000000000002,0.600000000000001,-34,4
7,2,2.8375,0.555,13.4999999999999,0.375,27.0000000000001,1.025,-6.49999999999993,4
7,3,3.49374999999999,0.537499999999999,39.7499999999997,0.125000000000001,55.9999999999997,1.475,20.5000000000001,4
8,1,2.0875,0.339999999999999,-16.5000000000002,0.1375,-7.00000000000005,0.8,-29,4
8,2,2.41875,0.442499999999999,-3.25000000000015,0.4625,5.33333333333335,0.375,-21.5,4
8,3,2.55,0.58,1.99999999999983,0.65,12.6666666666667,0.5,-20,4
10,1,1.4375,0.269999999999999,-42.5000000000001,0.2375,-36.6666666666668,0.3,-54,4
10,2,2.36875,0.782499999999998,-5.25000000000013,0.637499999999999,12.3333333333334,1.1,-36,4
10,3,3.14375,0.752499999999999,25.7499999999999,0.262499999999999,47.3333333333332,1.75,-3.99999999999986,4
11,1,1.775,0.289999999999999,-29.0000000000002,0.15,-21.3333333333335,0.625,-39.5,4
11,2,2.6,0.605,3.99999999999986,0.512500000000001,17.3333333333333,0.75,-21,4
11,3,3.30624999999999,0.557499999999999,32.2499999999997,0.0374999999999991,50.3333333333331,1.825,14.5,4
12,1,2.51875,0.482500000000001,0.749999999999833,0.312500000000001,12.6666666666669,0.9,-17,4
12,2,2.7,0.674999999999999,7.99999999999983,0.9125,18.3333333333333,0.174999999999999,-19.5,4
12,3,2.74375,0.637499999999999,9.74999999999984,0.749999999999999,21,0.425,-15.5,4
13,1,2.21875,0.277499999999999,-11.2500000000002,0.0750000000000001,-2.99999999999994,0.7,-21.9999999999999,4
13,2,2.55625,0.267499999999999,2.24999999999984,0.162499999999999,9.00000000000016,0.5,-7.99999999999997,4
13,3,2.76875,0.522499999999998,10.75,0.2375,25.0000000000001,1.175,-8.49999999999998,4
14,1,1.89873417721519,0.388185654008439,-24.0506329113924,0.121212121212121,-12.7272727272727,0.9980449657869,-38.125,4
14,2,2.70434957915428,0.625976513280581,8.17398316617117,0.411263368983959,23.7894736842107,1.16129032258065,-14.8387096774193,4
14,3,3.24671200792722,0.586568777587605,29.8684803170887,0.179197803873722,46.5306122448981,1.48571428571428,8.57142857142852,4
17,1,1.70625,0.2925,-31.7500000000001,0.075,-23.0000000000001,0.775,-42.5,4
17,2,2.16875,0.632499999999999,-13.2500000000002,0.4875,1.33333333333335,0.950000000000001,-38,4
17,3,2.3375,0.604999999999999,-6.5000000000002,0.25,10.3333333333335,1.375,-29.5,4
18,1,1.575,0.265,-37.0000000000001,0.2125,-31.0000000000001,0.375,-47.5,4
18,2,2.35625,0.697499999999999,-5.75000000000015,0.6125,9.33333333333323,0.950000000000001,-32,4
18,3,3.2,0.674999999999999,27.9999999999998,0.262499999999999,46.9999999999998,1.575,2.5,4
19,1,1.88125,0.2375,-24.7500000000002,0.0874999999999995,-18.0000000000001,0.574999999999999,-33.5,4
19,2,2.70625,0.687499999999999,8.24999999999985,0.7375,21.3333333333334,0.650000000000001,-18,4
19,3,2.74375,0.677499999999999,9.74999999999993,0.674999999999999,23.3333333333334,0.799999999999999,-14.9999999999999,4
20,1,1.6875,0.309999999999999,-32.5000000000002,0.2375,-25.3333333333335,0.474999999999999,-44.5,4
20,2,2.76875,0.827499999999999,10.7499999999999,0.725000000000001,28.6666666666666,1.125,-20.4999999999999,4
20,3,3.45624999999999,0.637499999999997,38.2499999999997,0.0375,58.9999999999996,2.025,16.5,4
1,1,2.025,0.255,-19.0000000000002,0.1375,-12.3333333333334,0.524999999999999,-28.5,5
1,2,2.975,0.544999999999998,19,0.2625,33.6666666666667,1.175,-1.49999999999993,5
1,3,3.34375,0.432499999999999,33.7499999999999,0.0375000000000009,47.6666666666665,1.4,20,5
2,1,2.525,0.325,0.999999999999819,0.2125,9.00000000000016,0.600000000000001,-10.9999999999999,5
2,2,3.00625,0.467499999999999,20.25,0.4125,30.3333333333335,0.725000000000001,4.50000000000015,5
2,3,2.95,0.549999999999999,18,0.4,31.0000000000001,1.025,-0.499999999999847,5
3,1,1.79375,0.2825,-28.2500000000002,0.1625,-21.0000000000001,0.575000000000001,-38.5,5
3,2,3.06875,0.662499999999999,22.7499999999998,0.4875,38.3333333333334,1.1,-1.99999999999987,5
3,3,3.39375,0.457499999999999,35.75,0.125000000000001,49.3333333333332,1.225,19.5000000000002,5
4,1,1.725,0.299999999999999,-31.0000000000002,0.0249999999999994,-21.3333333333335,0.950000000000002,-41,5
4,2,2.90625,0.812499999999999,16.25,0.499999999999999,36.6666666666667,1.625,-12.4999999999999,5
4,3,3.3375,0.719999999999999,33.4999999999999,0.112500000000001,55.9999999999997,2.1,8.00000000000004,5
5,1,3.00264776221387,0.372907413734199,20.1059104885549,0.261297798377752,29.4444444444445,0.536231884057971,3.82978723404255,5
5,2,2.95475953265103,0.626301965401685,18.1903813060412,0.525479616306955,32.3943661971831,0.956521739130436,-4.34782608695659,5
5,3,2.88866621183695,0.723264540337711,15.5466484734778,0.600388780894196,29.7297297297298,0.986666666666667,-12.3076923076923,5
6,1,1.4875,0.265,-40.5000000000001,0.199999999999999,-34.3333333333334,0.425,-50.5,5
6,2,2.73125,0.712499999999999,9.24999999999988,0.55,25.6666666666667,1.175,-16.4999999999999,5
6,3,3.1625,0.474999999999999,26.5,0.125,40.6666666666667,1.275,9.50000000000019,5
8,1,2.64375,0.4525,5.74999999999983,0.3125,16.6666666666668,0.85,-9.99999999999993,5
8,2,2.64374999999999,0.597499999999999,5.74999999999978,0.8,14.9999999999999,0.174999999999999,-18.5,5
8,3,2.69999999999999,0.569999999999998,7.99999999999979,0.750000000000001,16.9999999999999,0.225000000000001,-14.5,5
9,1,2.06368126606522,0.511919762108764,-17.4527493573913,0.46563080560716,-6.80851063829779,0.656249999999999,-36.875,5
9,2,2.28500632644454,0.829607760438634,-8.59974694221844,0.790322580645162,8.51063829787245,0.999999999999999,-39.6721311475409,5
9,3,2.31820381302622,0.819316752153294,-7.27184747895111,0.821068298329752,8.74999999999995,0.87784090909091,-39.0769230769231,5
10,1,1.93125,0.442499999999998,-22.7500000000002,0.325,-12.3333333333334,0.724999999999999,-39.5,5
10,2,2.03125,0.507499999999999,-18.7500000000002,0.4375,-7.66666666666676,0.8,-36,5
10,3,2.0375,0.544999999999999,-18.5000000000002,0.475,-6.66666666666673,0.85,-37,5
11,1,1.98125,0.0224999999999997,-20.7500000000002,0,-20.0000000000002,0.0750000000000002,-21.5,5
11,2,2.18124999999999,0.217499999999999,-12.7500000000002,0.3625,-10.3333333333334,-9.93013661298909e-17,-20,5
11,3,2.19375,0.2375,-12.2500000000002,0.375,-9.33333333333339,0.0250000000000001,-20.5,5
12,1,2.55,0.399999999999999,1.99999999999989,0.25,11.9999999999999,0.7,-13.9999999999999,5
12,2,2.36875,0.232499999999999,-5.2500000000002,0.2625,-1.00000000000003,0.175,-14.4999999999999,5
12,3,2.20625,0.462499999999999,-11.7500000000002,0.25,0.33333333333335,0.925,-29.5,5
14,1,2.18125,0.2725,-12.7500000000002,0.175,-6.00000000000001,0.45,-24,5
14,2,2.5125,0.305,0.499999999999883,0.325,6.33333333333336,0.25,-12,5
14,3,2.675,0.334999999999999,6.99999999999996,0.1625,16.0000000000002,0.674999999999998,-6.49999999999993,5
15,1,1.80625,0.222499999999999,-27.7500000000002,0.1,-21.6666666666668,0.5,-36,5
15,2,2.84375,0.577499999999999,13.7499999999999,0.549999999999999,25.6666666666667,0.7,-7.99999999999992,5
15,3,3.24375,0.557499999999999,29.75,0.4,42.9999999999999,0.900000000000001,8.00000000000011,5
