"expt","pp_median","pp_lo","pp_hi","true_e"
1,0.166317604293475,-0.732326636546938,1.1295666875748,1
2,0.650821045648523,-0.0194852624003284,1.25565748822133,1
3,0.455313021424174,-0.0967164602575097,0.962560866166316,1
4,0.652194828272734,0.18041758283934,1.13608434296692,1
5,0.716575594123988,0.29264017546367,1.16558412069276,1
6,0.735422988874851,0.33547647061772,1.10140342514697,1
7,0.637470387771354,0.280684652651545,1.0001584100079,1
8,0.75051604283714,0.39562118325956,1.06797459191901,1
9,0.784768136682908,0.4856182409445,1.08613281457433,1
10,0.787471720717341,0.503595063412228,1.07488464165422,1
11,0.679445173998427,0.414869790260906,0.95368655009795,1
12,0.669732614840753,0.412591541310676,0.930207110758353,1
13,0.667114182916821,0.416077001598364,0.932888369690793,1
14,0.737565336268982,0.482269298256708,0.984407765411807,1
15,0.679947199501594,0.457434386599622,0.919246915813338,1
16,0.698879664776577,0.470567531572052,0.924823904141783,1
17,0.750166180905248,0.526122720689702,0.983579556850801,1
18,0.753087589645673,0.545379648734541,0.972346359566357,1
19,0.826446281585294,0.61166552743312,1.03734083148456,1
20,0.814893922703076,0.596158513671272,1.00797100882885,1
