"Quantity","Manuscript","Reimpl","Verdict"
"N datasets (e=0)","6000","6000","YES"
"FalsePos ANOVA","304 (5.1%)","304","YES"
"FalsePos GLMM","341 (5.7%)","341","YES"
"FalsePos BGLMM","304 (5.1%)","304","YES"
"PP false pos (100 sims)","2 (2%)","2","YES"
"meta BGLMM false pos (100 sims)","1 (1%)","1","YES"
"FP rate ANOVA %","5.1","5.07","YES"
"FP rate GLMM %","5.7","5.68","YES"
"FP rate BGLMM %","5.1","5.07","YES"
