"kind","level","ES","SE","z","p","ci.lb","ci.ub","tau2","tau2p"
"SMCR","overall",0.1671,0.1354,1.2346,0.217,-0.098,0.432,0.1523,0.003807
"SMD","overall",0.2162,0.1296,1.6682,0.09527,-0.038,0.47,0.0886,0.1149
