Quantity,mean,median,sd
aucP,0.9540625,0.984375,0.059666681215082
aucES,0.9740625,1,0.0423837443675776
aucBF0.25,0.9540625,0.984375,0.059666681215082
aucBF1,0.9540625,0.984375,0.059666681215082
aucBF4,0.9540625,0.984375,0.059666681215082
