"criterion","dist.mean"
"p<0.1",0.086128990204492
"p<0.05",0.0746011261594916
"p<0.005",0.195871329651318
"p<0.001",0.366522594347522
"BF>1",0.0750732621144911
"BF>2",0.107772699034745
"BF>3",0.123073262114491
"BF>10",0.261498602106931
