m,sphericity,n,S,rANOVA,rANOVA_HF
9,hold,15,2000,0.044,0.0405
9,hold,20,2000,0.0445,0.044
9,hold,25,2000,0.047,0.0435
9,hold,30,2000,0.0435,0.0425
9,violation,15,2000,0.0825,0.067
9,violation,20,2000,0.069,0.055
9,violation,25,2000,0.0755,0.047
9,violation,30,2000,0.0815,0.0545
12,hold,15,2000,0.0525,0.0495
12,hold,20,2000,0.047,0.045
12,hold,25,2000,0.05,0.0475
12,hold,30,2000,0.047,0.0435
12,violation,15,2000,0.0865,0.0645
12,violation,20,2000,0.0875,0.0615
12,violation,25,2000,0.0645,0.046
12,violation,30,2000,0.0765,0.0555
