"quantity","value"
"Fig6 noWPS",23.7999226837098
"Fig6 WPS",12.9797161147211
"Fig6 diff",10.8202065689886
"Fig1 men no",64.7731144582683
"Fig1 men WPS",81.2474331355194
"Fig1 women no",81.8293423731966
"Fig1 women WPS",82.4414074674492
"Fig3 men no",57.0618012385611
"Fig3 men WPS",82.5012523756018
"Fig3 women no",67.8836182009759
"Fig3 women WPS",81.1111911464582
