pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,4,7,2,2,1,1,1,1,50,26
het,5,1,0,18,HET_5_18_chat.txt,4,12,2,2,1,1,1,1,50,72
het,5,1,0,18,HET_5_18_chat.txt,4,1,2,2,2,1,1,1,50,15
het,5,1,0,18,HET_5_18_chat.txt,4,6,2,2,1,1,1,1,50,23
het,5,1,0,18,HET_5_18_chat.txt,4,10,2,2,1,1,1,1,50,16
het,5,1,0,18,HET_5_18_chat.txt,4,16,2,1,2,2,1,1,150,44
het,5,1,0,18,HET_5_18_chat.txt,4,4,2,1,1,1,1,1,150,24
het,5,1,0,18,HET_5_18_chat.txt,4,13,2,1,1,1,1,1,150,9
het,5,1,0,18,HET_5_18_chat.txt,5,12,1,1,1,1,1,1,150,43
het,5,1,0,18,HET_5_18_chat.txt,5,5,1,2,1,1,1,1,50,47
het,5,1,0,18,HET_5_18_chat.txt,5,17,1,1,2,1,1,1,150,27
het,5,1,0,18,HET_5_18_chat.txt,5,8,1,1,2,1,1,1,150,43
het,5,1,0,18,HET_5_18_chat.txt,5,3,1,2,2,2,1,1,50,85
het,5,1,0,18,HET_5_18_chat.txt,5,6,1,1,1,1,1,1,150,53
het,5,1,0,18,HET_5_18_chat.txt,5,16,1,2,2,2,1,1,50,21
het,5,1,0,18,HET_5_18_chat.txt,5,11,1,1,1,1,1,1,150,85
het,5,1,0,18,HET_5_18_chat.txt,5,2,1,1,2,1,1,1,150,60
het,5,1,0,18,HET_5_18_chat.txt,5,9,2,2,2,2,2,2,150,28
het,5,1,0,18,HET_5_18_chat.txt,5,15,2,1,1,2,2,2,50,47
het,5,1,0,18,HET_5_18_chat.txt,5,18,2,1,2,1,2,2,50,25
het,5,1,0,18,HET_5_18_chat.txt,5,10,2,1,1,2,2,2,50,15
het,5,1,0,18,HET_5_18_chat.txt,5,1,2,1,2,2,2,2,50,20
het,5,1,0,18,HET_5_18_chat.txt,5,4,2,2,1,2,2,2,150,41
het,5,1,0,18,HET_5_18_chat.txt,5,13,2,2,1,2,2,2,150,24
het,5,1,0,18,HET_5_18_chat.txt,5,7,2,2,2,2,2,2,150,15
het,5,1,0,18,HET_5_18_chat.txt,5,14,2,1,2,2,2,2,50,82
het,5,1,0,18,HET_5_18_chat.txt,6,15,1,2,1,1,1,1,50,17
het,5,1,0,18,HET_5_18_chat.txt,6,7,1,1,1,1,1,1,150,19
het,5,1,0,18,HET_5_18_chat.txt,6,1,1,2,1,1,1,1,50,11
het,5,1,0,18,HET_5_18_chat.txt,6,6,1,2,1,1,1,1,50,19
het,5,1,0,18,HET_5_18_chat.txt,6,13,1,1,1,1,1,1,150,31
het,5,1,0,18,HET_5_18_chat.txt,6,5,1,1,1,1,1,1,150,16
het,5,1,0,18,HET_5_18_chat.txt,6,17,1,1,1,1,1,1,150,35
het,5,1,0,18,HET_5_18_chat.txt,6,16,1,2,2,2,1,1,50,20
het,5,1,0,18,HET_5_18_chat.txt,6,12,1,1,1,1,1,1,150,37
het,5,1,0,18,HET_5_18_chat.txt,6,3,2,1,1,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,6,18,2,2,1,2,2,2,150,22
het,5,1,0,18,HET_5_18_chat.txt,6,4,2,2,2,2,2,2,150,26
het,5,1,0,18,HET_5_18_chat.txt,6,10,2,1,2,2,2,2,50,24
het,5,1,0,18,HET_5_18_chat.txt,6,14,2,2,1,1,2,2,150,36
het,5,1,0,18,HET_5_18_chat.txt,6,2,2,2,2,2,2,2,150,38
het,5,1,0,18,HET_5_18_chat.txt,6,8,2,1,1,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,6,9,2,1,2,2,2,2,50,49
