NR;JW1;JW2;JW3;JW4;JW5;JW6;JW7;JW8;JW9;JW10;JW11;JW12;JW13;CM1;CM2;CM3;CM4;CM5;CM6;CM7;CM8;CM9;CM10;CM11;CM12;RWA1;RWA2;RWA3;RWA4;RWA5;RWA6;RWA7;RWA8;RWA9;RWA10;RWA11;RWA12;SDO1;SDO2;SDO3;SDO4;SDO5;SDO6;SDO7;SDO8;SDO9;SDO10;SDO11;SDO12;SDO13;SDO14;SDO15;SDO16;GASP1;GASP2;GASP3;GASP4;GASP5;GASP6;GASP7;GASP8;GASP9;GASP10;GASP11;GASP12;GASP13;GASP14;GASP15;GASP16;NI1;NI2;NI3;NI4;NI5;NI6;NI7;NI8;NI9;AS1;AS2;AS3;AS4;AS5;AS6;AS7;AS8;AS9;AS10;AS11;AS12;AS13;AS14;AS15;AS16;AS17;AS18;AC1;AC2;AC3;AC4;AC5;AC6;AC7;AC8;AC9;AC10;MA1;MA2;MA3;MA4;MA5;MA6;MA7;MA8;TU1;TU2;TU3;TU4;TU5;TU6;TU7;TU8;JU1;JU2;JU3;JU4;JU5;JU6;JU7;JU8;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;TH1;TH2;TH3;TH4;TH5;TH6;TH7;TH8;TIPI1;TIPI2;TIPI3;TIPI4;TIPI5;TIPI6;TIPI7;TIPI8;TIPI9;TIPI10;GES;BIL;POL;MIG;REL1;REL2;Setting
1;1;2;3;0;2;2;3;4;5;4;4;4;2;5;2;6;3;7;2;1;4;2;1;4;1;1;1;4; ;7;1;7;2;6;2;5;1;7;1;1;1;1;1;1;1;3;6;7;1;6;6;7;7;7;7;7;3;7;7;4;4;7;7;6;5;7;7;4;6;1;1;1;1;1;1;1;1;1;7;2;1;1;1;7;1;1;1;7;7;1;7;1;1;1;1;1;7;1;2;1;1;7;1;1;6;7;6;2;7;3;4;4;4;6;1; ;6;1;7;1;1;7;1;1;7;1;7;1;1;7;1;1;7;1;7;1;1;7;31;31;31;31;31;31;31;31;4;4;5;6;6;7;6;3;4;2;2;5;3;1;2; ;1
2;1;2;2;2;1;3;5;3;4;4;4;4;4;7;6;6;6;3;6;5;1;5;7;6;5;6;4;6;4;2;2;7;3;5;3;4;4;5;3;5;1;4;1;1;1;5;5;5;5;3;4;3;4;4;5;6;3;7;4;3;5;5;6;6;1;4;6;7;7;2;2;2;3;1;1;7;1;2;6;4;2;4;4;4;4;4;2;6;5;5;1;4;4;4;4;6;6;5;5;4;4;4;4;4;2;5;6;6;3;4;3;4;4;3;3;3;4;4;3;2;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;14;8;15;13;13;14;16;16;6;3;5;4;6;6;6;4;4;2;2;5;4;1;2;1;1
3;0;0;2;5;2;4;0;5;5;2;5;5;5;7;5;7;6;2;5;4;1;6;5;6;3;5;4;7;5;7;4;7;3;5;6;2;3;5;4;4;1;1;1;1;1;3;7;7;7;7;7;7;7;7;7;7;5;1;7;1;1;7;7;7;1;7;1;7;7;1;1;7;1;1;1;1;1;1;7;1;1;1;1;3;4;3;4;1;4;1;7;1;1;1;4;1;7;1;4;3;1;3;3;1;4;4;7;6;3;2;7;1;5;1;2;3;2;3;2;1;4;5;4;5;3;4;5;3;5;5;3;4;4;4;3;3;4;4;3;1;7;13;7;13;13;13;7;1;5;1;7;1;7;2;7;1;2;5;4;4;1;3;1
4;1;2;1;3;4;4;5;4;5;5;4;4;4;7;3;5;4;6;1;1;1;5;3;2;1;5;1;6;5;1;2;6;1;7;2;2;3;7;2;1;1;3;1;2;1;4;4;6;2;3;7;5;7;1;7;7;1;3;6;3;1;7;6;5;2;7;6;6;2;2;1;1;1;4;2;2;2;1;7;4;1;1;3;5;1;1;3;7;7;2;5;1;1;1;2;1;7;3;2;1;6;6;1;1;1;5;7;4;3;6;3;6;6;4;4;4;6;6;3;5;2;3;3;2;6;2;6;2;2;6;3;3;5;3;5;3;3;5;9;4;13;15;11;21;30;25;7;1;4;4;7;2;7;3;6;2;2;5;5;1;1;3;1
5;0;1;4;0;1;0;3;4;1;0;1;3;2;4;3;4;3;1;5;2;4;3;6;2;4;6;5;6;3;5;6;4;3;6;6;4;2;5;3;1;1;3;1;3;1;4;6;7;7;5;4;7;6;3;2;5;3;3;5;4;3;4;5;3;2;4;2;4;5;2;1;5;4;3;5;2;3;2;5;6;2;4;2;5;1;1;2;2;5;2;1;2;1;1;1;3;6;2;2;2;2;6;1;2;2;6;6;5;6;3;6;2;2;6;2;2;5;2;4;2;1;6;3;6;6;2;4;3;2;6;6;2;5;2;6;2;2;5;12;25;19;13;16;15;16;19;3;2;5;5;6;6;7;1;3;4;2;5;5;1;1;3;1
6;1;2;0;0;0;0;4;4;4;3;4;4;4;7;5;6;5;4;4;5;1;6;6;6;7;7;4;7;5;7;4;7;3;7;2;6;2;6;2;1;1;3;1;1;1;1;6;6;4;3;5;5;6;2;6;7;5;4;7;5;2;6;6;7;2;2;2;7;2;4;1;1;1;1;1;1;4;1;5;3;1;1;1;5;1; ;4;7;7;5;1;4;2;2;4;2;4;4;4;4;4;5;4;4;4;7;5;5;5;6;5;5;2;4;5;3;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;21;23;11;11;16;22;25;26;6;3;4;2;7;4;7;2;4;1;2;5;3;2;1;2;1
7;0;1;1;0;1;1;4;3;3;2;2;2;3;6;6;5;6;4;4;2;1;6;2;2;6;6;1;6;4;7;1;6;1;6;1;6;4;5;1;3;1;3;3;2;1;3;6;4;4;7;4;7;6;7;7;7;1;7;5;5;2;6;7;4;5;7;7;4;7;1;1;1;1;1;1;1;1;1;6;5;4;4;6;5;4;4;5;4;4;2;4;7;4;3;6;3;5;5;4;4;5;4;4;3;2;7;7;4;1;6;1;7;7;1;3;2;6;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;7;0;0;0;12;6;6;3;5;4;6;6;6;6;6;3;1;1;5;2;1;6;1;1
8;0;2;0;2;3;2;4;4;4;4;5;4;4;7;5;7;6;4;2;6;2;6;6;6;6;3;5;5;4;6;3;5;5;7;6;3;5;6;4;4;2;5;5;1;6;6;5;6;6;4;7;7;7;2;7;5;2;6;7;5;1;7;7;6;2;6;5;6;6;3;2;6;5;3;4;3;3;4;4;4;5;4;3;4;5;4;2;4;6;5;2;6;5;6;5;6;5;2;5;4;3;4;4;4;4;3;6;4;4;5;5;3;5;4;4;5;2;5;2;4;5;3;5;5;4;6;3;2;3;2;5;5;5;4;3;4;3;4;25;15;15;13;21;19;13;13;7;3;6;6;7;2;5;2;7;3;2;6;3;4;3;3;1
9;1;1;2;0;2;3;4;4;4;4;5;4;4;6;4;5;5;3;2;4;2;6;3;5;5;5;2;7;4;7;3;7;3;6;2;5;2;5;3;1;1;3;1;3;1;5;5;6;6;5;7;6;5;5;6;2;2;5;3;3;2;5;3;4;2;5;5;5;1;5;3;1;5;3;3;6;2;1;5;3;2;1;4;4;5;2;4;6;4;5;2;4;4;4;5;5;4;6;4;3;5;4;3;3;5;6;6;4;5;7;5;4;4;5;3;3;5;5;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;6;19;22;22;22;19;19;6;4;3;2;5;2;6;3;5;3;1;5;3;1;6;1;1
10;1;3;2;3;3;4;4;5;4;4;5;5;5;7;5;7;7;2;6;6;1;7;6;6;7;5;2;6;4;7;1;7;4;6;2;6;2;6;1;2;1;3;1;2;1;4;4;6;4;5;5;5;6;6;6;5;2;4;6;1;1;6;2;5;2;6;7;7;5;1;1;1;4;2;1;5;4;1;5;1;1;1;1;4;1;1;1;7;5;2;5;1;1;1;4;4;7;1;2;1;1;4;2;1;1;7;5;3;2;6;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;19;13;16;19;9;25;26;25;6;2;4;2;7;2;7;4;6;1;2;5;2;1;6;3;1
11;0;0;0;0;0;0;5;3;4;4;2;2;3;7;4;7;7;6;6;4;1;3;5;5;4;7;1;7;1;7;1;7;1;7;1;7;1;7;1;1;1;1;1;1;1;2;7;7;7;7;7;7;7;1;1;2;1;2;4;1;1;1;2;2;1;6;6;4;2;1;1;1;1;1;1;7;1;1;4;1;1;1;1;4;1;1;4;7;4;5;1;4;4;6;6;5;4;1;1;1;1;4;1;1;4;7;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;31;0;16;0;6;16;16;16;4;7;4;1;7;4;4;4;3;1;1;5;2;1;6;1;1
12;1;0;1;2;2;1;4;4;4;4;5;4;4;5;4;6;2;4;3;2;4;6;3;3;2;3;4;6;2;5;1;6;3;6;2;1;2;6;4;1;1;1;1;1;1;3;5;6;6;5;4;6;6;7;6;7;2;6;7;2;2;7;7;6;1;6;6;6;5;3;1;1;3;2;1;5;1;1;5;1;1;1;1;4;1;1;4;6;6;1;2;2;3;1;2;2;4;2;2;1;1;4;1;2;4;6;5;5;3;5;4;6;6;3;3;2;5;3;6;4;4;5;2;2;6;3;6;2;2;6;3;4;5;2;6;2;2;6;16;25;13;32;10;19;22;19;5;3;7;4;6;6;7;2;5;2;2;5;4;1;1;3;1
13;2;3;2;2;4;3;4;4;4;4;3;4;4;5;4;5;4;3;3;5;3;5;5;5;5;6;3;7;2;7;1;7;1;7;4;6;1;6;1;1;1;1;1;1;1;3;7;7;7;6;7;6;7;6;7;7;2;6;7;2;1;7;6;7;4;7;7;6;6;1;1;3; ;4;2;6;1;1;4;1;1;1;2;6;1;1;4;7;3;1;1;1;3;2;2;5;4;2;2;2;4;6;1;1;4;7;4;5;5;6;5;6;6;5;3;3;5;5;4;3;4;4;3;5;5;5;4;4;3;5;5;3;4;4;4;3;4;2;15;13;9;22;16;16;16;9;5;3;4;2;7;4;6;4;5;2;2;5;4;2;1;3;1
14;0;1;2;1;1;1;3;4;4;4;4;4;4;5;2;5;5;3;2;3;1;5;5;3;3;6;4;6;2;5;4;7;6;5;2;3;2;7;2;2;1;2;4;1;1;2;3;7;7;6;7;7;6;2;7;7;2;4;7;3;1;7;4;7;1;7;7;5;7;4;2;4;2;3;1;7;3;1;7;1;1;1;2;6;3;1;1;7;5;1;4;1;1;3;7;3;3;1;3;5;2;7;3;2;3;3;4;5;4;4;2;5;4;3;2;1;4;3;3;4;2;4;5;1;7;3;5;2;2;5;4;6;6;3;2;3;3;2;18;19;25;13;13;13;25;25;5;6;6;5;7;2;6;4;2;2;2;5;4;2;2;3;1
15;1;2;2;4;1;4;2;1;4;1;2;3;4;6;7;7;6;2;3;6;2;5;4;6;5;4;6;7;5;5;5;3;7;7;2;1;3;7;2;3;1;5;1;2;1;3;6;6;7;4;7;7;7;7;2;6;1;7;7;4;1;6;5;6;1;7;5;6;4;1;3;2;2;4;4;1;1;2;6;1;3;2;2;4;4;2;1;6;7;5;1;2;7;5;5;6;7;1;5;2;1;4;3;2;1;2;7;5;5;3;2;6;5;6;5;1;7;4;3;2;1;5;6;6;6;5;4;2;2;5;4;4;6;4;3;2;3;3;31;6;25;31;19;22;19;28;6;4;5;5;7;4;6;5;2;1;2;5;3;4;5;1;1
16;0;1;1;2;3;0;3;4;4;4;3;4;4;6;6;6;6;3;4;2;2;6;6;6;6;2;2;7;2;3;1;3;1;7;3;2;1;6;2;2;1;1;3;1;1;1;6;6;6;5;7;7;7;7;6;7;2;4;5;2;4;7;5;6;1;4;7;6;7;1;2;1;2;1;1;6;2;1;7;1;1;1;1;7;2;1;1;6;6;1;3;1;1;1;6;2;7;1;1;1;1;6;1;1;1;6;7;7;3;1;2;6;7;1;1;1;6;3;5;2;2;4;1;4;6;2;4;1;2;4;1;3;5;2;3;2;2;4;16;22;22;16;16;16;19;16;4;2;5;2;7;4;6;1;5;1;2;5;3;4;2;3;1
17;0;0;0;1;1;2;3;3;3;4;2;2;2;6;5;6;6;2;6;6;1;4;4;5;4;7;1;7;4;3;1;7;4;5;2;3;2;7;1;1;1;7;2;1;1;1;6;7;7;7;7;7;7;3;5;6;1;6;7;2;2;6;6;4;2;1;6;6;6;1;1;1;1;1;1;7;1;1;2;1;1;1;1;4;1;1;2;7;4;1;5;1;1;1;6;5;5;1;4;2;1;6;4;1;2;6;6;4;2;6;3;6;6;3;1;1;5;4;4;4;3;4;2;4;3;5;4;4;4;4;2;2;4;2;3;2;3;6;6;6;4;12;5;12;12;23;3;5;3;2;4;2;5;2;4;3;1;5;3;1;6;2;1
18;1;2;2;5;2;3;4;4;4;4;5;4;4;7;3;5;5;4;1;4;2;5;1;4;7;6;3;7;1;7;1;7;5;7;3;6;3;6;1;2;1;1;1;1;1;3;3;7;2;3;7;7;7;7;7;3;1;4;4;3;1;7;4;7;1;6;2;7;4;2;1;3;5;2;2;7;5;1;6;1;1;1;1;4;1;1;1;7;5;1;1;2;1;1;1;1;6;1;2;1;1;4;1;1;2;7;6;3;5;4;5;5;2;4;2;2;6;3;7;3;4;4;2;2;4;3;7;3;2;4;2;2;4;3;7;3;2;4;16;22;25;25;16;19;19;19;5;4;6;4;5;3;5;2;5;2;2;5;3;2;1;4;1
19;0;0;1;1;3;1;2;2;3;3;2;3;4;7;4;7;5;6;2;1;1;4;4;3;2;7;1;7;1;7;1;7;1;6;1;6;1;6;1;1;1;1;1;2;1;5;5;6;5;4;5;6;7;3;6;6;2;7;7;3;1;3;5;4;2;7;7;4;5;1;1;1;1;1;1;7;1;1;7;1;1;1;1;4;1;1;2;7;7;1;3;1;1;1;1;2;5;1;1;1;1;4;1;1;4;7;7;5;3;6;3;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;16;6;16;9;3;15;15;15;5;4;5;3;6;4;6;3;6;2;2;5;3;1;2;1;1
20;1;1;2;2;3;2;4;4;4;4;3;4;3;4;5;6;6;3;4;4;2;3;5;3;4;5;2;6;6;4;2;7;4;6;3;5;2;5;1;1;1;3;4;4;1;5;4;7;2;5;5;5;7;6;7;7;2;7;7;4;5;7;7;6;4;7;7;5;7;1;1;4;4;5;1;6;7;4;7;1;1;1;1;6;1;1;1;7;5;4;3;3;3;2;2;2;7;3;5;2;4;6;5;1;1;6;7;3;2;6;3;5;5;2;4;2;6;3;5;2;2;5;2;4;6;3;6;3;2;6;3;6;6;5;4;4;2;3;25;31;6;13;9;28;28;28;7;3;6;6;6;4;6;3;4;2;2;5;3;2;6;1;1
21;2;1;1;2;2;2;4;3;3;3;4;4;4;6;4;5;3;6;4;3;1;6;2;3;5;5;1;6;2;7;1;7;1;7;1;4;1;6;2;1;1;1;1;1;1;5;5;7;7;6;6;4;7;6;5;6;2;6;5;2;4;7;5;7;1;6;5;6;6;1;1;1;4;1;4;1;1;1;7;1;1;1;1;4;1;1;1;7;7;1;3;1;1;1;1;1;7;3;1;5;1;4;1;1;1;7;5;5;3;5;3;6;5;3;4;4;5;4;4;4;4;5;4;4;5;4;4;4;4;5;4;4;4;4;4;4;4;5;6;6;13;6;0;15;15;13;5;3;5;5;7;3;6;3;3;2;2;5;3;1;1; ;1
22;0;0;0;0;0;0;0;3;0;0;0;0;0;7;7;7;5;1;7;7;1;7;7;7;7;5;2;7;1;7;1;7;1;7;1;1;1;7;1;1;1;1;1;1;1;2;7;7;7;7;7;7;7;6;4;7;6;5;7;2;1;7;7;6;1;7;7;7;6;1;1;1;1;1;1;1;1;1;3;1;1;1;1;6;1;1;1;7;7;1;6;1;2;1;2;3;7;1;1;1;1;6;2;1;1;7;1;5;1;7;1;7;7;2;1;1;5;1;6;1;1;6;1;1;6;2;6;1;1;6;1;1;6;3;5;1;3;6;6;13;13;25;0;25;25;25;3;1;6;3;5;3;6;1;3;4;2;5;3;1;6;1;1
23;1;3;1;3;1;2;3;4;4;4;3;4;4;6;5;6;5;5;6;6;1;7;6;6;5;6;6;7;2;2;5;7;2;7;2;2;2;5;2;1;1;3;2;2;1;3;3;6;4;5;5;5;4;1;4;5;2;6;4;4;3;2;2;6;3;6;5;5;5;2;1;2; ;4;3;5;2;1;4;7;4;3;6;5;4;2;1;7;5;5;5;5;5;4;6;6;2;7;7;4;7; ;6;4;3;7;7;5;4;6;5;6;4;4;6;6;7;7;4;5;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;7;6;3;13;16;16;6;7;25;13;3;4;5;3;2;5;1;5;6;3;4;2;5;3;1;1;3;1
24;2;2;1;4;4;3;4;4;4;4;3;3;4;6;4;5;5;3;3;4;2;2;3;2;5;2;3;7;2;3;2;3;3;5;2;5;2;5;1;2;1;2;2;2;1;5;5;5;6;5;6;7;5;7;6;6;2;3;7;5;1;6;7;6;2;6;4;6;5;4;3;3;6;5;3;3;4;4;4;2;3;2;3;5;4;3;5;6;5;5;2;5;5;3;1;5;5;3;4;2;3;5;3;3;3;5;7;5;4;5;3;4;4;4;5;3;5;5;4;3;5;5;5;5;5;4;5;3;3;4;5;3;4;4;4;3;3;4;16;16;18;19;16;16;16;16;5;5;5;3;5;3;6;3;6;3;2;5;4;3;2; ;1
25;1;2;3;4;4;4;4;3;4;3;3;4;3;7;4;6;3;2;2;4;1;7;6;6;5;7;5;7;1;7;4;7;4;7;1;3;1;6;1;1;1;3;4;2;1;4;6;6;6;6;6;3;7;2;2;5;3;6;4;1;3;6;6;4;4;6;6;6;6;4;2;4;4;3;2;5;5;2;7;1;2;3;2;5;5;5;1;6;3;2;7;1;1;1;4;5;7;5;3;3;4;2;5;4;5;1;6;6;1;7;5;6;5;4;1;3;6;3;3;5;5;3;1;3;6;2;5;2;2;5;7;7;1;5;2;5;3;4;28;7;16;7;9;17;19;6;6;5;3;3;5;1;6;3;3;1;2;3;3;1;2;2;1
26;1;1;1;2;1;2;4;4;3;4;3;3;3;5;5;6;6;2;4;5;3;6;5;6;5;6;5;6;5;1;3;5;5;5;4;4;2;6;2;2;1;7;1;2;1;2;7;7;7;6;7;7;7;7;7;7;1;6;7;2;2;7;7;6;1;7;7;7;7;1;1;1;1;5;1;6;1;1;7;1;1;1;1;6;1;1;1;7;7;1;6;1;1;1;1;2;7;1;1;1;1;6;1;1;1;7;6;2;4;5; ;4;4;4;2;2;6;3;5;3;3;5;2;2;6;3;3;3;3;6;2;2;6;2;5;2;2;6;16;16;16;16;16;16;16;16;6;2;4;1;7;1;7;5;6;1;2;5;4;1;2;2;1
27;0;1;1;0;0;0;3;3;2;3;3;3;2;6;5;7;4;2;3;5;1;6;5;4;4;5;3;5;3;2;2;6;5;6;2;3;3;6;2;1;1;3;1;3;1;2;5;5;6;4;4;4;6;2;2;2;1;4;3;3;1;2;4;5;2;5;6;6;4;2;2;3;2;5;2;4;3;2;5;3;3;2;2;4;2;2;4;2; ;3;4;2;2;3;5;5;4;3;5;3;3;4;2;3;4;2;6;4;3;5;2;6;6;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;9;9;9;16;9;16;16;16;4;5;3;2;6;4;6;4;3;4;1;5;4;1;1;1;1
28;0;0;0;0;0;0;3;5;4;5;5;5;4;7;6;7;3;3;2;3;5;4;2;7;4;7;7;7;1;7;3;3;3;7;4;6;3;7;2;1;1;1;1;1;1;1;6;7;7;7;7;7;7;1;7;2;1;7;1;7;1;7;7;7;1;6;7;7;2;3;1;1;5;7;4;6;5;4;7;4;3;2;2;4;3;3;2;2;2;1;1;1;1;1;1;6;7;1;2;1;1;5;1;1;1;3;6;7;2;6;2;6;7;2;4;2;6;2;4;2;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;13;12;5;25;1;25;19;22;6;1;4;6;7;2;6;4;3;2;2;5;4;2;1;2;1
29;1;2;1;2;3;2;4;3;2;4;4;4;4;7;5;6;6;5;3;6;3;7;7;7;6;5;2;6;3;3;2;6;1;6;4;5;3;6;4;2;1;3;3;1;1;3;5;6;6;4;5;7;6;2;7;6;5;3;7;6;5;6;4;6;1;6;7;6;4;3;1;1;1;1;1;7;1;1;6;1;1;1;1;6;1;1;2;7;5;1;1;2;2;3;2;3;7;1;1;1;1;6;1;1;1;7;6;6;3;6;2;6;6;2;2;2;6;2;6;4;2;4;1;2;5;4;4;4;4;4;4;4;5;4;4;4;4;4;3;9;13;16;13;3;6;13;5;2;6;2;6;5;5;3;6;1;2;5;4;2;6;1;1
30;2;2;3;4;4;3;4;4;4;4;4;4;4;5;3;5;5;4;4;5;3;6;5;5;5;4;2;7;2;5; ;5;5;5;3;4;2;6;4;2;2;4;3;3;1;5;4;5;3;4;4;5;5;6;6;6;2;6;6;4;3;5;5;5;5;6;6;7;5;3;2;3;2;4;4;5;4;3;6;3;3;2;4;4;3;3;2;6;5;2;5;2;2;2;6;5;5;4;5;3;5;4;4;3;2;6;6;5;2;7;3;7;7;3;4;6;6;4;5;4;3;6;4;4;6;4;5;3;3;5;4;4;5;3;5;3;3;5;25;16;16;19;13;22;19;16;6;5;5;3;6;3;6;5;5;2;2;5;3;1;1;2;1
31;1;2;3;3;1;3;3;4;3; ;2;4;4;6;6;6;4;3;6;6;2;4;3;2;4;5;4;6;5;7;1;2;2;5;2;2;1;6;2;2;1;1;1;1;1;2;6;7;6;7;6;6;7;7;6;6;5;6;5;3;4;6;6;7;2;7;6;5;6;2;1;2;1;1;2;7;2;1;4;1;1;1;1;4;1;1;1;1;4;1;2;1;1;1;3;3;4;1;2;1;2;4;1;1;1;6;4;3;4;5;4;5;5;3;4;4;5;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;9;13;13;13;13;13;13;13;5;3;4;3;6;4;5;4;4;3;1;5;4;1;1;3;1
32;1;0;2;1;0;1;3;4;5;5;4;5;4;7;5;5;7;3;7;5;1;6;4;5;6;5;4;7;3;6;3;4;3;6;2;5;3;5;1;1;1;2;1;2;1;3;4;5;7;4;7;6;6;5;3;7;2;7;7;5;1;6;6;6;1;7;5;7;6;4;1;1;1;3;1;6;1;1;6;1;1;1;2;4;1;1;4;3;4;3;6;4;4;2;5;4;6;1;3;2;2;5;1;1;2;2;6;6;3;7;3;4;5;2;4;2;4;3;3;4;4;3;4;4;4;4;4;4;4;4;2;4;4;4;4;2;4;4;19;22;19;19;16;13;16;16;6;5;5;7;5;4;6;3;2;3;2;5;4;1;2;3;1
33;3;2;2;2;3;4;2;4;2;1;2;4;1;5;2;5;4;6;3;1;2;4;4;6;3;5;3;7;2;7;1;7;5;6;2;6;2;7;2;1;1;2;1;2;1;2;4;6;7;6;4;5;6;5;6;3;3;2;7;4;2;5;6;3;1;5;6;6;5;4;5;6;4;1;5;3;5;3;7;2;1;1;2;4;2;1;2;7;6;1;2;1;1;2;4;2;7;6;4;5;5;6;4;2;2;7;5;5;5;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;19;22;19;25;25;19;19;19;6;3;3;2;7;4;6;2;3;2;1;5;3;1;1;2;1
34;0;1;0;1;2;1;3;4;3;4;4;4;4;7;5;7;4;4;5;7;1;4;5;7;7;5;2;6;4;3;1;7;2;6;2;3;2;5;1;1;1;1;1;2;1;3;5;6;4;4;4;5;7;6;6;3;2;6;7;5;2;4;6;7;2;6;7;7;6;2;1;3;1;3;1;7;1;1;7;2;1;4;1;4;4;2;1;7;2;5;6;5;5;1;5;6;7;5;5;4;5;6;5;2;1;7;7;4;3;6;5;6;4;4;4;5;5;4;4;5;3;4;5;4;4;4;5;4;4;4;5;4;5;4;5;4;4;4;22;19;16;13;13;16;16;19;5;4;6;4;7;3;6;2;3;2;2;5;2;1;1; ;1
35;0;0;0;0;5;1;3;4;4;5;5;5;5;6;3;4;1;6;3;2;6;5;3;4;2;5;2;7;1;7;1;7;1;7;2;3;2;7;1;1;1;4;1;2;1;5;7;7;7;7;7;7;7;7;7;7;1;5;7;4;1;6;7;4;1;7;7;7;7;1;1;1;2;1;1;7;1;1;6;1;1;1;1;4;1;1;2;7;7;1;6;1;1;1;1;1;7;1;2;1;1;4;1;1;7;4;6;4;2;6;4;6;6;3;2;1;5;3;4;4;2;5;4;2;5;4;7;3;1;6;5;5;3;1;6;2;1;6;19;6;19;25;12;16;17;16;5;3;5;3;6;4;6;4;2;3;2;5;2;1;1;1;1
36;0;1;1;1;3;2;2;4;4;4;1;3;4;5;6;6;6;2;2;5;2;7;6;6;6;2;4;7;4;2;5;7;5;6;5;5;3;5;4;1;1;1;1;1;2;5;5;5;5;6;6;6;5;4;5;7;2;2;7;4;4;7;6;7;5;7;6;6;6;3;2;4;3;2;3;2;2;2;5;1;1;1;1;5;1;1;3;6;4;2;2;2;2;4;2;2;5;2;2;2;2;5;2;2;3;5;5;5;5;3;6;3;2;6;5;5;4;6;4;5;3;4;3;3;4;4;4;3;2;4;4;4;5;5;5;5;4;4;3;28;19;16;22;9;16;19;4;2;7;3;6;4;6;1;3;2;2;5;2;1;1;3;1
37;0;0;1;1;2;3;3;4;4;4;4;4;4;7;6;7;6;4;5;4;1;4;2;4;4;4;1;6;4;7;3;7;3;7;2;6;2;5;2;1;1;5;4;1;1;6;6;7;7;5;3;7;4;7;1;5;3;6;5;2;1;6;7;5;2;6;7;6;6;1;1;1;2;3;3;2;3;1;4;2;1;1;1;5;1;2;6;7;6;1;4;1;2;1;4;2;2;6;7;7;7;3;6;6;6;5;6;5;2;4;2;5;3;2;2;1;6;4;3;4;1;5;4;4;4;4;4;4;4;4;6;4;2;5;3;4;4;1;22;6;19;19;14;26;25;6;5;5;2;5;7;2;5;6;3;2;2;5;4;2;1;3;1
38;1;2;1;2;3;2;4;4;4;3;4;4;5;7;5;6;7;4;5;5;1;6;5;5;4;5;4;5;4;3;6;7;3;6;5;4;5;6;2;1;1;3;1;1;1;4;5;6;5;5;6;6;5;4;6;6;2;5;6;3;3;7;5;6;3;6;7;6;6;1;1;3;3;1;1;6;3;1;3;3;2;2;2;4;3;3;1;3;3;2;2;1;1;3;2;4;3;4;3;3;2;4;3;2;1;2;6;6;4;7;5;5;4;4;5;5;3;4;3;4;4;3;3;5;4;3;3;3;3;4;3;5;5;4;4;3;3;5;22;16;16;6;9;6;9;13;5;6;7;6;5;6;6;4;3;4;2;5;4;1;1;3;1
39;2;2;3;4;4;3;4;4;4;4;4;4;4;6;3;3;5;5;3;3;3;4;2;2;2;4;3;6;2;7;1;6;4;5;3;5;5;5;2;1;1;4;2;2;1;4;2;6;1;2;3;4;5;7;7;6;2;7;6;4;3;7;6;7;2;6;5;6;4;3;4;4;4;2;3;7;4;4;4;3;1;1;4;4;1;1;5;7;4;3;2;2;2;2;2;2;5;3;3;2;4;4;2;2;2;7;5;2;3;5;4;5;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;13;22;16;13;9;16;16;13;4;4;6;6;6;6;6;2;4;2;2;5;3;2;1;3;1
40;0;2;2;3;3;3;3;3;3;3;4;3;3;6;6;6;6;3;4;4;1;5;6;5;4;6;4;6;3;2;4;5;5;6;4;4;3;6;3;2;1;5;1;2;1;6;5;6;6;5;6;6;6;5;7;6;3;6;6;3;1;7;6;6;1;7;6;6;6;1;1;1;7;5;2;3;2;2;5;1;1;1;1;4;4;4;2;6;4;3;4;2;4;5;5;6;5;2;4;3;2;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;25;16;19;19;22;9;25;25;2;3;5;4;3;6;5;2;3;4;2;5;3;1;1;3;1
