authors,study,N,yi,se,comparison,decision_type,pub,country,world_region,ID
Bradley-Geist et al. (2010),2,35,0.66,0.35,1,1,1,US,NOA,Bradley-Geist (2010) 2
Bradley-Geist et al. (2010),3,44,0.17,0.3,1,1,1,US,NOA,Bradley-Geist (2010) 3
Bradley-Geist et al. (2010),4,42,0.47,0.31,1,1,1,US,NOA,Bradley-Geist (2010) 4
Bradley-Geist et al. (2010),5,56,-0.7,0.28,0,1,1,US,NOA,Bradley-Geist (2010) 5
Brown et al. (2011),1,97,0.41,0.21,1,0,1,US,NOA,Brown (2011) 1
Cain et al. (2005),1,43,0.58,0.31,1,0,1,US,NOA,Cain (2005) 1
Cain et al. (2011),1,348,-0.15,0.11,1,0,1,US,NOA,Cain (2011) 1
Cain et al. (2011),2,49,0.04,0.29,1,0,1,US,NOA,Cain (2011) 2
Cain et al. (2011),3,77,0.4,0.23,1,0,1,US,NOA,Cain (2011) 3
Choi et al. (2014),1,116,0.44,0.19,1,1,1,US,NOA,Choi (2014) 1
Choi et al. (2014),2,60,0.54,0.26,1,1,1,US,NOA,Choi (2014) 2
Clot et al. (2013a),1,367,0.23,0.1,1,1,0,FR,EUR,Clot (2013a) 1
Clot et al. (2013b),1,192,0.3,0.15,1,1,1,FR,EUR,Clot (2013b) 1
Clot et al. (2014),1,100,0.35,0.2,1,0,1,FR,EUR,Clot (2014) 1
Conway and Peetz (2012),1,51,0.33,0.28,0,1,1,US,NOA,Conway (2012) 1
Conway and Peetz (2012),2,39,0.58,0.33,0,1,1,US,NOA,Conway (2012) 2
Conway and Peetz (2012),3,65,0.0,0.25,0,1,1,US,NOA,Conway (2012) 3
Conway and Peetz (2012),4,65,0.79,0.26,0,1,1,US,NOA,Conway (2012) 4
Cornelissen et al. (2013a),1,48,0.59,0.29,0,0,1,DE,EUR,Cornelissen (2013a) 1
Cornelissen et al. (2013a),2,40,0.84,0.33,0,0,1,DE,EUR,Cornelissen (2013a) 2
Cornelissen et al. (2013a),3,50,0.53,0.29,0,0,1,DE,EUR,Cornelissen (2013a) 3
Cornelissen et al. (2013b),1,70,0.57,0.24,0,1,0,DE,EUR,Cornelissen (2013b) 1
Cornelissen et al. (2013b),2,92,0.36,0.21,0,1,0,DE,EUR,Cornelissen (2013b) 2
Effron et al. (2009),1,84,0.44,0.22,1,1,1,US,NOA,Effron (2009) 1
Effron et al. (2009),2,40,0.35,0.32,1,1,1,US,NOA,Effron (2009) 2
Effron et al. (2009),3,50,0.16,0.28,1,1,1,US,NOA,Effron (2009) 3
Effron (2014),1,107,0.44,0.2,1,1,1,US,NOA,Effron (2014) 1
Effron (2014),2,106,0.47,0.2,1,0,1,US,NOA,Effron (2014) 2
Effron et al. (2012),1,157,0.25,0.16,1,1,1,US,NOA,Effron (2012) 1
Jordan et al. (2011),2,68,0.42,0.247,0,0,1,US,NOA,Jordan (2011) 2
Jordan et al. (2011),3,76,0.994,0.24,0,0,1,US,NOA,Jordan (2011) 3
Khan and Dhar (2006),1,108,0.62,0.2,1,0,1,US,NOA,Khan (2006) 1
Khan and Dhar (2006),2,94,0.6,0.21,1,0,1,US,NOA,Khan (2006) 2
Khan and Dhar (2006),3,80,0.56,0.23,1,0,1,US,NOA,Khan (2006) 3
Khan and Dhar (2006),4,80,0.39,0.23,1,1,1,US,NOA,Khan (2006) 4
Khan and Dhar (2006),5,80,0.46,0.23,1,0,1,US,NOA,Khan (2006) 5
Khan and Dhar (2006),6,66,0.56,0.25,1,0,1,US,NOA,Khan (2006) 6
Kouchaki (2011),1,64,0.58,0.26,1,1,1,US,NOA,Kouchaki (2011) 1
Kouchaki (2011),2,64,0.57,0.26,1,0,1,US,NOA,Kouchaki (2011) 2
Kouchaki (2011),3,96,0.52,0.21,1,1,1,US,NOA,Kouchaki (2011) 3
Kouchaki (2011),4,50,0.64,0.29,1,1,1,US,NOA,Kouchaki (2011) 4
Leonard (2012),1,32,-0.29,0.36,1,0,0,,,Leonard (2012) 1
Leonard (2012),2,92,-0.04,0.21,0,0,0,,,Leonard (2012) 2
Leonard (2012),3,43,-0.02,0.31,0,0,0,,,Leonard (2012) 3
Leonard (2012),4,64,0.01,0.25,0,1,0,,,Leonard (2012) 4
Mann and Kawakami (2012),1,44,0.73,0.31,0,0,1,US,NOA,Mann (2012) 1
Mann and Kawakami (2012),2,94,0.55,0.21,0,1,1,US,NOA,Mann (2012) 2
Mann and Kawakami (2012),3,30,0.86,0.38,0,0,1,US,NOA,Mann (2012) 3
Mazar and Zhong (2010),1,76,0.29,0.23,0,0,1,CA,NOA,Mazar (2010) 2
Mazar and Zhong (2010),2,81,0.53,0.226,0,0,1,CA,NOA,Mazar (2010) 3
Meijers et al. (2014),1,40,-0.04,0.32,1,1,0,NL,EUR,Meijers (2014) 1
Meijers et al. (2014),2,40,0.83,0.33,1,1,0,NL,EUR,Meijers (2014) 2
Meijers et al. (2014),3,88,0.6,0.22,1,1,0,NL,EUR,Meijers (2014) 3
Meijers et al. (2014),4,88,-0.24,0.21,1,1,0,NL,EUR,Meijers (2014) 4
Monin and Miller (2001),1,140,0.26,0.17,1,1,1,US,NOA,Monin (2001) 1
Monin and Miller (2001),2,110,0.71,0.2,1,1,1,US,NOA,Monin (2001) 2
Monin and Miller (2001),3,21,0.91,0.459,1,1,1,US,NOA,Monin (2001) 3
Sachdeva et al. (2009),1,29,0.6,0.38,1,0,1,US,NOA,Sachdeva (2009) 1
Sachdeva et al. (2009),2,18,1.1,0.51,0,0,1,US,NOA,Sachdeva (2009) 2
Sachdeva et al. (2009),3,31,0.57,0.37,1,1,1,US,NOA,Sachdeva (2009) 3
Schler et al. (2012),1,62,-0.42,0.26,1,0,0,DE,EUR,Schler (2012) 1
Spektor (2014),1,278,0.0,0.12,0,1,0,DE,EUR,Spektor (2014) 1
Susewind and Hoelzl (2014),1,84,0.38,0.22,1,1,1,DE,EUR,Susewind (2014) 1
Susewind and Hoelzl (2014),2,62,0.44,0.26,0,0,1,DE,EUR,Susewind (2014) 2
Thomas and Showers (2012),1,76,-0.3,0.23,0,0,0,,,Thomas (2012) 1
Young et al. (2012),1,66,-0.41,0.25,1,1,1,US,NOA,Young (2012) 1
Zhong et al. (2010),1,68,0.29,0.24,1,0,1,US,NOA,Zhong (2010) 1
(Simbrunner and Schlegelmilch 2016a),1,52,0.66,0.29,1,0,0,AT,EUR,Simbrunner (2016) 1
(Simbrunner and Schlegelmilch 2016a),1,57,-0.16,0.27,1,0,0,AT,EUR,Simbrunner (2016) 1
(Simbrunner and Schlegelmilch 2016a),2,57,0.26,0.27,1,0,0,AT,EUR,Simbrunner (2016) 2
(Simbrunner and Schlegelmilch 2016a),3,57,0.35,0.27,1,0,0,AT,EUR,Simbrunner (2016) 3
(Simbrunner and Schlegelmilch 2016a),4,57,0.58,0.27,1,0,0,AT,EUR,Simbrunner (2016) 4
(Simbrunner and Schlegelmilch 2016a),5,57,0.54,0.27,1,0,0,AT,EUR,Simbrunner (2016) 5
(Simbrunner and Schlegelmilch 2016a),1,111,-0.26,0.19,1,0,0,TH,SEA,Simbrunner (2016) 1
(Simbrunner and Schlegelmilch 2016a),2,111,-0.49,0.19,1,0,0,TH,SEA,Simbrunner (2016) 2
(Simbrunner and Schlegelmilch 2016a),3,111,-0.32,0.19,1,0,0,TH,SEA,Simbrunner (2016) 3
(Simbrunner and Schlegelmilch 2016a),4,111,-0.38,0.19,1,0,0,TH,SEA,Simbrunner (2016) 4
(Simbrunner and Schlegelmilch 2016a),5,111,-0.41,0.19,1,0,0,TH,SEA,Simbrunner (2016) 5
