1	9	1	1	2	2	1	1	150	7
1	18	1	2	2	2	1	1	50	6
1	5	1	2	2	1	1	1	50	7
1	4	1	1	2	1	1	1	150	43
1	16	1	2	1	1	1	1	50	39
1	14	1	2	2	2	1	1	50	7
1	13	1	1	2	1	1	1	150	10
1	17	1	1	2	1	1	1	150	14
1	2	1	2	1	2	1	1	50	6
1	3	2	2	2	2	2	2	150	4
1	12	2	1	1	1	2	2	50	31
1	8	2	1	1	2	2	2	50	7
1	6	2	2	1	2	2	2	150	24
1	15	2	1	2	2	2	2	50	11
1	10	2	1	1	2	2	2	50	21
1	7	2	2	2	1	2	2	150	10
1	1	2	2	1	2	2	2	150	24
1	11	2	1	1	1	2	2	50	9
2	9	1	2	2	1	1	1	50	6
2	1	1	1	2	1	1	1	150	7
2	3	1	2	1	1	1	1	50	14
2	7	1	1	1	2	1	1	150	8
2	12	1	1	2	1	1	1	150	6
2	8	1	1	2	2	1	1	150	5
2	6	1	1	1	1	1	1	150	7
2	5	1	2	1	1	1	1	50	15
2	10	1	1	2	2	1	1	150	8
2	11	2	2	1	2	2	2	150	12
2	14	2	2	2	1	2	2	150	15
2	2	2	2	2	2	2	2	150	14
2	4	2	2	2	1	2	2	150	19
2	18	2	1	2	2	2	2	50	12
2	15	2	1	2	2	2	2	50	7
2	17	2	1	1	2	2	2	50	22
2	16	2	2	2	1	2	2	150	59
2	13	2	1	2	1	2	2	50	35
3	16	1	1	1	2	2	1	10	80
3	6	1	2	1	2	2	1	10	21
3	3	1	1	1	1	2	1	10	5
3	4	1	1	2	2	2	1	10	10
3	8	1	2	1	2	2	1	10	7
3	2	1	1	2	1	2	1	10	32
3	18	1	2	1	1	2	1	10	11
3	13	1	2	1	2	2	1	10	35
3	14	1	1	1	2	2	1	10	11
3	17	2	1	2	1	1	1	150	19
3	5	2	1	1	1	1	1	150	16
3	1	2	2	2	2	1	1	50	14
3	15	2	2	1	1	1	1	50	5
3	9	2	1	2	2	1	1	150	4
3	10	2	1	2	1	1	1	150	14
3	11	2	2	2	2	1	1	50	13
3	12	2	2	2	1	1	1	50	16
3	7	2	2	1	1	1	1	50	4
4	18	1	2	1	1	1	1	50	11
4	17	1	1	1	2	1	1	150	6
4	2	1	2	1	1	1	1	50	33
4	11	1	1	2	1	1	1	150	13
4	5	1	2	2	2	1	1	50	7
4	8	1	1	1	1	1	1	150	6
4	3	1	2	1	2	1	1	50	7
4	15	1	2	1	1	1	1	50	2
4	14	1	1	1	1	1	1	150	8
4	9	2	2	1	2	2	2	150	4
4	7	2	1	1	2	2	2	50	7
4	12	2	1	2	1	2	2	50	6
4	1	2	1	1	2	2	2	50	15
4	6	2	1	2	2	2	2	50	9
4	10	2	2	1	2	2	2	150	7
4	16	2	1	2	1	2	2	50	16
4	4	2	1	1	1	2	2	50	14
4	13	2	1	1	1	2	2	50	30
5	12	1	1	1	2	2	1	10	7
5	5	1	1	2	1	2	1	10	13
5	17	1	1	1	2	2	1	10	10
5	8	1	2	1	2	2	1	10	5
5	3	1	2	2	1	2	1	10	31
5	6	1	2	1	1	2	1	10	15
5	16	1	1	1	2	2	1	10	14
5	11	1	2	1	2	2	1	10	10
5	2	1	1	2	1	2	1	10	13
5	9	2	2	2	2	2	2	150	3
5	15	2	2	2	2	2	2	150	4
5	18	2	1	1	2	2	2	50	15
5	10	2	2	2	2	2	2	150	9
5	1	2	1	2	1	2	2	50	9
5	4	2	2	2	1	2	2	150	15
5	13	2	2	1	1	2	2	150	33
5	7	2	1	2	2	2	2	50	7
5	14	2	1	2	1	2	2	50	6
6	15	1	2	2	1	1	1	50	5
6	7	1	1	1	1	1	1	150	9
6	1	1	2	2	1	1	1	50	12
6	6	1	2	2	2	1	1	50	9
6	13	1	1	1	2	1	1	150	35
6	5	1	2	1	1	1	1	50	13
6	17	1	1	2	1	1	1	150	9
6	16	1	2	1	1	1	1	50	14
6	12	1	1	1	1	1	1	150	10
6	3	2	2	2	1	2	2	150	4
6	18	2	2	2	2	2	2	150	6
6	4	2	2	2	2	2	2	150	9
6	10	2	1	2	1	2	2	50	7
6	14	2	1	1	1	2	2	50	5
6	2	2	2	2	2	2	2	150	9
6	8	2	2	2	1	2	2	150	3
6	9	2	2	2	2	2	2	150	3
6	11	2	2	2	2	2	2	150	14
7	4	1	1	1	2	2	2	50	7
7	18	1	2	1	1	2	2	150	7
7	2	1	1	1	2	2	2	50	6
7	5	1	1	1	1	2	2	50	5
7	7	1	2	1	1	2	2	150	8
7	10	1	1	1	2	2	2	50	20
7	15	1	1	1	2	2	2	50	13
7	11	1	1	2	1	2	2	50	8
7	13	1	2	1	2	2	2	150	29
7	6	2	1	1	1	2	2	50	11
7	16	2	2	2	1	2	2	150	15
7	12	2	2	2	2	2	2	150	13
7	17	2	1	1	2	2	2	50	7
7	9	2	2	1	2	2	2	150	3
7	14	2	2	1	2	2	2	150	4
7	8	2	2	1	1	2	2	150	4
7	1	2	1	2	2	2	2	50	9
7	3	2	2	1	2	2	2	150	5
8	10	1	2	2	2	2	2	150	8
8	8	1	1	1	1	2	2	50	2
8	16	1	2	1	1	2	2	150	13
8	9	1	2	1	2	2	2	150	3
8	14	1	1	1	1	2	2	50	5
8	12	1	2	2	2	2	2	150	4
8	2	1	1	2	2	2	2	50	22
8	15	1	1	2	1	2	2	50	4
8	4	1	1	1	2	2	2	50	4
8	1	2	1	2	2	2	1	10	9
8	13	2	2	2	1	2	1	10	13
8	17	2	2	1	2	2	1	10	5
8	3	2	2	2	2	2	1	10	5
8	6	2	1	2	1	2	1	10	10
8	5	2	1	2	1	2	1	10	7
8	11	2	1	2	1	2	1	10	14
8	7	2	1	2	2	2	1	10	13
8	18	2	2	2	2	2	1	10	8
9	12	1	1	2	2	2	2	50	7
9	4	1	1	1	2	2	2	50	10
9	8	1	1	2	2	2	2	50	9
9	16	1	1	2	2	2	2	50	28
9	13	1	1	1	2	2	2	50	12
9	17	1	2	2	1	2	2	150	10
9	2	1	1	2	2	2	2	50	14
9	7	1	2	1	2	2	2	150	7
9	10	1	1	2	2	2	2	50	4
9	9	2	2	2	1	1	1	50	6
9	1	2	2	1	2	1	1	50	5
9	14	2	2	2	2	1	1	50	11
9	18	2	1	2	1	1	1	150	4
9	5	2	2	2	1	1	1	50	16
9	6	2	1	1	2	1	1	150	11
9	11	2	1	2	1	1	1	150	6
9	3	2	1	2	1	1	1	150	4
9	15	2	1	2	1	1	1	150	6
10	5	1	1	2	2	2	1	10	14
10	6	1	1	2	2	2	1	10	11
10	3	1	1	2	2	2	1	10	2
10	13	1	1	2	1	2	1	10	13
10	17	1	2	1	2	2	1	10	16
10	8	1	2	1	2	2	1	10	4
10	11	1	2	2	2	2	1	10	7
10	2	1	2	2	2	2	1	10	14
10	16	1	1	2	1	2	1	10	9
10	12	2	1	1	1	2	2	50	16
10	14	2	1	2	1	2	2	50	4
10	7	2	2	2	1	2	2	150	11
10	1	2	2	1	1	2	2	150	7
10	4	2	1	1	2	2	2	50	10
10	10	2	2	2	2	2	2	150	8
10	15	2	2	1	2	2	2	150	5
10	9	2	2	1	2	2	2	150	2
10	18	2	2	1	2	2	2	150	4
11	8	1	2	2	1	1	1	50	4
11	1	1	1	2	1	1	1	150	4
11	14	1	2	2	2	1	1	50	12
