1	10	1	1	2	2	1	1	150	3
1	3	1	1	1	1	1	1	150	22
1	1	1	1	1	1	1	1	150	24
1	15	1	1	1	1	1	1	150	14
1	20	1	2	1	1	1	1	50	21
1	9	1	1	1	1	1	1	150	3
1	14	1	1	1	2	1	1	150	19
1	17	1	2	1	1	1	1	50	7
1	12	1	1	2	2	1	1	150	44
1	13	2	1	1	1	1	1	150	4
1	25	2	2	1	2	1	1	50	16
1	22	2	1	1	1	1	1	150	8
1	26	2	1	2	2	1	1	150	12
1	5	2	1	2	2	1	1	150	12
1	19	2	1	1	1	1	1	150	24
1	23	2	2	1	1	1	1	50	29
1	27	2	1	1	1	1	1	150	7
1	21	2	1	1	1	1	1	150	27
1	8	3	1	2	2	1	1	150	14
1	16	3	2	1	2	1	1	50	17
1	18	3	1	1	1	1	1	150	16
1	6	3	1	1	1	1	1	150	12
1	4	3	1	1	1	1	1	150	6
1	11	3	1	1	1	1	1	150	18
1	7	3	2	1	2	1	1	50	5
1	2	3	1	1	1	1	1	150	13
1	24	3	1	1	1	1	1	150	4
2	21	1	2	1	2	2	1	10	37
2	4	1	1	2	2	2	1	10	4
2	11	1	2	1	2	2	1	10	17
2	18	1	2	1	1	2	1	10	13
2	6	1	2	1	2	2	1	10	18
2	25	1	2	1	2	2	1	10	10
2	5	1	1	2	2	2	1	10	12
2	8	1	2	1	1	2	1	10	3
2	10	1	1	1	1	2	1	10	5
2	23	2	1	1	1	1	1	150	4
2	2	2	1	2	1	1	1	150	14
2	27	2	2	1	1	1	1	50	12
2	1	2	2	1	2	1	1	50	13
2	26	2	1	1	1	1	1	150	4
2	14	2	1	1	1	1	1	150	17
2	20	2	2	1	1	1	1	50	6
2	9	2	2	1	1	1	1	50	3
2	16	2	1	1	1	1	1	150	14
2	24	3	2	2	2	2	2	150	3
2	22	3	1	2	1	2	2	50	6
2	19	3	1	2	2	2	2	50	12
2	7	3	2	2	2	2	2	150	8
2	17	3	2	1	1	2	2	150	5
2	13	3	2	2	2	2	2	150	6
2	12	3	2	2	2	2	2	150	17
2	15	3	2	2	1	2	2	150	9
2	3	3	2	2	2	2	2	150	9
3	19	1	2	1	1	2	2	150	17
3	5	1	1	2	2	2	2	50	43
3	25	1	2	2	2	2	2	150	12
3	10	1	2	1	1	2	2	150	10
3	2	1	2	1	2	2	2	150	6
3	18	1	2	2	2	2	2	150	15
3	24	1	1	2	2	2	2	50	4
3	4	1	1	2	1	2	2	50	18
3	17	1	2	2	2	2	2	150	4
3	12	2	2	1	1	1	1	50	16
3	1	2	1	1	1	1	1	150	6
3	7	2	1	2	1	1	1	150	6
3	8	2	2	1	1	1	1	50	23
3	6	2	2	2	2	1	1	50	13
3	3	2	1	2	2	1	1	150	15
3	9	2	2	1	1	1	1	50	2
3	14	2	1	2	2	1	1	150	17
3	16	2	2	1	2	1	1	50	5
3	15	3	2	2	2	1	1	50	13
3	26	3	1	1	1	1	1	150	7
3	22	3	2	2	2	1	1	50	5
3	13	3	1	1	1	1	1	150	4
3	21	3	2	1	1	1	1	50	51
3	11	3	2	2	2	1	1	50	11
3	20	3	2	2	2	1	1	50	6
3	27	3	1	1	1	1	1	150	23
3	23	3	1	1	1	1	1	150	5
4	25	1	2	2	2	2	1	10	8
4	14	1	2	2	2	2	1	10	15
4	5	1	2	1	2	2	1	10	16
4	17	1	1	1	1	2	1	10	3
4	13	1	1	1	1	2	1	10	6
4	21	1	1	2	2	2	1	10	21
4	20	1	2	1	1	2	1	10	6
4	16	1	1	1	1	2	1	10	19
4	4	1	2	1	2	2	1	10	11
4	22	2	1	1	1	1	2	10	12
4	27	2	1	2	2	1	2	10	4
4	9	2	1	1	1	1	2	10	3
4	10	2	2	1	1	1	2	10	5
4	19	2	2	2	2	1	2	10	8
4	1	2	1	1	1	1	2	10	6
4	2	2	1	2	1	1	2	10	11
4	7	2	1	1	1	1	2	10	4
4	11	2	1	1	1	1	2	10	7
4	18	3	2	2	2	2	2	150	10
4	26	3	1	1	1	2	2	50	5
4	6	3	2	2	2	2	2	150	8
4	15	3	1	2	2	2	2	50	14
4	12	3	2	1	1	2	2	150	11
4	23	3	1	2	2	2	2	50	40
4	24	3	2	2	2	2	2	150	3
4	3	3	1	2	2	2	2	50	5
