subject;group;panas_1;panas_2;panas_3;panas_4;panas_5;panas_6;panas_7;panas_8;panas_9;panas_10;panas_11;panas_12;panas_13;panas_14;panas_15;panas_16;panas_17;panas_18;panas_19;panas_20;expl_1;expl_2;expl_3;expl_4;expl_5;expl_6;expl_7;expl_8;expl_9;expl_10;wsc_1;wsc_2;wsc_3;wsc_4;wsc_5;wsc_6;wsc_7;wsc_8;wsc_9;wsc_10;wsc_11;wsc_12;wsc_13;wsc_14;wsc_15;wsc_16;wsc_17;wsc_18;wsc_19;wsc_20;wsc_21;wsc_22;wsc_23;wsc_24;wsc_25;wsc_26;wsc_27;wsc_28;wsc_29;wsc_30;mc_a;mc_b;mc_c;mc_d;mc_e;mc_f;sex;bildung;migration;religion;uv_jew;uv_hol;mc_a_correct;mc_b_correct;mc_d_correct;mc_e_correct;mc_c_correct;mc_f_correct;mc_krit;expl_3r;expl_4r;expl_6r;expl_8r;expl_9r;expl_like;panas_pa;panas_na;wsc_1_hol;wsc_2_hol;wsc_3_hol;wsc_4_hol;wsc_5_hol;wsc_6_hol;wsc_7_hol;wsc_8_hol;wsc_9_hol;wsc_10_hol;wsc_hol_sum;age_groups
42;2;4;4;3;4;2;3;3;4;4;4;5;1;2;1;1;1;2;1;1;1;5;5;6;2;6;5;4;1;1;6;Deportation;Endlösung;Ermittlung;Gaskammer;Genozid;Holocaust;Konzentration;Krematorium;Vergangenheit;Vernichtung;Aktenzeichen;Altersheim;Bewegung;Einwanderer;Empfang;Erfahrung;Fortpflanzung;Funkstille;Gymnasium;Hinterhalt;Kilometer;Kreissaal;Liebe;Monopol;Nagelschere;Person;Regenbogen;Rücksicht;Steinbruch;Zusatz;4;3;1;3;2;2;2;3;0;0;0;1;1;1;0;1;1;1;1;2;6;3;7;7;5,1;3,5;1,6;1;0;0;1;1;1;0;1;0;1;6;1
43;3;3;4;2;2;3;1;2;2;1;3;4;4;4;3;1;5;4;4;4;4;3;3;5;6;5;2;6;1;1;6;rtation;ich;ahnung;ammer;zit;lunder;entration;pe;ngenheit;ichtung;nzeichen;nheim;gung;ohner;indung;hrung;setzung;haus;asium;ergrund;gramm;s;e;graphie;l;on;n;stand;nbock;mmenhang;4;3;2;4;4;3;2;3;0;1;1;0;1;1;1;0;1;1;1;3;2;6;7;7;4,8;2,3;3,7;1;0;0;1;1;0;0;0;0;1;4;3
44;4;5;3;3;3;3;2;3;3;4;4;3;1;1;1;1;1;1;1;1;1;4;4;3;3;4;2;5;3;1;5;Deponie;Endladung;Ermäßigung;Gaskammer;Genossenschaft;Holunder;Konzert;Kremmel;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwanderer;Empfang;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hinterlassenschaft;Kilometer;Kreis;Liebhaber;Monogamie;Nagetier;Persien;Regenbogen;Rücksicht;Stein;Zusammenhalt;4;3;1;4;2;3;2;3;0;1;0;0;1;1;1;1;1;1;1;5;5;6;5;7;5;3,3;1,2;0;0;0;1;0;0;0;0;0;0;1;3
45;1;3;3;3;3;3;3;3;2;3;3;4;3;2;1;1;2;1;1;2;1;3;5;4;7;2;7;1;4;5;4;t;os;ahnung;raftwerk;zit;z;tration;el;ngenheit;einung;n;r;gung;eisung;ählung;hrung;pflanzung;tion;asium;erlistig;gram;s;e;ton;l;on;n;zuck;nigung;mmenhalt;4;3;2;4;2;2;2;3;1;1;1;1;1;1;1;1;1;1;1;4;1;1;4;3;2,8;2,9;1,8;0;0;0;0;1;0;0;0;0;0;1;1
46;2;3;3;2;3;2;1;2;4;4;4;1;1;1;1;1;1;1;1;1;1;6;6;3;5;6;3;5;2;2;5;depot;endlösung;ermächtigung;gaskammer;genossenschaft;holschuld;konzentration;kreml;vergangenheit;vernichtung;akteneinsicht;altersheim;bewegung;einwanderung;empfehlung;erfahrung;fortschritt;funkloch;gymnasium;hintermann;kilometer;kreißsaal;liebschaft;monolog;nagetier;person;regentschaft;rückenmark;stein;zusammenhang;4;3;1;4;2;2;2;3;0;0;0;1;1;1;1;1;1;1;1;5;3;5;6;6;5,3;2,8;1;0;0;0;1;0;0;0;0;0;1;2;3
47;3;3;3;1;2;2;1;2;1;2;4;1;1;1;1;1;2;1;2;2;1;4;5;6;3;4;5;3;6;6;5;Depot;Endlosigkeit;Ermahnung;gaskohle;Genopol;Holz;Konzentration;Krempel;Vergalogie;Vernunft;Aktenzeichen;Altersarmut;Bewegung;Einwanderung;Empfänglichkeit;Erfahrung;Fortschritt;Funkmast;Gymnasium;Hintertür;Kilometer;Kreide;Liebhaberin;Monolog;Nagel;Person;Regen;Rücksicht;Stein;Zusage;4;3;2;2;2;3;2;3;0;1;1;0;1;1;0;1;1;1;1;2;5;3;2;2;3,5;2,1;1,3;0;0;0;0;0;0;0;0;0;0;0;3
48;4;1;1;1;1;1;1;1;3;1;1;1;1;2;1;1;3;1;1;3;1;5;5;6;5;3;5;5;3;2;5;Deposition;Endlichkeit;Ermäßigung;Gaskammer;Genotyp;Holland;Konzern;Kreml;Vergangenheit;Vernichtung;Akteur;Alter;Bewegung;Einweihung;Empfang;erfahrung;Fortschritt;funktionalität;Gymnasium;Hinterlist;Kilogramm;Kreide;Liebhaber;Monogramm;Nagelpistole;Personalausweis;Regelung;Rücksicht;Steigerung;Zusammenhalt;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;2;3;3;5;6;4,2;1,2;1,5;0;0;0;1;0;0;0;0;0;1;2;2
49;1;4;4;3;3;3;4;4;3;4;3;2;1;1;1;1;1;1;1;1;1;5;7;3;1;6;2;6;2;1;6;Depotierung;Endlohnung;Ermahnung;Gaskabel;Genom;Holland;Konzentration;Krempel;Vergarsung;Verniedlichung;Aktentasche;Altertum;Bewerbung;Einwendung;Empfindung;Erfahrungen;Fortschritt;Funkhaus;Gymnasium;Hinterteil;Kilometer;Kreide;Liebe;Monopol;Nagetier;Person;Regenschirm;Rückblick;Stein;Zusatz;4;3;2;4;2;2;1;3;0;0;1;1;1;1;1;1;1;1;1;5;7;6;6;7;6,1;3,5;1,1;0;0;0;0;0;0;0;0;1;0;1;2
50;2;3;3;1;2;1;2;2;3;4;3;2;1;1;1;1;1;1;1;1;1;4;5;4;3;4;2;5;2;2;5;Depot;Endlos;Ermäßígung;Gaskammer;Genozid;Holzeimer;Konzentration;Krematorium;Vergangenheit;Vernunft;Akteneinsicht;Altersvorsorge;Beweglichkeit;Einwohner;Empfehlung;Erfahrung;Fortschritt;Funktion;Gymnastik;Hinterland;Kilowatt;Kreisverkehr;Liebkosung;Monotheismus;Nagetier;Persönlichkeit;Regenerierung;Rückendeckung;Steinigung;Zusammenhang;4;3;1;4;2;2;2;4;1;1;0;1;1;1;1;1;1;1;1;4;5;6;6;6;5;2,4;1,1;0;0;0;1;1;0;0;1;0;0;3;3
51;3;2;3;2;2;2;3;2;2;2;1;1;2;1;1;2;2;3;2;2;2;4;5;2;2;4;3;5;2;1;5;tat;ösung;ordung;ammer;zid;ocaust;entration;l;ngenheit;einung;nzeichen;nheim;gung;ohner;ang;hrung;setzung;tion;asium;erhalt;gramm;slauf;e;pol;l;on;n;kehr;gung;tz;4;1;2;4;2;3;2;3;0;1;1;0;1;0;1;1;1;1;1;6;6;5;6;7;5,3;2,1;1,8;0;0;1;1;1;1;0;0;0;0;4;3
52;4;3;3;2;1;2;1;2;3;3;4;1;1;1;1;1;1;2;2;2;1;2;2;6;5;1;3;2;6;5;3;t;adung;äßigung;0;m;z;entration;pel;sung;unft;nzeichen;nheim;gung;anderer;ehlung;hrung;schritt;e;asium;ern;meter;s;e;log;l;on;n;en;n;tz;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;2;3;5;2;3;2,5;2,4;1,3;0;0;0;0;0;0;0;0;1;0;1;3
53;1;4;4;3;3;4;5;4;4;5;5;1;1;1;1;1;1;2;2;1;1;5;5;3;2;4;6;5;4;2;4;Deportiert;Endlos;Ermahnung;Gaskammer;Genotyp;Holzhaus;Konzentration;Krematorium;Vergangenheit;Vernichtung;Akteur;Altersheim;Bewegung;Einwanderer;Empfang;Erfahrung;Fortschritt;Funktion;Gymnaysium;Hinterhalt;Kilogramm;Kreissaal;Liebling;Monotonie;Nagetier;Person;Regesseur;Rücksichtslos;Steinzeit;Zusage;4;3;2;4;2;2;1;3;0;1;1;1;1;1;1;1;1;1;1;5;6;2;4;6;4,6;4,1;1,2;1;0;0;1;0;0;0;1;0;1;4;2
54;2;3;4;2;2;2;1;2;4;3;5;2;1;1;1;1;1;1;1;1;1;3;3;1;2;4;2;5;2;2;6;t;os;äßigung;ammer;typ;d;ert;pel;angenheit;unft;nzeichen;r;erbung;anderer;ang;hrung;pflanzung;tionalität;asium;ertür;gramm;de;e;pol;tier;on;n;meldung;n;ge;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;7;6;6;6;6;5,2;2,8;1,1;0;0;0;1;0;0;0;0;0;0;1;2
55;3;3;4;4;3;4;4;4;3;3;4;1;1;1;1;1;1;1;1;1;1;4;5;5;5;4;2;6;3;2;6;Deponierung;Endlichkeit;Ermüdung;Gaskammer;Genose?;Holz;Konzentration;Krempel;Vergangenheit;Vernunft;Akteur;Altenheim;Bewegung;Einwilligung;Empfänger;Erfahrung;Fortschritt;Funktion;Gymnasium;Hintern;Kilometer;Kreischen;Liebhaber;Monotonität;Nagetier;Persönlichkeit;Regel;Rückmeldung;Steigung;Zusammenarbeit;4;3;2;4;2;3;1;3;0;2;1;0;1;1;1;1;1;1;1;3;3;6;5;6;4,8;3,6;1;0;0;0;1;0;0;0;0;0;0;1;2
56;4;2;3;3;3;3;1;2;3;3;4;1;2;1;1;1;1;1;1;1;1;4;4;3;4;4;3;5;5;3;5;rtieren;os;äßigt;ammer;gramm;iday;ert;pel;ngenheit;unft;n;r;gung;anderin;ängnis;ssung;laut;tion;astik;ergrund;gramm;de;e;log;tier;on;n;halt;gerung;mmen;4;3;1;4;2;3;1;3;0;0;0;0;1;1;1;1;1;1;1;5;4;5;3;5;4,4;2,7;1,1;1;0;0;1;0;0;0;0;0;0;2;3
58;2;4;4;3;3;4;4;4;4;5;5;4;1;1;1;1;1;1;1;1;1;4;5;4;3;4;5;5;2;2;5;Depot;Endlastung;Ermahnung;Gaskammer;Genologie;Holz;Konzert;Krem;Vergasung;Vernetzung;Aktenkennzeichen;Altersheim;Bewegung;Einweihung;Empfehlung;Erfahrung;Fortschritt;Funkloch;Gymnasium;Hinterteil;Kilogramm;Kreis;Liebe;Monogramm;Nagetier;Person;Regenerierung;Rückblick;Steinbock;Zusammenhang;4;3;1;4;2;2;1;3;0;2;0;1;1;1;1;1;1;1;1;4;5;3;6;6;4,7;4;1,3;0;0;0;1;0;0;0;0;1;0;2;1
59;3;2;3;1;2;2;1;1;2;2;4;1;1;1;1;1;1;1;1;1;1;3;5;1;3;6;4;5;2;2;7;Depot;endlastung;ermächtigung;gaskammer;geno;holstein;konzentration;kreme;vergangenheit;vernichtung;akten;altenheim;bewegung;einweihung;empfang;erfahrung;fortbildung;funktion;gymnasium;hintern;kilogramm;kreis;liebe;monotonie;nagel;person;regen;rücken;stein;zusammenhalt;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;7;5;4;6;6;5,4;2;1;0;0;0;1;0;0;0;0;0;1;2;1
60;4;5;5;2;3;3;2;3;5;4;5;3;1;1;1;1;1;1;2;1;1;4;5;4;3;6;1;5;2;2;5;Deportieren;Endlos;Ermordung;Gaskammer;Genoßenschaft;Holland;Konzert;Kremig;Vergangenheit;Vernunft;Akten;Alter;Bewegung;Einwanderer;Empfang;Erfassen;Fortpflanzung;Funkloch;Gymnastik;Hinten;Kilogramm;Kreide;Liebe;Monogam;Nagellack;Personen;Regen;Rücken;Stein;Zusammen;4;3;1;4;2;3;1;3;1;3;0;0;1;1;1;1;1;1;1;4;5;7;6;6;5,3;3,7;1,3;1;0;1;1;0;0;0;0;0;0;3;1
61;1;2;4;2;3;3;3;3;2;4;4;1;1;1;1;1;2;1;2;1;1;2;3;5;6;2;3;3;3;4;3;Deport;End;Ermächtigung;Gaskammer;Genosse;Holz;Konzert;Kremel;Vergangenheit;Vernunft;Aktenzeichen;Alter;Bewegung;Einwanderer;Empfang;Erfahrung;Fortschritt;Funktion;Gymnastik;Hintern;Kilometer;Kreis;Liebling;Monopol;Nagel;Person;Regeln;Rücksicht;Stein;Zusammen;4;3;2;4;3;2;2;3;0;1;1;1;1;1;1;0;1;1;1;3;2;5;5;4;3,2;3;1,2;0;0;0;1;0;0;0;0;0;0;1;3
62;2;4;5;3;3;4;2;2;3;4;4;1;1;2;1;1;1;1;2;2;1;2;2;6;4;3;5;4;5;5;4;Depot;Endlösung;Ermächtigungsgesetz;Gaskammer;Genozid;Holocaust;Konzert;Krematorium;Vergangenheit;Vernichtung;Aktenvernichtung;Altenheim;Bewegung;Einwohner;Emfang;Erfassung;Fortpflanzung;Funkstation;Gymnasium;Hinterlassenschaft;Kilometer;Kreissaal;Liebhaber;Monolog;Nagetier;Persönlichkeit;Regentschaft;Rückkehr;Steigbügel;Zusammenarbeit;4;3;1;4;2;2;1;3;0;1;0;1;1;1;1;1;1;1;1;2;4;3;3;3;3;3,4;1,3;0;0;0;1;1;1;0;1;0;1;5;2
65;1;3;4;3;3;3;2;3;2;3;2;1;1;1;1;1;1;1;1;2;1;5;5;1;1;7;1;6;1;1;6;t;assung;mäßigung;ammer;m;z;tanz;pel;ngenheit;unft;n;r;gung;and;ang;hrung;pflanzung;haus;asium;ern;meter;de;haber;gramm;l;on;n;en;n;mmenhang;4;3;2;4;2;2;1;3;0;2;1;1;1;1;1;1;1;1;1;7;7;7;7;7;6,4;2,8;1,1;0;0;0;1;0;0;0;0;0;0;1;1
67;3;3;4;3;3;3;2;2;5;4;5;1;1;1;1;1;1;1;2;2;1;3;3;6;4;3;6;3;3;1;3;Deposition;Endlösung;Ermäßigung;Gaskammer;Genozid;Holocaust;Konzentrationslager;Krematorium;Vergasung;Vernichtung;Aktenordner;Altenheim;Bewegung;Einwohner;Empfinden;Erfahrung;Fortbildung;Funkturm;Gymnasium;Hintergrund;Kilogramm;Kreide;Liebschaft;Monopol;Nagetier;Person;Regenschirm;Rückmeldung;Stein;Zusammenfassung;4;3;2;4;2;3;2;3;0;2;1;0;1;1;1;1;1;1;1;2;4;2;5;7;3,5;3,4;1,2;0;0;0;1;1;1;1;1;1;1;7;3
70;2;4;4;3;3;4;4;5;4;4;4;1;1;1;2;1;1;1;1;1;1;7;6;4;2;4;3;7;1;1;5;Deponens;Endlich;Ermittlung;Gaskammer;Genopolis;Holzkiste;Konzentration;Kremmeln;Vergangenheit;Vernunft;Aktenordner;Altenheim;Gewegung;Einwanderer;Empfindlich;Erfahrungen;Fortschritte;Funkstille;Gymnasium;Hintergrund;Kilogramm;Kreislauf;Liebevoll;Monopoly;Nagetier;Personal;Regenwald;Rücksichtslos;Steinigung;Zusammen;3;3;1;4;2;2;1;4;0;1;0;1;0;1;1;1;1;1;1;4;6;5;7;7;5,8;3,9;1,1;0;0;0;1;0;0;0;0;0;0;1;1
71;3;3;4;2;3;2;3;4;5;3;4;1;1;2;2;4;4;2;5;5;4;4;5;5;4;3;5;2;3;5;2;Depot;Endlich;Ermittlung;Gaskammer;Genom;0;Kenzentration;0;Vergangenheit;Vernunft;Akte;Altenheim;Bewegung;Einwanderung;Empfindung;Erfahrung;Fortfahren;Funktion;Gymnastik;Hinterzimmer;Kilometer;Kreis;Liebhaber;Monolog;Nager;Person;Regen;Rücksicht;Stein;Zusammenfassung;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;3;4;3;5;3;3,4;3,3;3;0;0;0;1;0;0;0;0;0;0;1;1
72;4;3;3;3;4;3;2;3;4;5;4;1;1;1;1;1;1;2;2;1;1;6;7;4;3;5;3;6;3;1;7;Depot;Entledigung;Ermutigung;Gaskammer;Genossenschaft;Holz;Konzert;Krempel;Vergangenheit;Vernunft;Akten;Alter;Bewerbung;Einwand;Empfang;Erfahrung;Fortsetzung;Funke;Gymnasium;Hinterhalt;Kilogramm;Kreide;Liebe;Monotonie;Nagel;Person;Regen;Rücken;Stein;Zusammenhang;4;3;1;4;2;3;1;3;0;0;0;0;1;1;1;1;1;1;1;4;5;5;5;7;5,7;3,4;1,2;0;0;0;1;0;0;0;0;0;0;1;2
73;1;4;4;3;3;3;3;2;4;3;4;1;1;1;1;1;2;1;2;3;1;5;6;6;3;5;3;5;2;1;5;Depot;Endlichkeit;Ermäßigung;Gaskammer;Genozid;Holz;Konzil;Krematorium;Vergangenheit;Vernichtung;Aktenzeichen;Alter;Bewertung;Einwanderer;Empfindung;Erfahrung;Fortsetzung;Funkhaus;Gymnasium;Hinterlist;Kilogramm;Kreis;Liebe;Monographie;Nagel;Person;Regel;Rücken;Steigerung;Zusammenhang;4;3;2;2;3;2;2;3;1;2;1;1;1;1;0;0;1;1;1;2;5;5;6;7;5,1;3,3;1,4;0;0;0;1;1;0;0;1;0;1;4;1
76;4;3;3;1;1;1;2;3;3;3;4;2;1;1;1;1;1;1;1;1;1;5;5;4;4;4;5;6;2;1;5;t;osigkeit;äßigung;ammer;zid;z;ert;l;ngenheit;etzung;nvernichter;npfleger;rbung;wanderer;ang;hrung;setzung;spruch;asium;erhalt;gramm;s;haber;pol;llack;onennahverkehr;nschirm;meldung;gung;mmenarbeit;4;3;1;4;1;3;2;3;1;3;0;0;1;1;1;0;1;1;1;4;4;3;6;7;4,9;2,4;1,1;0;0;0;1;1;0;0;0;0;0;2;1
78;2;4;4;3;3;3;2;3;4;3;4;1;1;1;1;1;1;1;1;1;1;4;4;3;5;4;1;5;1;1;5;nie;osigkeit;äßigung;ammer;zid;under;entration;pel;ngenheit;unft;n;rnative;gung;eisung;ang;hrung;setzung;tion;asium;ergrund;gramm;s;losigkeit;lith;tier;on;lung;sicht;gung;sage;4;3;1;4;2;2;1;4;1;9;0;1;1;1;1;1;1;1;1;5;3;7;7;7;5,1;3,3;1;0;0;0;1;1;0;0;0;0;0;2;3
79;3;2;5;4;2;4;5;4;4;2;5;2;3;1;3;4;1;2;2;3;2;3;2;4;4;4;4;4;4;4;5;t;edigung;essen;ammer;ssenschaft;ogram;eption;atorium;be;unft;einsicht;rung;is;anderung;ängniss;hrung;schritt;zeugnis;astik;fragung;meter;de;stöckel;pol;r;onalisierung;schauer;endeckung;gung;mmenarbeit;4;3;2;4;1;3;2;4;0;1;1;0;1;1;1;0;1;1;1;4;4;4;4;4;3,8;3,7;2,3;0;0;0;1;0;0;0;1;0;0;2;3
80;4;4;3;2;3;2;3;1;3;3;3;2;1;1;1;1;1;2;2;2;2;4;4;3;5;5;1;4;2;1;5;Deponierung;Endlichkeit;Ermächtigung;Gaskammer;Genombildung;Holz;Konzentration;Krempel;Vergangenheit;Vernichtung;Akten;Alter;Bewegungsmasse;Einwände;Empfänger;Erfahrung;Fortsetzung;Funkloch;Gymnastik;Hintergrund;Kilogramm;Kreisel;Liebhaber;Monotonie;Nagelschere;Persönlichkeit;Regenschirm;Rückblick;Steigung;Zusage;4;3;1;4;2;3;1;3;1;0;0;0;1;1;1;1;1;1;1;5;3;7;6;7;5;2,7;1,5;0;0;0;1;0;0;0;0;0;1;2;2
81;1;4;4;3;3;3;4;2;3;2;4;4;1;1;1;1;1;1;2;4;2;4;5;3;5;4;2;4;2;2;4;sition;os;äßigung;ammer;zid;zbein;entration;el;ngenheit;ichtung;nzeichen;r;gung;anderung;ang;hrung;schritt;haus;asium;ern;gramm;sel;los;pol;llack;onen;n;sicht;n;mmenarbeit;4;3;2;4;2;2;1;3;0;0;1;1;1;1;1;1;1;1;1;5;3;6;6;6;4,7;3,2;1,8;0;0;0;1;1;0;0;0;0;1;3;3
82;2;4;1;1;3;1;4;2;3;3;4;1;1;1;1;1;1;1;1;1;1;2;2;6;6;4;5;6;4;2;7;Deportation;Endlos;Ermahnung;Gaskammer;Genozit;logramm;Konzert;Kremel;Vergangenheit;Vernunft;Aktentasche;Altersheim;Bewegung;Einwanderer;Empfehlung;Erfahrungsaustausch;Fortschritt;uhr;Gymnastik;Hinterhof;Kilometer;Kreisel;Liebhaber;Monolog;Nagelpfeile;Persönlichkeit;Regenschirm;Rückrat;Steinmetz;Zusammenarbeit;4;3;1;4;2;2;1;9;0;0;0;1;1;1;1;1;1;1;1;2;2;3;4;6;3,8;2,6;1;1;0;0;1;1;0;0;0;0;0;3;3
83;3;2;4;1;1;1;1;3;2;2;3;2;1;1;1;1;1;1;1;1;1;3;4;3;2;5;3;4;1;1;3;Deposit;Endlichkeit;Ermahnung;Gaskammer;Genovese;Hohlraum;Konzentration;Krempeln;Vergangenheit;Vernunft;Aktezeichen;Altenheim;Bewertung;Einwanderer;Empfang;Erfahrung;Fortsezung;Funkgerät;Gymnasium;Hintereingang;Kilogramm;Kreis;Liebelei;Monotonie;Nagetier;Persönlichkeit;Regenbogen;Rückschlag;Steifheit;Zusammen;4;3;2;4;2;3;1;3;0;0;1;0;1;1;1;1;1;1;1;5;6;5;7;7;4,9;2;1,1;0;0;0;1;0;0;0;0;0;0;1;1
84;4;3;3;2;1;4;5;3;4;4;3;1;1;2;1;1;2;1;2;2;2;3;4;5;2;3;6;4;3;1;4;Depot;Endlosigkeit;Ermittlung;Gaskonzentration;Genotyp;Hologramm;Konzept;Krempel;Vergangenheit;Vernissage;Aktentasche;Altenheim;Bewegung;Einwanderung;Empfänger;Erfahrung;Fortgang;Funkstille;Gymnasium;Hintergrund;Kilogramm;Kreis;Liebhaber;Monpol;Nagetier;Peersonifikation;Regenerierung;Rücksichtslosigkeit;Steigerung;Zusage;4;3;1;4;2;3;1;3;0;1;0;0;1;1;1;1;1;1;1;3;6;2;5;7;4,1;3,2;1,5;0;0;0;0;0;0;0;0;0;0;0;1
85;1;3;3;3;2;2;2;3;3;4;5;1;1;1;2;2;2;2;1;1;1;2;2;3;4;5;2;4;2;1;3;Deposition;Endlich;Ermessen;Gaskammer;Genozid;Holz;Konzentration;Kremasoifagf;Vergaser;Vernissage;Aktenkoffer;Altersheim;Bewegung;Einweihung;Empfindungen;Erfahrung;Fortpflanzung;Funkloch;Gymnasium;Hintern;Kilometer;Kreide;Liebschaft;Monoton;Nagetier;Persien;Regenwald;Rücksicht;Stein;Zusage;4;3;2;4;2;2;2;3;1;0;1;1;1;1;1;1;1;1;1;5;4;6;6;7;4,4;3;1,4;0;0;0;1;1;0;0;0;0;0;2;1
86;2;5;5;4;4;4;4;5;4;3;3;4;1;1;1;1;1;1;1;2;1;5;6;3;1;7;1;6;1;1;6;Depot;Endlos;Ermüdung;Gaskammer;Genozid;Holland;Konzentrationslager;Krempel;Vergasung;Vernichtung;Akten;Alter;Bewegungsgleichung;Einwohner;Empfinden;Erfahrung;Fortsetzung;Funke;Gymnasium;Hinern;Kilogramm;Kreide;Liebe;Monopol;Nagetier;Person;Regenschirm;Rücksichtslos;Stein;Zusammenhang;4;3;1;2;2;2;2;3;0;1;0;1;1;1;0;1;1;1;1;5;7;7;7;7;6,3;4,1;1,4;0;0;0;1;1;0;1;0;1;1;5;1
88;4;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;1;1;1;2;2;4;5;2;5;2;6;6;3;Depot;Endlich;Ermahnung;Gaskammer;Genom;Holland;Konzentration;Krempelhose;Vergasung;Vernunft;Aktennotiz;Alter;Bewegung;Einweihung;Empfehlung;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hintergrund;Kilogramm;Kreis;Liebe;Monograghie;Nagellack;Person;Regenbogen;Rückwärts;Stein;Zusatz;4;3;1;4;2;3;1;3;0;2;0;0;1;1;1;1;1;1;1;4;3;3;2;2;2,5;2,2;1;0;0;0;1;0;0;0;0;1;0;2;1
89;1;3;2;2;2;1;1;1;1;2;2;4;2;3;1;1;2;4;3;2;3;3;3;6;2;3;1;4;1;1;5;Deponie;Endlosigkeit;Ermahnung;Gaskanister;Genom;Holz;Konzentration;Kremmel;Vergangenheit;Vernunft;Aktenzeichen;Alter;Bewegung;Einweisung;Empfindung;Erfahrung;Fortsetzung;Funktion;Gymnasium;Hintereingang;Kilogramm;Kreislauf;Liebling;Monotonie;Nagetier;Person;Regenguss;Rückenmark;Steinschleuder;Zusage;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;2;6;7;7;7;4,7;1,7;2,5;0;0;0;0;0;0;0;0;0;0;0;3
90;2;4;3;2;4;3;2;4;3;3;4;1;1;1;1;1;1;1;1;1;1;5;6;2;1;6;4;6;1;1;6;rtierung;ichkeit;öglichen;ammer;zid;stein;zentration;l;ngenheit;üftig;nzeichen;r;gung;anderer;ang;ssung;pflanzung;tion;asium;ern;gramm;s;schaft;theismus;tier;on;n;sicht;n;mmen;4;3;1;4;2;2;1;3;0;2;0;1;1;1;1;1;1;1;1;6;7;4;7;7;6;3,2;1;1;0;0;1;1;0;0;0;0;0;3;2
91;3;5;4;3;4;2;3;3;4;4;4;1;1;1;1;1;1;1;2;1;1;4;5;6;5;5;6;5;2;1;7;Depot;Endlosigkeit;Ermittlung;Gaskerze;Genozid;Holland;Konsistenz;Krematorium;Vergabe;Vernunft;Aktenschrank;Altersheim;Bewerbung;Einwanderer;Empfang;Erfahrung;Fortschritt;Funkhaus;Gymnasium;Hintern;Kilometer;Kreide;Liebhaber;Monopol;Nagetier;Perönlichkeit;Regen;Rücksichtslosigkeit;Stein;Zusage;4;3;2;4;2;3;1;3;0;1;1;0;1;1;1;1;1;1;1;2;3;2;6;7;4,6;3,6;1,1;0;0;0;0;1;0;0;1;0;0;2;1
93;1;3;4;2;2;2;1;3;5;4;5;1;1;1;1;1;1;1;1;1;1;4;5;4;3;5;3;6;2;1;6;Depot;Endlager;Ermäßigung;Gaskammer;Genorientierung;Holschuld;Konzert;Kreme;Vergasung;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwohner;Empfang;Erfahrung;Fortsetzung;Funken;Gmnasiast;Hintern;Kilogramm;Kreise;Liebhaber;Monopol;Nagetier;Personal;Regenschirm;Rückpass;Steine;Zusage;4;3;2;4;2;2;2;3;0;1;1;1;1;1;1;1;1;1;1;4;5;5;6;7;5,3;3,1;1;0;0;0;1;0;0;0;0;1;0;2;1
94;2;2;3;3;4;2;3;3;3;4;5;1;1;1;1;1;1;1;1;2;1;5;6;3;3;4;2;6;2;2;5;Deponieren;Endlos;Ermäßigung;Gaskammer;Genozid;Hologramm;Konzentration;Krematorium;Vergangenheit;Vernunft;Aktenzeichen;Altenheim;Bewegung;Einwohner;Empfinden;Erfahrung;Fortschritt;Funkstille;Gymnasium;Hintermann;Kilogramm;Kreide;Liebschaft;Monopoly;Nagetier;Person;Regenschirm;Rückblick;Stein;Zusage;4;3;1;4;2;2;2;3;0;2;0;1;1;1;1;1;1;1;1;5;5;6;6;6;5,4;3,2;1,1;0;0;0;1;1;0;0;1;0;0;3;1
95;3;3;2;2;2;3;4;3;4;3;2;3;3;1;2;1;2;3;4;1;2;4;3;3;4;5;4;3;4;3;5;Depot;Endlich;Ermäßigung;Gaskartusche;Genotyp;Hologram;Konzert;Kreml;Vergangenheit;Vernunft;Aktenzeichen;Altern;beweis;Einweihung;Empfang;Erfahrung;Fortsetzung;Funkstille;Gymnasium;Hintern;kilogramm;Kreide;Liebe;Monotonie;Nager;Person;Regen;Rückschlag;Stein;Zusammenhang;4;3;2;4;2;3;2;3;0;0;1;0;1;1;1;1;1;1;1;5;4;4;4;5;4,2;2,8;2,2;0;0;0;0;0;0;0;0;0;0;0;1
