cidade	p2a	b9a	deam	knowdeam1	female	knowvictim	marital_status	children	classe	homiciderate	femiciderate	civilpolice	b11ar	c1r	b4gr	q91cr	q89er	color	q53r	q91er	edlevel	a3aer	b4dr	vaw_law	education_muni_2010	c6r	num_years	Loggdp_2012	Logpopsize	yearscollective	protest_fem
3.0	2.0		1	0.0	0.0	0.0	5.0	2.0	5.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	1.0	3.0	2.0	4.0	1.0	3.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	3.0	0.0	1	0.0	1.0	0.0	4.0	2.0		33.012394	6.3	1		0.0	5.0	5.0	7.0	3.0	2.0	4.0	1.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	1.0		1	0.0	0.0	0.0	5.0	1.0	3.0	33.012394	6.3	1	5.0	0.0	1.0	4.0	8.0	2.0	2.0	5.0	1.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	3.0		1	0.0	0.0	0.0	3.0	4.0	4.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	5.0	3.0	1.0	4.0	2.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	2.0	0.0	1	0.0	1.0	0.0	1.0	1.0	4.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	8.0	3.0	2.0	4.0	2.0	2.0	5.0	0	0.661	4.0	27	9.560998	12.760975	0.0	0
3.0	2.0		1	0.0	0.0	0.0	3.0	2.0	4.0	33.012394	6.3	1	5.0	0.0	1.0	4.0	5.0	3.0	2.0	5.0	2.0	1.0	5.0	0	0.661	2.0	27	9.560998	12.760975	0.0	0
3.0	1.0	0.0	1	0.0	1.0	0.0	1.0	0.0	5.0	33.012394	6.3	1	5.0	1.0	1.0	2.0	10.0	3.0	2.0	5.0	2.0	1.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	3.0	0.0	1	0.0	1.0	0.0	4.0	5.0	4.0	33.012394	6.3	1	5.0	0.0	1.0	4.0	8.0	5.0	2.0	4.0	2.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	1.0		1	0.0	0.0	1.0	1.0	0.0	4.0	33.012394	6.3	1	5.0	1.0	1.0	2.0	5.0	3.0	2.0	5.0	2.0	2.0	5.0	0	0.661	3.0	27	9.560998	12.760975	0.0	0
3.0	1.0		1	0.0	0.0	1.0	1.0	0.0	4.0	33.012394	6.3	1	5.0	1.0	1.0	4.0	7.0	1.0	1.0	4.0	2.0	1.0	5.0	0	0.661	4.0	27	9.560998	12.760975	0.0	0
4.0	2.0		0	0.0	0.0	0.0	3.0	1.0	4.0	11.919804	2.0	1	4.0	0.0	5.0	2.0	10.0	3.0	2.0	4.0	1.0	1.0	5.0	0	0.476	4.0	0	9.0093155	10.644162	0.0	0
4.0	1.0	0.0	0	1.0	1.0	1.0	2.0	0.0	4.0	11.919804	2.0	1	4.0	1.0	5.0	3.0	10.0	2.0	2.0	4.0	1.0	1.0	5.0	0	0.476	4.0	0	9.0093155	10.644162	0.0	0
4.0	1.0		0	1.0	0.0	0.0	2.0	2.0	4.0	11.919804	2.0	1	4.0	1.0	4.0	4.0	8.0	2.0	2.0	4.0	1.0	2.0	5.0	0	0.476	4.0	0	9.0093155	10.644162	0.0	0
4.0	3.0	0.0	0	0.0	1.0	0.0	3.0	6.0	5.0	11.919804	2.0	1	3.0	0.0	4.0	3.0	10.0	1.0	2.0	5.0	1.0	2.0	4.0	0	0.476	3.0	0	9.0093155	10.644162	0.0	0
4.0	1.0		0	0.0	0.0	0.0	3.0	1.0	4.0	11.919804	2.0	1	4.0	0.0	4.0	3.0	10.0	2.0	2.0	5.0	1.0	1.0	4.0	0	0.476	4.0	0	9.0093155	10.644162	0.0	0
4.0	2.0	0.0	0	0.0	1.0	0.0	6.0	5.0		11.919804	2.0	1	3.0	0.0	4.0	2.0	10.0	2.0	2.0	4.0	1.0	1.0	5.0	0	0.476	2.0	0	9.0093155	10.644162	0.0	0
4.0	1.0		0	0.0	0.0	0.0	1.0	1.0	4.0	11.919804	2.0	1	4.0	0.0	3.0	2.0	9.0	1.0	2.0	4.0	1.0	2.0	4.0	0	0.476	3.0	0	9.0093155	10.644162	0.0	0
