"m","sphericity","n","S","rANOVA","rANOVA_HF"
9,"hold",15,2000,0.0525,0.047
9,"hold",20,2000,0.052,0.051
9,"hold",25,2000,0.0525,0.0495
9,"hold",30,2000,0.0505,0.047
9,"violation",15,2000,0.068,0.053
9,"violation",20,2000,0.0765,0.058
9,"violation",25,2000,0.0815,0.0535
9,"violation",30,2000,0.0745,0.0525
12,"hold",15,2000,0.043,0.039
12,"hold",20,2000,0.046,0.0445
12,"hold",25,2000,0.0425,0.0415
12,"hold",30,2000,0.0465,0.045
12,"violation",15,2000,0.074,0.0505
12,"violation",20,2000,0.08,0.056
12,"violation",25,2000,0.0805,0.0595
12,"violation",30,2000,0.072,0.0495
