"ID","est.ma","ci.lb.ma","ci.ub.ma","zval.ma","pval.ma","tau2","I2","lb.I2","ub.I2","Q","pval.Q","pval.right","pval.left","sd.sei","perc.sig"
60,-0.207,-0.382,-0.033,-2.331,0.02,0.025,32.552,0,75.094,14.826,0.139,0,2,0.111,18.182
61,-0.709,-1.018,-0.4,-4.496,0,0.062,42.516,0,93.542,8.698,0.122,0,4,0.072,66.667
63,0.229,-0.033,0.491,1.716,0.086,0,0,0,0,7.574,0.372,0,0,0.064,0
64,0.624,0.278,0.969,3.542,0,0.088,48.061,0,92.493,9.627,0.087,3,0,0.054,50
65,0.051,-0.519,0.621,0.176,0.86,0,0,0,78.68,3.865,0.695,0,0,0.42,0
66,0.267,-0.28,0.815,0.957,0.339,0,0,0,15.19,2.459,0.964,0,0,0.512,0
67,-1.271,-1.542,-0.999,-9.178,0,0.031,23.74,0,85.659,7.868,0.248,0,7,0.098,100
68,-1.197,-1.397,-0.997,-11.728,0,0,0,0,68.52,9.55,0.481,0,10,0.097,90.909
69,-1.132,-1.343,-0.921,-10.521,0,0,0,0,54.172,5.06,0.751,0,8,0.1,88.889
70,-27.878,-32.682,-23.075,-11.375,0,0,0,0,69.485,4.461,0.615,0,7,1.981,100
71,-27.134,-32.069,-22.199,-10.776,0,0,0,0,66.414,2.797,0.731,0,6,1.328,100
72,-8.21,-10.249,-6.171,-7.891,0,0,0,0,29.657,1.246,0.94,0,6,0.723,100
73,-7.82,-9.719,-5.922,-8.073,0,0,0,0,32.762,3.007,0.934,0,6,1.12,66.667
74,-8.017,-10.07,-5.964,-7.655,0,0,0,0,42.504,2.002,0.92,0,5,1.209,71.429
75,-6.962,-8.908,-5.015,-7.009,0,1.573,23.227,0,75.626,7.815,0.252,0,7,0.865,100
76,-6.378,-7.992,-4.764,-7.744,0,0.495,6.387,0,68.703,10.682,0.383,0,7,1.251,63.636
77,0.969,0.664,1.413,-0.165,0.869,0.102,40.454,0,92.195,11.756,0.109,1,0,0.29,12.5
78,0.693,0.358,1.028,4.059,0,0.072,28.723,0,86.352,11.224,0.189,2,0,0.135,22.222
79,-0.105,-0.32,0.109,-0.961,0.337,0,0,0,0,1.859,1,0,0,0.379,0
80,0.041,-0.133,0.216,0.465,0.642,0,0,0,0,0.753,1,0,0,0.382,0
81,0.426,0.226,0.626,4.173,0,0,0,0,0,11.113,0.134,2,0,0.072,25
82,0.392,0.122,0.662,2.845,0.004,0,0,0,0,9.759,0.135,2,0,0.054,28.571
83,0.125,-0.152,0.402,0.886,0.376,0,0,0,0,7.438,0.282,0,0,0.076,0
84,0.519,0.376,0.663,7.092,0,0,0,0,0,12.801,0.939,4,0,0.071,17.391
85,0.644,0.481,0.807,7.753,0,0,0,0,0,24.327,0.145,10,0,0.091,52.632
86,0.278,0.128,0.428,3.628,0,0.039,48.793,7.96,87.05,29.293,0.015,5,0,0.12,31.25
87,0.559,0.324,0.794,4.666,0,0,0,0,70.951,2.93,0.711,3,0,0.034,50
88,0.146,-0.004,0.295,1.913,0.056,0.02,39.429,0,94.611,14.859,0.095,2,0,0.15,20
89,0.894,0.584,1.205,5.644,0,0,0,0,0,8.635,0.125,4,0,0.04,66.667
