"ID","di.meta","di.puni","di.puni.0","di.pp","di.trim","di.sel","pval.left","pval.right"
1,-1.13958843959431,-1.12451003143565,-1.12451003143565,-1.03434974970009,-1.13958843959431,-1.10560493353112,10,0
2,-0.831188709806565,-1.17422900718273,-1.17422900718273,0.43151260433522,-0.55657020235873,-0.567634607552985,9,0
3,-1.07806799344025,-1.02973132437292,-1.02973132437292,-1.01442133470947,-1.07806799344025,-1.05425055649945,5,0
4,-0.586463369930358,-0.589035964667989,-0.589035964667989,-0.641570678343674,-0.586463369930358,-0.492273654202245,6,0
5,-0.639689846909539,-0.668383351332262,-0.668383351332262,0.837328167022967,-0.469569210843842,-0.537713758123987,4,0
6,0.17620153456611,-0.974715786846387,0,-0.0189972761606023,0.17620153456611,0.186931014168472,0,1
7,-1.25565346658699,-1.22123888463087,-1.22123888463087,-1.40129271282401,-1.28803891159893,-1.23584392133174,5,0
8,-0.426644234652579,-0.335595683210749,-0.335595683210749,0.424688581249997,-0.383202270502414,-0.437139231570717,2,0
9,-0.681875930392754,-0.586895550343701,-0.586895550343701,-0.120058708475157,-0.559298418897942,-0.666538288724378,4,0
10,0.175691312277259,NA,NA,-0.220099285466033,0.117613669345798,0.253858337218706,0,0
11,-0.116502314598316,NA,NA,0.0789521302602407,-0.116502314598316,-0.202413946529435,0,0
12,-0.0946044924380537,NA,NA,0.0680637558464648,-0.0946044924380537,-0.13836374748712,0,0
13,0.0807976446264082,NA,NA,-0.286548757799699,0.0163371967726125,0.127161641298265,0,0
14,0.216449861738628,-6.68147796694707,0,0.0491132711072477,0.164012678250057,0.332480369771568,0,0
15,0.157023542886172,NA,NA,0.40026502728362,0.287621806984433,NA,0,0
16,-0.09168988770423,NA,NA,-0.444029258653977,-0.173095132396388,-0.139345212046959,0,0
17,0.291854150421449,-1.462481170628,0,0.165029142769326,0.241009325121214,0.257826898131263,0,2
18,0.0932706661642864,NA,NA,-0.217539716253164,-0.0241531366063262,NA,0,0
19,-0.266609757129986,NA,NA,-0.332694636299109,-0.266609757129986,-0.385639030533507,0,0
20,-0.282961173683826,-2.157938108891,-2.157938108891,0.587227725315797,-0.282961173683826,-0.148070143495994,1,0
21,0.212552706913294,0.386127701827163,0.386127701827163,0.207550732791392,0.212552706913294,0.199547793718651,0,1
22,-0.37630393738319,-0.325715391754887,-0.325715391754887,0.00828753906887521,-0.264053263176893,-0.182854476051723,3,0
23,-0.460635521621484,-0.711161484592007,-0.711161484592007,0.609299683770368,-0.257163480934132,-0.257805722922744,1,0
24,0.0341530793153387,NA,NA,0.284948665872702,0.347066113460481,0.0740115644426265,0,0
25,-1.15163977531689,-1.32224515452731,-1.32224515452731,-1.4692463865882,-1.15163977531689,-1.25784200488204,5,0
